GIDP,Team,OBP,3B,AB,HR,SO
1,CUL,.436,0,46,3,10
7,HER,.345,1,234,3,41
2,NAV,.323,0,56,0,20
3,MAZ,.361,0,33,0,9
0,HER,.000,0,3,0,1
7,HER,.353,0,176,0,14
0,MXC,.300,0,17,0,4
4,GSV,.264,3,112,4,30
2,MOC,.390,0,63,2,16
3,MAZ,.341,0,65,4,13
14,NAV,.302,0,194,2,23
1,CUL,.385,0,224,19,87
0,MOC,.270,0,31,0,10
6,MAZ,.308,1,229,5,35
8,OBR,.430,0,244,17,35
4,GSV,.425,0,244,10,39
3,NAV,.339,0,106,1,26
5,MXC,.354,0,104,7,12
4,NAV,.415,0,265,1,26
1,OBR,.270,0,60,1,15
0,MXC,--,0,0,0,0
2,NAV,.277,0,62,0,13
0,CUL,.270,0,94,5,29
0,MAZ,.392,0,67,1,12
1,MXC,.217,0,22,0,3
4,MOC,.319,0,172,2,44
0,OBR,.273,0,10,0,4
0,MAZ,.244,0,39,0,9
1,HER,.320,0,44,1,14
0,MXC,.374,0,107,2,19
3,NAV,.364,1,155,3,42
6,GSV,.380,1,238,17,60
9,GSV,.365,0,237,3,26
3,MAZ,.262,0,57,3,15
5,MOC,.310,0,156,5,25
2,CUL,.351,0,62,3,13
2,CUL,.416,0,66,4,22
1,MAZ,.313,0,25,0,5
0,NAV,.366,0,69,1,19
0,GSV,.083,0,11,0,2
1,GSV,.286,0,23,1,12
5,GSV,.399,0,205,17,47
0,MOC,.373,0,71,0,14
6,HER,.298,0,75,1,14
3,OBR,.310,0,192,2,30
3,MAZ,.378,0,209,7,23
1,MAZ,.305,0,69,4,27
0,CUL,.271,1,43,2,21
8,OBR,.338,1,177,8,45
6,MXC,.417,1,231,5,47
2,CUL,.404,1,211,6,38
11,MOC,.375,0,210,12,57
3,HER,.293,0,139,8,41
2,HER,.392,1,182,4,41
0,MXC,.800,0,4,0,0
10,NAV,.314,0,177,0,11
0,MOC,.277,0,56,3,18
0,HER,.200,0,5,0,2
1,MAZ,.347,1,87,0,18
1,MXC,.340,2,195,7,46
1,MXC,.348,1,125,7,36
5,NAV,.378,0,64,4,15
0,MOC,.125,0,7,0,1
1,OBR,.241,0,81,0,18
2,MOC,.242,0,83,2,36
4,HER,.354,1,189,13,49
6,CUL,.355,2,225,10,57
1,OBR,.300,0,29,0,5
8,MAZ,.343,0,257,5,30
8,OBR,.372,0,249,4,47
2,NAV,.321,0,150,3,34
8,MXC,.318,0,161,5,37
1,MAZ,.310,0,52,0,5
1,HER,.368,0,85,4,22
8,HER,.338,0,265,20,35
1,GSV,.214,0,13,1,5
4,GSV,.290,2,97,2,19
10,MXC,.322,0,181,2,24
8,HER,.361,0,156,7,23
10,OBR,.368,0,242,12,49
3,MOC,.333,0,166,0,24
2,MXC,.380,6,266,5,44
4,CUL,.354,1,214,5,47
3,CUL,.339,0,108,8,33
0,MOC,.391,3,106,0,23
2,OBR,.318,0,150,3,27
