3B,H,G,OPS
0,2,5,.508
1,10,14,.895
4,75,92,.645
4,98,129,.684
0,47,73,.543
0,7,9,.664
1,14,22,.525
0,2,1,1.000
0,0,1,.000
0,36,63,.605
3,133,123,.745
0,3,9,.300
0,47,44,1.034
0,0,1,.200
0,19,26,.653
0,17,20,.771
0,30,41,.623
3,42,42,.739
0,0,1,.000
2,32,35,.776
0,29,24,.967
0,6,14,.478
0,6,18,.403
0,2,4,.515
0,49,32,.978
2,44,48,.726
0,5,7,.701
2,49,46,.868
3,98,89,.743
0,71,74,.679
2,69,76,.665
0,0,5,.111
0,123,124,.714
4,49,68,.612
0,8,11,.715
0,16,26,.679
3,108,116,.699
0,11,28,.406
8,104,111,.689
1,22,20,.916
0,42,61,.507
1,40,48,.688
0,10,24,.413
0,0,1,.000
0,22,19,.784
2,98,115,.685
0,2,2,.571
0,103,119,.613
1,59,75,.658
5,84,76,.868
3,113,118,.691
0,2,2,.971
0,31,39,.703
0,15,17,.897
0,0,1,--
0,5,3,1.500
1,9,12,.692
1,26,23,.814
0,3,7,.478
0,3,3,.558
0,4,7,.422
0,0,3,.000
1,12,10,.784
0,11,24,.505
3,44,55,.685
2,30,38,.577
0,1,4,.200
2,62,67,.795
0,46,59,.734
2,124,123,.635
1,10,13,.668
0,15,28,.537
0,5,5,.786
1,61,91,.609
1,31,27,.878
1,24,40,.555
0,5,5,1.041
1,19,35,.560
0,2,7,.269
0,97,76,.906
0,1,4,.384
0,0,1,.000
1,46,70,.552
1,43,33,.774
0,0,1,--
1,61,93,.589
0,63,75,.611
0,36,47,.718
0,33,33,.638
7,117,112,.915
1,39,55,.574
0,3,3,.664
3,143,124,.843
0,30,44,.556
0,3,3,.558
7,125,117,.819
1,44,61,.524
0,12,18,.512
0,28,24,.807
0,0,1,--
0,17,24,.605
3,64,64,.829
1,7,9,.899
0,6,6,.808
0,3,2,1.000
6,80,68,.812
