Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,06MEX099,0.0,5660.0,0.0,80.0,R,1.0,IW,09/24/2006,5.0,MEX00001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,06MEX099,51.0,0.0,0.0,80.0,R,1.0,IW,09/24/2006,5.0,MEX00001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,06MEX099,0.0,5790.0,0.0,80.0,R,2.0,IW,09/24/2006,5.0,MEX00001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,06MEX099,50.5,0.0,0.0,80.0,R,2.0,IW,09/24/2006,5.0,MEX00001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,07S056P,0.0,5760.0,0.0,80.0,R,1.0,IW,09/16/2006,8.0,USAS0001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,07S056P,51.0,0.0,0.0,80.0,R,1.0,IW,09/16/2006,17.0,USAS0001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,07S056P,0.0,5710.0,0.0,80.0,R,2.0,IW,09/16/2006,8.0,USAS0001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,07S056P,50.5,0.0,0.0,80.0,R,2.0,IW,09/16/2006,17.0,USAS0001
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,07W054R,49.5,0.0,0.0,80.0,L,1.0,OW,09/06/2006,1.0,USAW0389
 , , , , , , , , , , , , , 
RAMIREZ Mariana,MEX,F,07W054R,56.5,0.0,0.0,80.0,L,2.0,OW,09/06/2006,1.0,USAW0389
