GP,PF,TO,3FGM,DEF,Pts,Blk
5,2.2,2.2,0.6,2.0,4.8,0.0
10,2.3,2.1,0.8,2.2,10.3,0.0
6,1.7,1.8,0.7,1.2,6.2,0.0
4,2.5,1.5,0.8,2.0,4.0,0.0
3,2.0,2.0,0.7,1.0,6.3,0.0
-,-,-,-,-,-,-
2,2.5,1.5,0.5,1.5,2.5,0.0
1,1.0,1.0,0.0,1.0,0.0,0.0
10,2.6,2.1,0.7,2.6,8.5,0.0
2,1.5,1.5,0.5,2.5,3.0,0.0
11,2.2,1.9,0.8,2.0,9.6,0.0
5,1.8,2.2,0.6,1.4,6.8,0.0
1,1.0,1.0,0.0,0.0,0.0,0.0
6,2.5,2.5,0.8,3.2,11.8,0.0
4,1.2,1.5,1.5,2.5,8.8,0.0
5,2.2,2.2,0.6,2.0,4.8,0.0
5,1.8,1.6,0.8,1.0,7.4,0.0
5,3.4,2.8,1.0,3.4,11.8,0.0
16,2.6,2.5,1.1,2.8,10.6,0.1
7,2.3,2.3,0.7,2.7,10.1,0.0
3,1.3,2.0,0.3,1.3,5.0,0.0
