BB,3B,AB,POS,Team,SB,OBP
23,4,403,3B,ARI,2,0.317
47,0,220,1B,CIN,1,0.39
2,0,31,1B,COL,0,0.294
14,0,60,3B,LAD,4,0.373
25,2,432,3B,COL,2,0.328
3,0,51,1B,CIN,0,0.222
2,0,63,1B,COL,0,0.348
7,0,73,3B,SD,1,0.296
1,0,56,3B,PHI,0,0.19
52,1,597,3B,CIN,20,0.336
95,2,595,3B,STL,5,0.375
23,0,582,3B,ATL,6,0.292
2,0,48,1B,CIN,0,0.22
21,1,494,3B,MIL,3,0.33
82,0,494,1B,WSH,3,0.362
0,0,30,1B,CIN,1,0.097
4,1,67,3B,COL,0,0.38
9,1,81,3B,PHI,1,0.3
39,3,588,3B,SF,0,0.324
28,1,288,3B,LAD,6,0.404
6,0,35,1B,NYM,0,0.256
11,1,69,3B,ARI,2,0.346
33,0,397,3B,PHI,0,0.309
2,0,15,1B,STL,0,0.333
23,1,217,3B,SD,0,0.336
0,0,16,3B,ARI,0,0.188
28,3,501,3B,ARI,4,0.287
1,0,9,1B,LAD,0,0.4
22,1,279,3B,SD,4,0.296
56,0,591,1B,LAD,1,0.335
2,0,47,3B,PHI,0,0.306
14,2,240,1B,SD,6,0.286
7,0,91,1B,WSH,0,0.3
17,1,267,1B,SD,6,0.285
17,0,190,1B,NYM,3,0.322
1,0,41,1B,WSH,0,0.186
