SvO,CG,Player,Team,GS,S,IP
0,0,Drew Pomeranz,COL,5,0,23.0
5,0,Chad Qualls,PHI,0,0,28.0
9,0,Huston Street,SD,0,9,16.0
0,0,Sandy Rosario,MIA,0,0,3.0
2,0,Josh Lindblom,LAD,0,0,34.0
0,0,Kyle Weiland,HOU,3,0,17.2
0,0,Josh Outman,COL,4,0,20.1
0,0,Robert Carson,NYM,0,0,3.0
1,0,Wilton Lopez,HOU,0,0,32.1
0,0,Edinson Volquez,SD,15,0,87.2
0,1,Adam Wainwright,STL,14,0,84.2
0,0,Mike Leake,CIN,13,0,74.2
0,0,Dan Jennings,MIA,0,0,5.0
0,0,Miguel Batista,NYM,4,0,35.1
0,0,Gio Gonzalez,WAS,14,0,84.2
0,0,Eric Stults,SD,5,0,31.0
12,0,Tyler Clippard,WAS,0,11,31.1
1,0,Livan Hernandez,ATL,0,1,31.0
1,0,Randy Wells,CHC,3,0,25.2
18,0,Jason Motte,STL,0,14,31.2
0,1,Jake Westbrook,STL,14,0,87.0
21,0,Frank Francisco,NYM,0,18,29.0
0,0,Fernando Abad,HOU,0,0,11.2
0,0,J.J. Hoover,CIN,0,0,18.0
0,0,Ryan Dempster,CHC,12,0,81.0
0,0,Doug Slaten,PIT,0,0,11.0
21,0,Santiago Casilla,SF,0,20,28.1
0,0,Elvin Ramirez,NYM,0,0,7.0
2,0,Mitchell Boggs,STL,0,0,31.1
0,0,Aneury Rodriguez,HOU,1,0,6.0
0,0,Mike McClendon,MIL,0,0,8.0
0,0,Wily Peralta,MIL,0,0,1.0
6,0,Rafael Dolis,CHC,0,4,25.1
6,0,Dale Thayer,SD,0,5,19.0
0,0,Guillermo Moscoso,COL,2,0,24.2
1,0,Tom Gorzelanny,WAS,0,1,33.0
2,0,Sean Burnett,WAS,0,2,25.0
0,0,B.J. Rosenberg,PHI,0,0,1.2
0,0,Chris Hatcher,MIA,0,0,2.2
0,1,Ian Kennedy,ARI,14,0,89.1
11,0,Aroldis Chapman,CIN,0,8,34.1
0,0,Brandon Dickson,STL,0,0,2.1
0,0,Nathan Eovaldi,LAD,5,0,30.2
6,0,Carlos Marmol,CHC,0,4,19.2
0,1,Mark Buehrle,MIA,14,0,92.0
1,0,Tyler Chatwood,COL,0,1,8.0
0,1,Edwin Jackson,WAS,13,0,86.1
0,0,Michael Gonzalez,WAS,0,0,6.0
0,0,Randy Wolf,MIL,14,0,81.0
0,0,Jonathon Niese,NYM,14,0,81.2
1,1,Kyle Kendrick,PHI,10,0,63.0
0,0,Christian Friedrich,COL,9,0,51.0
0,0,Erik Bedard,PIT,14,0,72.0
0,1,Barry Zito,SF,14,0,80.2
0,0,Wesley Wright,HOU,0,0,21.2
0,0,Chad Gaudin,MIA,0,0,35.2
0,0,Chad Billingsley,LAD,15,0,86.2
0,0,Jamie Moyer,COL,10,0,53.2
0,0,Rodrigo Lopez,CHC,0,0,6.1
0,0,Sam LeCure,CIN,0,0,28.1
0,0,Juan Perez,MIL,0,0,7.0
0,0,Ryan Mattheus,WAS,0,0,22.2
0,0,Anibal Sanchez,MIA,14,0,89.0
0,0,Michael Fiers,MIL,4,0,26.0
0,0,Julio Teheran,ATL,1,0,4.1
0,0,Josh Johnson,MIA,14,0,84.0
2,0,Jeremy Affeldt,SF,0,1,26.0
0,0,Victor Marte,STL,0,0,31.2
3,0,Bobby Parnell,NYM,0,0,30.0
0,0,Patrick Corbin,ARI,5,0,27.1
0,0,Zack Greinke,MIL,15,0,96.0
0,0,Chad Durbin,ATL,0,0,28.2
1,0,Miles Mikolas,SD,0,0,13.2
0,0,Ryan Perry,WAS,0,0,8.0
0,0,Ross Detwiler,WAS,9,0,62.0
3,0,Logan Ondrusek,CIN,0,2,27.0
1,0,Mike Dunn,MIA,0,0,11.2
0,0,Jason Marquis,SD,10,0,53.1
2,0,Jason Grilli,PIT,0,1,27.2
0,0,Josh Roenicke,COL,0,0,42.1
1,0,Michael Schwimer,PHI,0,0,14.0
0,0,Marco Estrada,MIL,6,0,36.0
3,0,Matt Belisle,COL,0,0,38.0
0,0,D.J. Carrasco,NYM,0,0,3.2
0,0,Cory Luebke,SD,5,0,31.0
0,0,Anthony Varvaro,ATL,0,0,3.1
0,3,R.A. Dickey,NYM,14,0,99.0
0,0,Tyler Thornburg,MIL,1,0,5.1
0,0,Maikel Cleto,STL,0,0,5.0
0,0,Mat Latos,CIN,14,0,79.2
10,0,Sean Marshall,CIN,0,9,28.2
0,2,Johnny Cueto,CIN,14,0,94.2
0,1,Tim Hudson,ATL,10,0,65.0
0,0,Eric Hacker,SF,1,0,6.0
0,0,Charlie Morton,PIT,9,0,50.1
0,0,Dustin Moseley,SD,1,0,5.0
0,0,Matt Garza,CHC,13,0,77.1
2,0,Bill Bray,CIN,0,0,3.0
0,0,Matt Guerrier,LAD,0,0,6.2
5,0,Edward Mujica,MIA,0,2,32.0
1,0,Raul Valdes,PHI,0,0,12.2
4,0,Jon Rauch,NYM,0,1,27.1
0,2,Joe Blanton,PHI,14,0,91.0
0,1,Homer Bailey,CIN,14,0,85.2
0,0,Jeff Francis,COL,3,0,13.2
14,0,Rafael Betancourt,COL,0,11,25.2
2,0,Kris Medlen,ATL,0,1,32.1
0,0,Mike MacDougal,LAD,0,0,5.2
1,0,Cristhian Martinez,ATL,0,1,34.2
0,0,Lucas Harrell,HOU,15,0,88.2
0,0,Chris Schwinden,NYM,2,0,8.2
4,0,Rex Brothers,COL,0,0,24.0
16,0,J.J. Putz,ARI,0,13,22.0
0,0,Mike Pelfrey,NYM,3,0,19.2
0,0,Blake Parker,CHC,0,0,4.1
0,0,Wade Miley,ARI,11,0,82.1
0,0,Jeremy Hefner,NYM,3,0,24.2
0,0,Carlos Torres,COL,0,0,6.0
0,0,Joe Wieland,SD,5,0,27.2
1,0,Tim Byrdak,NYM,0,0,18.2
0,1,Clayton Kershaw,LAD,15,0,102.1
3,0,Francisco Rodriguez,MIL,0,1,32.1
0,0,Dillon Gee,NYM,14,0,90.2
0,0,Vance Worley,PHI,11,0,68.0
2,0,Brad Ziegler,ARI,0,0,29.0
0,0,Jeremy Guthrie,COL,11,0,62.0
0,0,Kyle McClellan,STL,0,0,18.2
2,0,Jose Arredondo,CIN,0,1,30.2
2,0,Luke Gregerson,SD,0,0,31.1
2,0,Jose Veras,MIL,0,1,30.0
0,1,Brandon Beachy,ATL,13,0,81.0
1,0,Alex Hinshaw,SD,0,0,14.2
0,0,Craig Breslow,ARI,0,0,30.1
0,0,Matt Reynolds,COL,0,0,29.0
0,0,Jake Diekman,PHI,0,0,11.2
0,0,Jairo Asencio,CHC,0,0,34.0
3,0,Javier Lopez,SF,0,1,15.1
0,0,A.J. Burnett,PIT,12,0,75.0
0,0,Scott Elbert,LAD,0,0,21.1
0,0,Zach Putnam,COL,0,0,1.0
0,0,Lance Lynn,STL,14,0,86.2
1,0,Rhiner Cruz,HOU,0,0,23.1
0,1,Trevor Cahill,ARI,14,0,90.2
0,0,Jamey Wright,LAD,0,0,30.2
0,0,Cliff Lee,PHI,11,0,77.2
14,0,Kenley Jansen,LAD,0,11,32.1
0,0,Joe Paterson,ARI,0,0,2.2
20,0,Joel Hanrahan,PIT,0,18,27.0
0,0,Yovani Gallardo,MIL,15,0,89.2
0,0,Jeff Suppan,SD,6,0,30.2
0,0,Joe Savery,PHI,0,0,20.1
1,0,Randy Choate,MIA,0,1,21.2
0,0,Chien-Ming Wang,WAS,4,0,20.2
0,0,Cole Hamels,PHI,14,0,97.0
0,0,Matt Palmer,SD,0,0,2.0
0,0,Scott Maine,CHC,0,0,7.1
1,0,Tony Watson,PIT,0,0,22.2
