Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,G,W,S,E,DQ
1996 Summer,23,Atlanta,Handball,Russia,RUS,Final Round,Match 5/6,1,1996-08-02,"RUS 29, EGY 26",2,1,0,0,0
1996 Summer,23,Atlanta,Handball,Russia,RUS,Group A,Match #1,1,1996-07-24,"RUS 32, KUW 20",3,1,1,0,0
1996 Summer,23,Atlanta,Handball,Russia,RUS,Group A,Match #6,1,1996-07-25,"RUS 31, USA 16",4,1,0,0,0
1996 Summer,23,Atlanta,Handball,Russia,RUS,Group A,Match #8,2,1996-07-27,"SWE 22, RUS 20",0,0,0,0,0
1996 Summer,23,Atlanta,Handball,Russia,RUS,Group A,Match #11,2,1996-07-29,"CRO 25, RUS 24",1,1,1,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Semi-Finals,Match #1,1,2000-09-29,"RUS 29, SCG 26",3,0,0,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Quarter-Finals,Match #1,1,2000-09-26,"RUS 33, SLO 22",2,0,0,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Group A,Match #3,1,2000-09-16,"RUS 22, EGY 21",3,0,0,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Group A,Match #6,1,2000-09-18,"RUS 31, CUB 26",3,0,0,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Group A,Match #7,1,2000-09-20,"RUS 26, KOR 24",2,0,0,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Group A,Match #12,2,2000-09-22,"GER 25, RUS 23",1,1,1,0,0
2000 Summer,27,Sydney,Handball,Russia,RUS,Group A,Match #15,1,2000-09-24,"RUS 27, SCG 25",1,0,1,0,0
