Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
Hamburg,A - Stuttgart,"May 16, 2015",Bund,L 2-1,Sub-Off 63 min,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
Hamburg,H - Freiburg,"May 8, 2015",Bund,D 1-1,Sub-On 57 min,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
Hamburg,A - Mainz,"May 3, 2015",Bund,W 1-2,Substitute,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
Hamburg,H - Augsburg,"Apr 25, 2015",Bund,W 3-2,Substitute,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Hamburg,A - Bremen,"Apr 19, 2015",Bund,L 1-0,Unused Substitute, , , , , , , , 
Hamburg,A - Bayern,"Feb 14, 2015",Bund,L 8-0,Started,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Hamburg,H - Hannover,"Feb 7, 2015",Bund,W 2-1,Started,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0
Hamburg,A - Paderborn,"Feb 4, 2015",Bund,W 0-3,Started,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0
Hamburg,H - Cologne,"Jan 31, 2015",Bund,L 0-2,Started,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
Hamburg,A - Wolfsburg,"Nov 9, 2014",Bund,L 2-0,Sub-Off 69 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hamburg,H - Leverkusen,"Nov 1, 2014",Bund,W 1-0,Started,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Hamburg,H - Bayern,"Oct 29, 2014",Ger Cup,L 1-3,Unused Substitute, , , , , , , , 
Hamburg,A - Hertha,"Oct 25, 2014",Bund,L 3-0,Started,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0
Hamburg,H - Hoffenheim,"Oct 19, 2014",Bund,D 1-1,Sub-On 65 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hamburg,A - Dortmund,"Oct 4, 2014",Bund,W 0-1,Started,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
Hamburg,H - Paderborn,"Aug 30, 2014",Bund,L 0-3,Sub-Off 70 min,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
Hamburg,A - Cologne,"Aug 23, 2014",Bund,D 0-0,Started,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hamburg,A - Cottbus,"Aug 18, 2014",Ger Cup,W (1) 2-(4) 2,Started,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0
