H,CS,Player,AB
34,1,R Noris,136
18,1,M Delaney,101
8,0,B Webb,43
4,0,J Valdespin,23
12,1,L Escobar,53
8,0,D Garcia,36
7,0,C Holliday,40
32,2,G Mambell,144
43,2,K Mahoney,190
23,0,Y Rodriguez,84
18,1,L Marchena,68
49,0,A Odreman,195
18,0,H Perez,81
5,0,Y Gomes,14
23,8,M De La Cruz,112
28,0,K Vargas,109
12,0,D Hissey,53
1,0,O Tovar,4
49,1,D Anderson,181
2,0,M Ohlman,11
12,0,W Lin,33
34,1,F Martinez,153
32,0,O Dominguez,142
12,2,J Nunez,62
41,0,N Zaleski,147
0,0,F Perez,3
4,0,C Smith,44
38,9,G Ngoepe,160
19,0,G Pena,99
10,0,Y Gonzalez,48
3,0,J Sladek,16
11,0,G Ortiz,66
10,1,S Grimes,41
35,1,T Dayleg,130
5,1,K Wilson,25
1,0,Z Heathcott,10
8,0,S Guerrero,40
10,0,C Vazquez,36
31,2,A Nieto,136
29,1,E Soto,149
1,1,J Del Campo,15
54,1,L Hiller,197
15,0,D Vicioso,52
16,1,I Kang,81
41,4,C Hinojosa,127
4,1,R Garcia,26
6,0,C Kelly,28
33,2,K Teran,86
3,0,D Stewart,19
44,2,J Cruz,166
1,0,M Brady,29
36,6,J Garcia,168
24,3,C Lovett,104
3,0,M Weaver,22
35,4,H Pace,163
6,0,E Mejia,28
0,0,J Thompson,0
8,0,M Pimentel,26
36,0,L Bryan,106
35,2,G Gonzalez,155
19,2,M Alvarez,73
28,2,J Babrick,137
26,4,A Montilla,127
61,2,E Hernandez,207
37,7,E Cintron,161
54,1,K De Leon,201
36,5,J Sierra,107
27,0,K Hinze,103
39,4,K Roque,123
25,2,M McConnell,102
16,0,M Kramer,63
5,0,B Anderson,16
33,4,E Sosa,165
29,1,Y Tejeda,118
4,0,A Buchholz,16
39,1,L Castillo,178
21,2,R Ramos,83
13,1,A Segovia,69
9,0,F Hanvi,52
22,3,D Phillips,91
6,0,W Alvino,34
3,0,C Paulino,9
4,1,N Simon,17
7,1,D Peters,86
24,0,F Arcia,97
2,0,L Montanez,6
18,0,C Greene,63
35,1,E King,138
15,0,X Lopez,72
1,0,C Dunn,3
2,1,R Martinez,23
6,0,W Ramos,19
11,0,J Polanco,57
24,1,J Rodriguez,121
23,1,J Murphy,88
3,0,M Davis,20
31,5,R Flores,158
8,1,F Galvis,29
26,1,M Hejma,96
5,0,D Freese,11
40,4,J Melenciano,158
10,1,T Johnson,55
37,2,A Feliz,142
20,1,G Wright,108
45,3,C Valera,186
29,0,J Singleton,100
18,3,T Ozga,93
49,4,J Concepcion,160
5,0,E Johnson,16
23,0,C Tang,75
15,1,A Valdez,54
13,1,B Namba,77
6,0,E Thames,21
15,0,R Martinez,50
2,0,A Reza,9
2,0,J Mather,8
40,4,K Rose,142
14,0,K Denis-Fortier,75
25,2,C Vasquez,146
20,0,J Arias,82
3,0,J Cabrera,18
5,1,R Doran,37
9,0,D Calderon,44
12,0,C Maron,41
12,2,A Romero,48
5,0,J Fernandez,26
24,1,S Schwindenhammer,124
0,0,J Cipriota,4
6,0,B Afenir,15
40,5,C Hernandez,150
46,5,B Gonzalez,159
27,2,J Marquez,96
8,0,J Liccien,80
5,1,N Walker,30
1,0,A Green,6
25,0,J Morales,110
4,0,T Krick,23
17,0,T Simas,89
40,4,J Silva,143
29,4,T Bowe,101
35,5,K Dugan,150
1,0,R Goins,9
22,0,E Lora,99
3,0,J Lopez,11
0,0,S Marte,7
18,1,A Rodriguez,62
1,0,D Young,6
2,0,E Gomez,7
1,0,K Hernandez,5
31,1,H Choi,111
19,1,D Hernandez,94
46,0,G Olivares,179
10,0,N Tindall,54
6,0,H Brantley,39
21,5,E Roman,110
29,1,J Mosquera,125
2,0,R Pena,11
11,1,L Nakandakare,64
32,1,J Rodriguez,139
3,0,L Hughes,11
7,0,J Sallis,45
34,0,J Rodriguez,97
0,0,A Kam,1
9,0,M Lokken,38
29,1,W Gimenez,104
23,0,R Rhodes,116
12,0,F Diaz,54
44,1,T Stampone,141
45,5,G Pierre,174
46,1,A Tejeda,193
39,2,D Medina,144
1,0,D Hord,5
4,0,G Nunez,21
18,4,E Blanco,75
34,4,F Sanchez,138
33,2,J Cuello,138
6,0,P Cech,39
20,0,T Yockey,77
4,1,J Aguilera,28
29,1,A Diaz,119
33,1,Z Hall,111
