G,Rk,ORtg,eFG%,AST%,Opp,STL%,TRB%,GmSc
64,64,76,.333,6.5,WSB,0.0,26.6,2.5
3,3,148,.600,7.3,MIA,2.6,31.6,8.4
73,73,0,.000,0.0,NJN,0.0,0.0,-2.2
75,75,109,.400,0.0,ORL,0.0,8.2,3.0
34,34,70,.200,0.0,NYK,0.0,11.3,-0.2
65,65,103,.429,7.1,SAC,1.5,30.9,10.7
78,78,98,.429,0.0,WSB,0.0,16.0,4.1
4,4,89,.357,0.0,CHH,0.0,10.1,3.9
70,70,201,1.000,0.0,DET,0.0,15.2,4.7
69,69,145,.000,13.2,NYK,4.8,12.1,3.6
50,50,89,.333,0.0,IND,0.0,14.6,1.8
62,62,46, ,0.0,POR,0.0,10.8,-0.3
37,37,117,.500,0.0,ORL,0.0,14.7,5.1
25,25,100,.667,18.8,HOU,0.0,18.1,4.5
11,11,127,.667,9.1,WSB,0.0,11.6,6.9
47,47,103,.400,8.2,SAS,0.0,18.6,5.3
2,2,91,.500,15.2,MIL,4.2,20.1,3.7
7,7,151,.667,0.0,WSB,0.0,20.5,3.7
54,54,104,.500,0.0,DET,0.0,0.0,0.5
55,55,109,.750,0.0,SAS,2.5,14.4,5.0
16,16,96,.500,0.0,MIA,0.0,15.8,2.3
61,61,201,1.000,11.6,LAL,0.0,12.2,4.7
20,20,159,.750,0.0,SEA,0.0,19.8,7.1
42,42,77,.000,0.0,ORL,0.0,12.5,-0.2
28,28,104,.429,0.0,SEA,0.0,18.0,4.7
6,6,57,.286,0.0,NYK,0.0,10.4,-0.7
59,59,55,.000,15.9,CHH,0.0,29.2,0.9
44,44,143,.000,0.0,PHI,6.9,25.1,3.2
1,1,122,.571,7.5,MIN,0.0,36.2,9.2
60,60,67,.286,0.0,GSW,2.8,24.4,3.1
10,10,54, ,0.0,ATL,0.0,12.3,-0.5
39,39,97,.333,11.6,CHI,2.1,26.6,8.1
