GS,BLK%,Opp,Tm,TRB%,TOV%,DRtg,G,eFG%
1,9.5,WAS,TOR,16.0,14.5,110,44,.800
1,0.0,MIA,TOR,20.6,16.7,102,19,.600
1,9.9,CHA,TOR,10.3,14.5,94,71,.600
1,0.0,PHI,TOR,12.2,22.5,93,37,.667
1,5.8,SAC,TOR,16.1,0.0,96,38,.667
1,4.5,CLE,TOR,9.2,0.0,105,16,.400
1,6.5,NJN,TOR,7.1,11.1,85,21,.750
1,6.5,CHA,TOR,9.8,20.0,98,40,.625
1,0.0,WAS,TOR,10.5,0.0,111,70,.750
1,4.7,LAC,TOR,12.2,0.0,116,46,.667
1,0.0,MIN,TOR,18.4,11.1,110,76,.750
1,8.6,NYK,TOR,14.9,42.9,95,63,.250
1,7.5,CHI,TOR,20.4,25.0,79,75,1.000
1,2.4,MIN,TOR,10.2,0.0,107,27,.571
0,0.0,LAL,TOR,12.4,0.0,111,8,.800
1,0.0,UTA,TOR,2.7,0.0,119,39,1.000
1,8.1,PHO,TOR,18.2,20.0,97,30,.375
1,3.0,MIA,TOR,17.5,0.0,103,72,.500
1,4.8,IND,TOR,6.8,12.7,109,43,.667
1,0.0,POR,TOR,4.5,0.0,116,18,.000
1,7.9,GSW,TOR,15.9,15.0,113,22,.500
1,7.8,MIL,TOR,12.6,0.0,95,2,.417
1,0.0,PHI,TOR,10.2,0.0,123,80,.600
1,9.2,DET,TOR,7.0,0.0,112,49,.500
1,6.7,BOS,TOR,18.1,25.0,102,42,.333
1,3.4,NOK,TOR,15.0,28.6,94,41,.200
1,0.0,ATL,TOR,12.8,0.0,114,5,.500
1,11.9,WAS,TOR,6.8,20.5,139,59,.667
1,0.0,ATL,TOR,9.6,23.1,112,45,.600
1,0.0,CHI,TOR,0.0,0.0,125,50,.800
1,2.4,ORL,TOR,8.4,0.0,94,66,1.000
1,0.0,MIL,TOR,21.9,0.0,104,57,.333
1,0.0,MIL,TOR,13.7,0.0,84,34,.000
1,0.0,NJN,TOR,12.5,0.0,114,33,.000
1,0.0,GSW,TOR,10.6,0.0,115,7,.000
0,13.1,UTA,TOR,10.2, ,101,10, 
1,2.8,ATL,TOR,21.3,28.7,115,31,.429
1,0.0,LAC,TOR,11.8,17.7,108,24,.500
1,5.3,CLE,TOR,20.1,0.0,89,52,.000
1,2.4,POR,TOR,9.7,7.7,100,25,.500
1,0.0,DET,TOR,13.1,25.0,82,77,.333
1,8.3,ORL,TOR,14.8,17.0,91,20,.750
