SO,3B,H,GIDP,SB,AVG,SF,R
12,1,2,0,0,0.051,0,5
26,0,37,2,3,0.222,3,38
19,2,61,3,1,0.381,3,29
11,0,21,6,2,0.231,0,7
25,1,62,4,9,0.302,1,30
41,4,66,5,10,0.276,2,45
15,1,11,0,2,0.204,1,8
5,1,2,0,0,0.182,0,1
20,0,10,2,0,0.149,1,3
6,0,4,0,0,0.235,0,2
34,0,40,2,2,0.244,0,19
33,0,77,10,6,0.317,1,39
3,0,3,0,0,0.231,2,3
2,3,70,2,11,0.361,1,31
32,1,36,2,1,0.261,2,17
22,1,64,5,11,0.308,5,34
17,0,15,3,2,0.195,1,2
44,1,96,2,3,0.402,3,56
7,0,11,5,1,0.186,1,5
22,0,27,2,4,0.211,0,19
20,0,13,3,3,0.165,0,11
13,1,22,5,9,0.237,1,12
42,1,25,2,3,0.192,0,13
8,0,18,0,8,0.29,0,22
4,0,9,0,1,0.25,0,4
5,0,8,0,1,0.286,0,2
