AB,R,CS,BB,SH,POS,3B,SF,RBI
453,74,3,54,1,SS,4,8,83
3,0,0,0,0,P,0,0,0
222,22,0,24,1,1B,0,1,30
132,17,1,13,0,LF,0,0,13
329,60,1,64,3,OF,2,1,49
379,58,2,32,0,C,2,8,69
384,56,0,24,0,OF,0,10,78
345,39,3,20,2,OF,0,1,45
4,2,0,2,2,P,0,0,0
0,0,0,0,0,P,0,0,0
1,0,0,1,0,P,0,0,0
474,64,9,62,16,2B,2,0,37
8,1,0,2,0,P,0,0,0
0,0,0,0,0,P,0,0,0
423,75,5,46,1,SS,2,5,61
14,3,0,5,0,OF,0,1,2
136,11,0,20,0,1B,1,2,18
94,21,1,19,0,C,0,1,10
118,12,1,13,3,2B,2,2,17
78,6,0,10,0,C,0,1,4
323,45,2,23,0,C,1,2,46
524,93,7,72,9,LF,11,5,70
542,105,9,44,11,SS,1,8,57
392,40,8,25,8,2B,5,2,28
412,56,4,37,0,OF,3,2,52
12,3,0,0,0,C,0,0,2
8,0,0,0,0,1B,0,0,0
327,40,1,49,5,1B,0,10,45
3,0,0,0,0,P,0,0,0
425,51,7,45,0,3B,2,4,37
8,0,0,0,1,C,0,0,0
214,33,5,18,1,OF,0,2,30
457,58,7,50,4,OF,3,3,51
153,8,0,2,3,C,0,1,5
22,2,0,0,3,P,0,0,2
500,84,2,64,1,1B,0,2,109
515,77,6,47,2,3B,3,2,79
16,3,0,3,0,OF,0,1,2
1,0,0,1,1,P,0,0,1
392,68,2,38,2,OF,4,4,62
2,0,0,0,2,P,0,0,0
83,12,0,9,1,C,0,1,24
163,23,1,6,0,OF,1,0,18
374,45,6,33,4,C,0,2,53
266,27,6,39,3,SS,1,0,24
1,0,0,0,1,P,0,0,0
387,47,5,35,2,3B,0,6,43
0,0,0,0,0,P,0,0,0
0,0,0,0,0,P,0,0,0
90,6,2,2,2,SS,1,1,4
318,37,5,30,8,2B,6,3,42
185,36,2,31,3,2B,4,3,15
0,0,0,0,0,P,0,0,0
157,17,0,16,4,SS,0,2,8
462,75,8,50,1,3B,7,4,71
195,28,1,23,3,C,1,0,34
4,0,0,0,0,P,0,0,0
0,0,0,0,0,P,0,0,0
87,12,0,19,1,C,0,3,14
242,29,2,30,1,1B,1,1,33
408,57,3,46,9,3B,3,4,55
208,38,4,22,0,OF,2,2,16
44,3,0,2,0,OF,0,0,3
156,38,0,24,1,C,2,1,26
0,0,0,0,0,P,0,0,0
30,3,0,2,0,OF,0,0,4
72,7,0,6,0,C,0,2,10
31,7,1,6,2,OF,0,0,7
393,55,6,54,5,2B,1,3,46
366,57,3,19,2,2B,1,0,45
444,71,7,46,1,3B,1,3,78
3,0,0,0,1,C,0,0,1
0,0,0,0,0,P,0,0,0
376,64,3,58,0,C,1,1,55
417,55,1,28,0,OF,3,6,73
394,61,4,37,0,2B,2,9,75
288,35,4,22,6,3B,2,5,35
439,70,1,52,3,1B,1,8,67
104,16,2,7,2,1B,1,1,25
355,52,3,38,3,OF,1,7,62
269,32,0,25,2,SS,2,3,29
298,42,1,23,2,3B,3,2,63
495,69,2,60,0,1B,8,7,91
252,21,0,16,1,3B,0,0,20
329,48,3,34,7,SS,2,3,46
180,17,5,8,11,SS,0,0,7
4,1,0,2,0,P,0,0,0
303,54,1,33,2,C,3,1,47
1,0,0,0,0,P,0,0,0
0,0,0,0,0,P,0,0,0
444,76,7,70,0,OF,1,4,82
411,65,7,37,4,2B,7,5,38
60,3,0,2,0,C,0,1,2
15,2,0,1,0,OF,0,1,4
452,74,4,55,1,1B,1,5,103
121,16,0,14,1,OF,2,0,15
43,6,1,3,1,SS,0,0,3
18,5,0,2,0,1B,0,0,2
127,19,3,16,3,SS,2,0,10
0,0,0,0,0,P,0,0,0
0,0,0,0,0,P,0,0,0
2,0,0,0,0,P,0,0,0
140,16,0,9,0,3B,0,0,13
561,83,13,27,8,OF,4,4,50
397,64,5,58,3,2B,2,3,51
251,43,2,30,1,3B,3,1,20
92,12,0,20,0,1B,0,0,14
133,21,0,19,0,OF,0,0,18
64,5,0,3,0,C,0,0,9
505,82,7,33,7,OF,2,5,82
