GmSc,ORB%,USG%,TOV%,Date,Rk,G,BLK%
7.5,5.8,16.6,14.5,2004-03-09,53,53,0.0
0.9,9.7,26.0,28.6,2003-11-12,8,8,0.0
0.7,0.0,25.5,29.1,2003-12-02,15,15,5.3
0.7,51.1,11.2,0.0,2004-01-25,39,39,0.0
-1.7,0.0,47.5,50.0,2004-03-03,51,51,0.0
-1.6,0.0,9.6,0.0,2003-11-15,10,10,0.0
0.6,0.0,29.6,16.7,2003-11-03,3,3,9.5
0.0,0.0,0.0, ,2003-11-05,4,4,0.0
-1.1,0.0,33.4,0.0,2004-02-22,50,50,0.0
1.9,7.6,3.5,0.0,2004-01-19,36,36,5.0
0.9,0.0,11.7,0.0,2004-02-12,46,46,0.0
4.0,7.4,17.6,28.6,2003-11-10,7,7,7.6
3.0,0.0,11.9,0.0,2003-12-19,24,24,0.0
-1.0,0.0,11.3,100.0,2004-04-04,59,59,0.0
1.2,0.0,11.7,34.7,2004-04-14,62,62,0.0
15.4,22.2,26.6,7.8,2004-01-07,30,30,2.7
1.9,0.0,15.3,0.0,2004-04-10,60,60,8.1
0.7,0.0,13.8,0.0,2004-01-17,35,35,0.0
15.5,8.1,35.0,0.0,2003-11-26,14,14,0.0
