GIDP,Player,G,SB,SO,2B,H,SLG,AVG,AB
1,J Urgelles,2,0,2,0,0,0.0,0.0,7
7,J Johnson,112,18,72,8,92,0.312,0.241,381
10,J Whittleman,130,7,97,21,106,0.343,0.227,466
11,S Kleen,126,5,87,24,131,0.382,0.281,466
12,J Baisley,124,6,86,35,139,0.519,0.298,466
1,R Leahy,12,1,7,1,10,0.289,0.263,38
1,M Hollimon,128,19,124,29,125,0.501,0.278,449
1,C Hayes,17,1,8,1,7,0.157,0.137,51
6,B Crabtree,62,3,53,6,48,0.306,0.245,196
7,B Byrne,120,3,88,24,125,0.41,0.286,437
9,M Reed,101,14,82,12,88,0.304,0.252,349
7,M Ferrer,78,3,58,5,61,0.31,0.246,248
5,D Hicks,108,9,42,24,89,0.331,0.237,375
6,W Long,84,8,40,9,49,0.247,0.198,247
1,R Mercado,27,0,23,5,23,0.319,0.245,94
0,A Martinez,22,0,20,1,6,0.109,0.094,64
6,I Gac,54,0,82,8,41,0.356,0.197,208
7,A Garibaldi,95,9,91,11,64,0.331,0.21,305
1,T Schlichting,31,6,23,5,24,0.404,0.242,99
0,L Sanchez,3,0,1,0,4,0.4,0.4,10
7,H Vick,62,2,28,6,34,0.25,0.213,160
0,A Colon,10,0,17,0,3,0.097,0.097,31
2,R Cruz,19,1,30,0,6,0.167,0.111,54
1,O Pena,29,2,25,4,25,0.38,0.25,100
5,F Martinez,117,11,81,25,108,0.382,0.261,414
0,J Guzman,3,1,1,0,1,0.125,0.125,8
2,A Liddi,11,0,8,1,7,0.211,0.184,38
0,R Lilly,22,0,14,4,23,0.5,0.319,72
12,N Walton,128,19,122,15,79,0.246,0.19,415
0,B Schweiger,2,0,2,0,2,0.5,0.5,4
3,B Mosby,86,0,91,15,69,0.412,0.237,291
6,D Ryan,98,3,102,13,79,0.354,0.245,322
8,S Mena,107,1,104,20,92,0.39,0.264,349
4,C Wu,22,1,13,3,15,0.26,0.195,77
2,T Scott,38,0,37,8,32,0.333,0.242,132
11,R Norwood,134,5,106,28,155,0.451,0.307,505
6,C Steiner,38,0,24,5,31,0.285,0.215,144
5,B Martinez,100,6,87,9,80,0.291,0.226,354
4,J Reininger,34,0,38,6,23,0.333,0.219,105
8,M Haske,100,7,46,5,74,0.265,0.239,309
7,B Valichka,65,4,46,12,51,0.367,0.231,221
1,R Roberson,34,3,42,5,31,0.286,0.233,133
2,W Luque,30,1,20,2,22,0.36,0.247,89
0,M Sweeney,2,0,2,0,1,0.571,0.143,7
8,B Taylor,53,2,33,11,40,0.33,0.213,188
2,J Tucker,39,3,33,8,32,0.438,0.25,128
3,N Hundley,57,1,45,19,59,0.474,0.274,215
12,J Bell,75,1,90,15,72,0.451,0.273,264
17,T Hendricks,103,3,56,16,87,0.319,0.23,379
2,M Edwards,70,10,56,3,43,0.302,0.216,199
10,B Everett,86,4,45,13,76,0.35,0.256,297
13,M Griffin,131,10,94,33,144,0.378,0.263,548
2,A Jamieson,70,3,49,13,57,0.372,0.261,218
3,B Yarbrough,29,1,33,6,33,0.422,0.303,109
0,A Hatch,70,5,37,23,75,0.548,0.314,239
5,E Lis,105,4,83,37,134,0.547,0.326,411
