SF,SLG,AVG,OBP,H,RBI,G
1,.330,.216,0.3,19,8,33
3,.433,.291,0.364,41,21,43
3,.289,.228,0.278,26,10,35
0,.440,.300,0.375,15,10,15
1,.258,.212,0.293,14,13,28
0,.500,.313,0.45,5,2,5
0,.438,.313,0.389,5,2,5
2,.216,.189,0.326,14,7,34
2,.279,.221,0.274,19,7,32
1,.321,.274,0.347,23,2,22
1,.216,.190,0.233,29,12,45
0,1.000,.500,0.667,2,0,2
1,.333,.289,0.363,46,13,49
0,.246,.210,0.327,29,16,43
0,.279,.265,0.367,18,5,26
0,.333,.333,0.333,1,0,1
0,.394,.261,0.309,37,10,46
0,.517,.345,0.406,10,3,8
0,.273,.273,0.467,3,0,4
1,.240,.187,0.271,14,4,30
0,.304,.174,0.174,4,2,8
1,.255,.224,0.33,22,5,39
0,.333,.333,0.429,2,1,2
0,.173,.154,0.241,8,3,23
1,.394,.226,0.316,35,16,45
1,.362,.246,0.291,34,11,40
0,.333,.278,0.278,5,2,5
2,.375,.279,0.358,29,22,35
0,.308,.308,0.4,8,2,9
1,.269,.238,0.292,46,12,48
1,.347,.178,0.311,18,15,40
1,.274,.194,0.252,24,10,36
1,.288,.212,0.311,11,5,28
0,.200,.200,0.429,1,0,2
0,.329,.214,0.313,15,9,20
2,.431,.271,0.394,49,35,50
1,.277,.205,0.253,34,11,43
0,.346,.271,0.304,29,9,35
1,.397,.286,0.361,18,5,22
2,.317,.217,0.324,26,8,37
0,.364,.273,0.333,3,1,6
1,.250,.222,0.343,32,10,45
0,.313,.192,0.245,19,9,33
1,.245,.215,0.295,35,12,47
0,.500,.333,0.4,6,3,5
1,.310,.214,0.293,36,16,49
1,.278,.167,0.354,6,4,20
1,.440,.290,0.395,29,12,31
1,.218,.191,0.313,21,8,41
0,.344,.271,0.314,26,9,31
0,.583,.361,0.41,13,7,9
0,.414,.222,0.287,22,7,34
2,.130,.101,0.19,7,2,26
0,.531,.308,0.353,44,17,41
1,.270,.219,0.275,39,14,52
7,.323,.210,0.286,26,20,39
0,.250,.250,0.25,1,0,2
0,.250,.208,0.24,5,1,6
0,.306,.222,0.317,8,2,10
0,.319,.242,0.317,22,13,32
0,.500,.273,0.333,6,4,6
0,.482,.274,0.316,54,45,53
1,.438,.269,0.33,54,31,56
1,.422,.311,0.36,14,7,16
2,.381,.246,0.289,29,23,35
3,.320,.222,0.256,34,23,43
0,.263,.237,0.396,9,3,16
0,.338,.204,0.257,29,16,43
0,.240,.240,0.296,6,0,7
0,.313,.250,0.308,12,4,26
0,.182,.182,0.308,2,1,4
0,.222,.222,0.323,12,4,29
3,.333,.242,0.304,45,21,54
0,.333,.190,0.261,4,4,6
0,.000,.000,0.0,0,0,2
1,.176,.176,0.293,6,2,12
0,.333,.250,0.333,6,0,8
2,.359,.239,0.314,22,7,34
0,.304,.226,0.257,38,15,46
0,.440,.320,0.346,8,3,7
1,.361,.253,0.353,40,24,46
1,.303,.244,0.316,29,18,33
