PF,PPG,3P%,FGA,RPG,FGM,Team,FT%,SPG,TOV
2.4,17.2,0.412,13.6,4.6,5.7,LU,0.827,1.9,3.1
2.4,7.9,0.294,6.3,4.7,2.7,XAV,0.77,0.8,1.6
2.6,5.3,0.333,4.0,1.7,1.7,STBN,0.667,0.8,1.7
2.4,8.4,0.111,5.8,7.4,3.2,UMass,0.719,0.4,1.4
2.1,11.5,0.317,9.4,3.1,3.4,DUQ,0.759,0.7,1.8
1.3,6.9,0.284,6.7,1.5,2.8,VCU,0.781,0.8,1.0
2.0,13.5,0.314,12.1,2.8,4.5,DUQ,0.667,0.8,3.6
2.3,14.6,0.167,10.2,8.1,5.8,VCU,0.707,1.4,1.6
2.3,7.5,0.303,6.6,3.7,2.6,GW,0.648,1.2,3.0
2.7,10.3,0.196,8.0,5.5,3.5,CHAR,0.706,2.5,2.8
1.9,7.5,0.154,5.6,5.0,2.8,XAV,0.627,0.1,1.0
1.9,9.8,0.383,8.9,3.1,3.5,FORD,0.729,0.9,2.1
2.6,6.3,0.0,5.7,4.3,2.7,FORD,0.577,0.2,1.6
2.5,6.4,0.195,5.2,4.4,2.2,UMass,0.73,0.8,1.5
2.1,8.9,0.307,8.7,2.7,2.6,URI,0.726,1.0,2.6
3.2,6.0,0.0,5.0,7.0,2.8,FORD,0.351,0.3,1.2
2.4,10.8,0.0,7.4,6.7,4.3,LU,0.633,0.6,1.7
3.4,10.3,0.32,9.1,5.2,3.5,URI,0.667,0.9,1.9
2.7,8.5,0.0,5.9,6.2,3.4,CHAR,0.495,0.5,1.5
3.3,8.5,0.268,7.0,7.2,3.0,SJU,0.761,0.9,3.3
1.2,5.0,0.366,4.3,4.2,1.7,DUQ,0.692,0.4,1.0
2.2,4.5,0.0,3.1,2.9,1.8,SLU,0.476,0.4,0.8
3.5,10.6,0.0,7.6,4.2,4.3,DAY,0.633,0.5,2.2
2.7,7.6,0.214,7.6,3.7,2.6,CHAR,0.71,0.8,2.0
1.6,7.3,0.306,5.8,1.7,2.5,STBN,0.812,0.8,1.8
1.5,4.4,0.25,4.2,2.4,1.3,GW,0.7,0.5,1.2
1.7,9.6,0.0,7.2,4.5,4.1,BU,0.574,0.4,1.0
2.4,5.2,0.0,3.9,4.0,2.3,URI,0.447,0.3,1.1
2.1,15.3,0.396,11.1,1.9,4.5,DAY,0.892,1.1,3.2
2.1,7.6,0.31,6.7,3.9,2.8,DUQ,0.588,0.9,1.3
2.4,14.3,0.358,9.6,7.1,4.4,STBN,0.87,0.9,2.4
1.9,6.2,0.0,4.5,4.6,2.4,CHAR,0.457,0.2,1.8
2.6,11.9,0.255,8.9,5.5,4.1,CHAR,0.746,0.8,2.3
1.9,10.4,0.253,7.5,5.6,3.7,SJU,0.793,0.5,1.1
1.8,4.5,0.25,3.2,4.9,1.8,BU,0.654,0.6,1.1
2.1,10.1,0.222,8.2,3.7,3.9,GW,0.675,1.2,2.2
