REB,AST,FT%,FGM,3PM,MIN,DRB,FTM
5.8,2.3,0.769,4.8,0.4,12.2,4.4,2.0
6.4,2.7,0.719,4.2,2.1,12.1,5.2,1.3
3.6,4.5,0.82,5.7,1.8,35.5,3.2,2.4
6.1,3.0,0.851,4.8,2.7,22.6,5.3,2.4
3.3,2.3,0.724,3.7,1.2,9.9,2.6,1.9
3.7,5.8,0.773,7.0,1.1,37.5,3.2,3.4
5.1,2.0,0.826,3.6,1.7,27.5,4.2,0.9
2.9,2.6,0.797,5.3,2.5,34.8,2.3,2.2
5.7,4.4,0.833,2.7,2.0,26.9,4.8,0.7
8.1,2.1,0.749,5.0,0.0,26.0,5.8,2.5
5.1,2.0,0.808,6.0,1.1,27.8,4.2,3.4
5.3,1.6,0.734,4.7,2.0,33.7,3.9,1.8
3.1,3.8,0.746,6.9,1.3,28.8,2.6,3.3
3.8,3.6,0.827,5.7,1.7,29.2,3.0,4.2
5.5,2.0,0.803,4.0,0.7,26.0,3.2,3.2
6.4,4.4,0.74,5.5,0.7,35.3,5.7,1.9
3.7,3.2,0.857,6.2,1.1,36.0,3.3,3.0
3.3,2.1,0.82,5.7,1.9,23.9,2.7,2.7
3.5,3.0,0.743,4.8,0.6,18.0,2.4,2.7
5.7,2.7,0.822,5.7,2.1,32.5,4.7,4.5
3.8,2.2,0.167,2.9,1.2,13.5,3.3,0.1
5.0,1.6,0.75,4.2,2.1,9.0,4.4,0.7
3.5,3.1,0.865,6.0,2.2,21.8,3.2,1.6
4.4,4.7,0.811,6.3,1.7,24.4,3.5,2.7
2.9,2.0,0.588,3.7,0.9,12.3,2.4,1.2
3.6,2.3,0.907,4.9,2.0,21.3,3.1,1.5
3.6,1.7,0.77,2.9,0.4,13.0,2.7,3.1
5.2,5.3,0.726,8.6,0.3,34.6,3.9,4.6
4.0,2.3,0.848,4.9,2.9,27.5,3.4,1.1
