LVL,oppOBP,oppAVG,VORP,AB,GS,#
MLB,0.323,0.256,-5.4,534,20,119.0
MLB,0.321,0.258,4.3,828,33,9.0
MLB,0.314,0.252,-7.3,567,20,122.0
MLB,0.315,0.249,3.1,303,13,156.0
MLB,0.302,0.244,16.4,563,24,94.0
MLB,0.321,0.258,-4.8,546,22,107.0
MLB,0.311,0.253,16.2,775,32,29.0
MLB,0.322,0.257,-8.0,533,24,91.0
MLB,0.313,0.253,31.6,798,32,37.0
MLB,0.324,0.26,-0.7,367,15,149.0
MLB,0.31,0.251,9.3,692,30,61.0
MLB,0.315,0.253,-18.9,432,20,118.0
MLB,0.315,0.252,1.8,283,0,178.0
MLB,0.315,0.255,6.9,445,16,142.0
MLB,0.324,0.261,4.3,341,15,148.0
MLB,0.308,0.247,-0.4,433,20,123.0
MLB,0.304,0.244,35.4,832,33,16.0
MLB,0.309,0.251,-3.1,415,19,127.0
MLB,0.317,0.256,18.3,721,30,56.0
MLB,0.317,0.254,9.5,521,24,96.0
MLB,0.315,0.25,16.7,376,16,143.0
MLB,0.308,0.251,23.1,788,32,39.0
MLB,0.315,0.251,23.2,619,29,71.0
MLB,0.313,0.255,15.0,431,19,128.0
MLB,0.319,0.256,25.0,762,33,11.0
MLB,0.31,0.248,6.7,338,15,147.0
MLB,0.307,0.249,4.7,769,33,13.0
MLB,0.312,0.253,15.5,667,30,58.0
MLB,0.318,0.253,4.2,332,12,159.0
MLB,0.312,0.252,-0.7,318,0,177.0
MLB,0.312,0.251,25.4,822,33,12.0
MLB,0.306,0.247,29.8,732,32,38.0
MLB,0.309,0.25,54.0,840,33,8.0
MLB,0.317,0.256,7.3,484,20,124.0
MLB,0.309,0.246,0.1,292,8,163.0
MLB,0.306,0.248,20.8,762,32,20.0
MLB,0.315,0.256,15.1,336,15,145.0
MLB,0.315,0.25,0.9,370,17,140.0
MLB,0.322,0.258,11.8,452,15,150.0
MLB,0.311,0.248,9.8,476,21,113.0
MLB,0.319,0.256,-2.7,757,32,28.0
MLB,0.306,0.248,8.0,384,18,132.0
MLB,0.31,0.247,18.1,657,30,59.0
MLB,0.318,0.253,4.6,368,17,139.0
MLB,0.32,0.257,15.2,574,26,83.0
MLB,0.306,0.246,15.4,631,30,53.0
MLB,0.315,0.252,31.9,611,28,73.0
MLB,0.32,0.254,-1.5,545,23,101.0
MLB,0.318,0.252,5.1,289,0,174.0
MLB,0.321,0.26,8.0,676,31,41.0
MLB,0.309,0.25,16.2,341,0,171.0
MLB,0.316,0.255,6.8,357,0,167.0
MLB,0.308,0.247,8.4,479,15,144.0
MLB,0.321,0.256,9.3,586,24,97.0
MLB,0.313,0.252,8.4,587,24,92.0
MLB,0.316,0.253,34.6,814,32,19.0
MLB,0.307,0.246,15.0,490,21,114.0
MLB,0.302,0.244,12.1,367,18,130.0
MLB,0.303,0.244,-4.7,451,19,126.0
MLB,0.307,0.245,8.6,364,14,152.0
MLB,0.309,0.25,11.6,289,11,160.0
MLB,0.324,0.259,5.7,377,18,131.0
MLB,0.317,0.26,6.6,328,13,155.0
MLB,0.321,0.258,32.5,764,31,50.0
MLB,0.309,0.252,30.7,773,32,36.0
MLB,0.316,0.255,15.6,567,27,76.0
MLB,0.319,0.257,16.7,703,29,66.0
MLB,0.313,0.252,3.3,287,0,181.0
MLB,0.307,0.25,37.2,646,26,86.0
MLB,0.309,0.249,5.8,424,20,121.0
MLB,0.312,0.255,-0.9,326,9,162.0
MLB,0.32,0.258,0.0,579,25,90.0
MLB,0.316,0.256,7.5,402,18,129.0
MLB,0.316,0.253,14.8,283,0,168.0
MLB,0.32,0.258,3.3,471,15,146.0
MLB,0.319,0.256,6.5,550,24,98.0
MLB,0.325,0.262,10.4,527,22,105.0
MLB,0.31,0.251,-2.5,547,25,89.0
MLB,0.311,0.253,-1.7,771,32,21.0
MLB,0.322,0.257,20.1,813,33,6.0
MLB,0.312,0.25,13.1,627,31,49.0
MLB,0.315,0.252,10.1,282,0,172.0
MLB,0.322,0.26,36.9,800,30,57.0
MLB,0.321,0.256,5.7,319,0,165.0
MLB,0.319,0.256,4.7,647,28,74.0
MLB,0.318,0.257,28.5,707,27,77.0
MLB,0.317,0.252,30.2,748,32,33.0
MLB,0.324,0.262,17.2,271,0,180.0
MLB,0.31,0.248,0.2,708,32,26.0
MLB,0.318,0.257,5.3,664,29,72.0
MLB,0.314,0.253,13.3,743,32,31.0
MLB,0.316,0.251,41.6,838,34,4.0
MLB,0.308,0.249,1.2,507,23,102.0
MLB,0.308,0.249,3.8,702,31,47.0
MLB,0.314,0.252,38.7,832,31,45.0
MLB,0.314,0.25,9.0,380,17,137.0
MLB,0.323,0.26,26.2,767,32,35.0
MLB,0.308,0.248,-4.2,537,23,103.0
MLB,0.311,0.251,3.2,544,25,88.0
MLB,0.313,0.251,20.7,425,20,120.0
MLB,0.319,0.257,15.1,616,27,78.0
