Date,Opponent,Score,hbp,sf,sh,tb,xbh,hdp,go,fo,go/fo,pa
Mar 9,at NTC Spring Games, ,-,-,-,-,-,-,-,-,-,-
Mar 10,vs. Simmons,"L, 5-2",1,-,-,0,0,-,1,2,0.50,4
Mar 10,vs. Anna Maria,"W, 8-0",-,-,-,3,1,-,1,-,-,3
Mar 11,vs. Alvernia,"L, 7-2",-,-,-,2,0,-,-,1,-,4
Mar 11,vs. Manhattanville,"W, 5-4",-,-,-,0,0,-,2,-,-,5
Mar 13,vs. Lakeland,"L, 8-3",-,-,-,3,1,-,-,1,-,4
Mar 13,vs. Becker,"W, 7-2",-,-,-,-,-,-,-,-,-,-
Mar 14,vs. Haverford,"L, 6-5",-,-,-,3,1,-,2,-,-,4
Mar 14,vs. Westfield St.,"L, 14-0",-,-,-,2,1,-,1,-,-,2
Mar 15,vs. Mass.-Boston,"W, 9-1",-,-,-,6,1,-,-,-,-,4
Mar 15,vs. Coast Guard,"W, 7-3",-,-,-,2,1,-,1,1,1.00,4
Mar 21,at Brooklyn,"W, 7-4",-,-,-,2,1,-,1,2,0.50,4
Mar 21,at Brooklyn,"W, 6-5",-,-,-,5,2,-,1,-,-,4
Mar 22,Mount Saint Mary,"L, 6-2",-,-,-,2,1,-,1,1,1.00,4
Mar 22,Mount Saint Mary,"L, 7-2",-,-,-,0,0,-,2,1,2.00,4
Mar 23,Mount Saint Vincent,"W, 8-4",-,-,-,3,1,-,-,-,-,4
Mar 23,Mount Saint Vincent,"W, 14-0",-,-,-,5,2,-,-,1,-,4
Mar 27,at Montclair State,"L, 16-4",-,-,-,0,0,-,1,-,-,3
Mar 27,at Montclair State,"L, 8-0",-,-,-,0,0,-,1,1,1.00,2
Apr 5,at Old Westbury,"W, 6-0",-,-,-,3,0,-,-,-,-,4
Apr 5,at Old Westbury,"W, 9-2",-,-,-,6,2,-,-,1,-,5
Apr 6,at St. Joseph's,"W, 7-3",-,-,-,3,0,-,1,1,1.00,5
Apr 6,at St. Joseph's,"L, 7-6",-,-,-,5,1,-,1,-,-,4
Apr 12,at Sage,"L, 11-7",-,-,-,4,1,-,-,-,-,4
Apr 12,at Sage,"W, 6-0",-,-,-,2,0,-,1,-,-,4
Apr 13,NYU-Poly,"W, 2-1",-,-,-,2,1,-,-,3,-,4
Apr 13,NYU-Poly,"W, 6-1",-,-,-,1,0,-,1,2,0.50,4
Apr 17,Staten Island,"W, 3-2",-,-,-,4,1,-,-,1,-,4
Apr 17,Staten Island,"W, 4-2",-,-,-,2,0,-,1,-,-,4
Apr 19,Purchase,"W, 8-1",-,-,-,9,3,1,1,-,-,5
Apr 19,Purchase,"W, 7-3",-,-,-,0,0,-,3,-,-,4
Apr 22,Briarcliffe,"W, 3-2",-,-,-,4,1,-,-,2,-,4
Apr 22,Briarcliffe,"L, 7-1",-,-,-,-,-,-,-,-,-,-
Apr 25,vs. Mount Saint Mary,"W, 4-3",-,-,-,3,1,-,-,1,-,4
Apr 26,Mount Saint Vincent,"W, 9-3",-,-,-,6,1,-,-,1,-,4
Apr 27,at Sage,"W, 10-0",-,-,-,3,0,-,1,-,-,4
May 9,vs. Montclair State,"L, 11-1",-,-,-,0,0,-,-,1,-,3
May 10,Wheaton (Mass.),"W, 8-5",-,-,-,1,0,-,-,2,-,4
May 10,vs. Haverford,"L, 8-0",-,-,-,0,0,-,1,1,1.00,3
