Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id
 , , , , , , , , , , , , 
CILENTO Aprilia,ITA,F,07FRA02,0.0,3330.0,0.0,93.0,L,1.0,09/30/2007,3.0,FRA0001
 , , , , , , , , , , , , 
CILENTO Aprilia,ITA,F,07FRA02,40.0,0.0,0.0,93.0,L,1.0,09/30/2007,3.0,FRA0001
 , , , , , , , , , , , , 
CILENTO Aprilia,ITA,F,07ITA09,0.0,4090.0,0.0,93.0,L,1.0,07/29/2007,1.0,ITA00008
 , , , , , , , , , , , , 
CILENTO Aprilia,ITA,F,07ITA09,0.0,3500.0,0.0,93.0,L,2.0,07/29/2007,1.0,ITA00008
 , , , , , , , , , , , , 
CILENTO Aprilia,ITA,F,07ITA18,41.0,0.0,0.0,93.0,R,3.0,09/09/2007,1.0,ITA00012
