Date,TS%,DRtg,eFG%,Opp,DRB%,MP,GS,AST%
2004-04-12,.000,104,.000,HOU,34.3,5:00,0,25.9
2004-01-07,.694,92,.500,SAC,30.9,19:00,1,6.7
2003-12-27,.605,119,.571,MIN,8.6,17:00,0,14.3
2004-04-14,1.042,94,1.000,LAC,30.5,17:00,0,0.0
2003-12-14,.347,93,.000,MIL,34.8,15:00,0,8.0
2004-01-22,.347,81,.333,GSW,17.4,18:00,1,7.3
2004-02-06,.615,109,.500,PHO,15.7,18:00,1,0.0
2004-03-31,.333,104,.333,MIN,20.5,13:00,0,0.0
2003-10-31,1.064,92,1.000,LAC,39.7,18:00,1,0.0
2003-12-30,.347,113,.000,MEM,0.0,18:00,0,6.8
2003-11-28,.000,97,.000,UTA,57.7,13:00,1,0.0
2003-12-17,.595,97,.600,DEN,22.9,20:00,0,0.0
2004-01-05,.799,116,.833,POR,8.7,27:00,0,5.6
2004-03-09,.200,113,.200,MIN,24.5,14:00,1,10.2
2004-02-05,.436,112,.333,SAS,13.6,8:00,1,0.0
2003-11-11,.667,95,.667,MIN,17.1,14:00,1,0.0
2004-01-28,.510,108,.400,LAL,25.4,21:00,1,8.6
2004-04-07,.400,120,.400,SAS,8.8,17:00,0,0.0
2004-01-16,1.078,115,1.000,NYK,33.7,15:00,0,0.0
2003-11-23,.190,101,.143,WAS,8.9,25:00,1,12.0
2004-01-20,.666,111,.600,CLE,16.9,29:00,1,0.0
2003-12-03,.500,96,.500,NYK,18.3,15:00,0,0.0
2003-11-29,.000,72,.000,HOU,34.3,10:00,0,0.0
2003-12-12,.000,81,.000,DET,29.8,15:00,0,0.0
2003-11-07,.500,96,.500,POR,9.2,26:00,1,10.4
2004-01-31,.000,124,.000,SAC,7.4,17:00,1,0.0
2004-02-21,.581,101,.556,GSW,23.1,26:00,1,0.0
2003-11-09,.375,103,.375,ATL,11.7,21:00,1,17.5
2004-01-27,1.000,135,1.000,DAL,15.2,15:00,1,0.0
2004-01-02,.340,107,.200,LAL,37.9,13:00,0,0.0
2004-03-12,.568,99, ,MIA,13.3,9:00,1,0.0
