ab,sb,3b,hr,gdp,hbp,h,avg,2b
34,2,0,0,0,2,8,0.266,0
37,3,0,0,0,2,9,0.307,4
38,0,0,2,1,1,13,0.308,2
37,0,0,5,0,1,9,0.307,0
36,0,0,2,0,1,8,0.306,1
33,1,0,0,1,1,7,0.212,1
35,2,0,3,3,0,12,0.309,0
30,1,0,0,1,1,3,0.306,0
37,0,0,1,0,1,10,0.311,1
35,0,0,2,0,1,10,0.314,5
41,3,0,0,2,0,19,0.314,3
32,0,0,0,0,3,13,0.311,1
32,4,0,1,0,1,11,0.302,1
35,2,0,1,0,0,13,0.297,5
31,0,0,0,0,0,7,0.219,2
32,0,1,1,1,3,9,0.268,1
34,1,0,0,2,0,9,0.225,1
40,3,1,2,0,3,15,0.314,1
38,0,0,1,0,0,13,0.312,2
33,3,0,0,0,2,15,0.307,4
25,0,0,1,0,1,6,0.297,1
29,3,0,1,0,3,11,0.271,2
34,5,0,4,0,2,10,0.3,1
34,0,0,1,0,1,11,0.308,2
34,0,0,1,0,1,9,0.31,4
34,2,1,1,0,2,8,0.307,0
34,1,0,1,2,3,10,0.302,3
39,3,0,1,0,0,10,0.3,1
