G,Player,AB,OBP,CS,POS
43,M Sierra,143,.248,2,OF
21,J Wideman,61,.314,1,C
21,C Dunn,83,.333,2,OF
34,R Shimabukuro,81,.217,0,1B
14,R Del Campo,30,.382,0,C
1,J Phillabaum,0,--,0,P
32,W Lamont,106,.283,0,1B
42,S King,161,.315,2,SS
52,H Parrott,196,.320,2,2B
12,J Centeno,41,.222,0,C
4,M Arambarris,17,.167,0,3B
36,K Collado,95,.421,1,C
26,M Willard,90,.333,0,SS
23,K Denis-Fortier,75,.341,0,1B
45,B Laird,168,.367,0,3B
25,L Aguayo,79,.247,1,1B
25,R Gil,75,.277,0,C
38,R Alcombrack,127,.345,0,C
51,J Brito,210,.329,8,2B
5,B Finegan,14,.188,1,SS
47,L Carolus,167,.272,2,SS
27,J Del Campo,95,.407,0,3B
40,J Sucre,104,.265,1,C
4,M Perez,12,.462,0,C
23,N Biagini,66,.355,0,1B
40,R Vasquez,135,.316,1,2B
52,J Rojas,181,.425,0,3B
35,C Rosero,113,.375,4,2B
6,R Washington,14,.579,0,3B
29,J Ceballos,74,.226,0,C
11,T Bohn,31,.432,2,OF
43,C Fields,163,.337,5,2B
24,K Roque,62,.270,4,2B
4,S Robinson,11,.286,0,OF
13,V Ramos,40,.434,0,3B
29,D Winn,105,.400,2,SS
5,W Vazquez,17,.316,0,C
5,D Cox,6,.167,0,SS
19,S Martinez,52,.308,0,P
52,Y Solarte,175,.342,3,2B
2,C Maybin,7,.667,0,OF
30,R Wehrle,107,.361,1,SS
22,A Soto,66,.338,0,C
22,E Banks,74,.383,0,1B
1,C Blair,2,.500,0,2B
39,M Kennelly,107,.270,0,C
24,D Lehrman,80,.287,1,DH
51,T Brown,171,.340,2,OF
24,F Cruz,54,.314,1,SS
4,A Diaz,10,.364,0,1B
2,E Chavez,8,.600,0,OF
9,N Papasan,28,.355,0,SS
41,C Rice,113,.340,1,SS
6,R Tolan,22,.269,1,OF
49,J Tolisano,183,.336,1,2B
53,L Sumoza,190,.316,1,OF
43,K Miles,109,.172,2,OF
36,S Welch,139,.346,2,1B
47,C Nash,166,.372,1,1B
16,G Gattis,49,.379,1,OF
39,D Ingram,120,.430,5,OF
41,T Hamaoka,85,.236,0,OF
51,R Hernandez,163,.301,2,OF
4,N Morgan,13,.438,0,OF
19,M Cooney,61,.175,0,C
40,N Soto,152,.355,0,SS
3,K Peter,8,.636,0,OF
43,D Bomback,137,.360,4,2B
