rbi,3b,gdp,hbp,k,avg,po,e,ab,bb
4,0,0,1,6,0.364,21,0,27,0
12,0,0,0,3,0.301,21,3,31,4
0,0,0,0,8,0.286,21,3,23,3
4,0,0,0,8,0.288,33,1,39,11
1,0,0,0,14,0.276,29,1,35,1
1,0,0,0,11,0.379,21,0,28,1
1,0,0,0,8,0.296,18,1,27,1
11,1,0,0,7,0.309,21,1,37,0
9,0,0,0,3,0.303,21,0,32,6
3,0,0,0,2,0.277,18,1,29,2
2,1,1,0,7,0.309,24,0,28,3
245,11,3,19,296,0.276,1169,62,1567,146
6,0,0,0,2,0.295,21,3,32,1
2,0,1,0,3,0.291,21,1,27,2
0,0,0,0,7,0.305,17,3,22,1
1,0,0,0,9,0.282,24,2,25,4
8,1,0,0,5,0.291,18,1,29,6
6,0,0,0,10,0.293,21,3,33,1
1,0,0,0,2,0.292,15,3,21,2
8,0,0,1,7,0.29,21,1,31,4
0,0,0,0,5,0.292,21,2,23,1
0,0,0,0,5,0.29,21,1,25,0
3,0,0,1,7,0.299,21,1,22,3
3,0,0,0,1,0.276,18,0,25,2
9,0,0,1,4,0.279,18,1,29,2
4,0,0,0,5,0.421,21,2,25,4
11,0,0,0,1,0.432,21,2,31,4
2,0,0,0,8,0.275,24,0,28,5
