C-G#,SO,AB,3B,Notes,Team,GDP,HR,SF
238,0,5,1,4 hits,CHA,0,0,0
12,1,2,0,1st career RBI,CHA,0,0,0
1652,0,5,0,500th career RBI,BAL,0,1,0
144,0,6,0,"4 hits, 3 stolen bases",CHA,0,0,0
2306,0,4,0,4 hits,BOS,0,0,0
1958,0,5,0,2000th career hit,CHA,0,0,0
2207,0,4,0,4 hits,CHA,0,0,0
29,1,3,0,1st career home run,CHA,0,1,0
364,0,3,0,4 walks,CHA,0,0,0
1253,0,6,1,"4 hits, 3 stolen bases",BAL,0,0,0
392,0,5,0,4 hits,CHA,0,0,0
983,0,5,0,4 hits,CHA,0,0,0
500,1,4,0,500th career game,CHA,0,0,0
2167,0,5,0,4 hits,CHA,0,0,0
1872,0,6,1,4 hits,CHA,0,0,0
2381,0,5,0,4 hits,BOS,0,0,0
1223,1,4,0,3 stolen bases,BAL,0,0,0
626,0,4,2,"4 runs scored, 0 Triples, 4 hits",CHA,0,0,0
450,0,4,0,4 runs scored,CHA,0,1,0
851,0,5,0,4 hits,CHA,0,1,0
201,0,4,0,4 hits,CHA,0,0,0
1172,0,4,1,4 hits,BAL,0,0,0
980,0,4,0,1000th career hit,CHA,0,1,0
859,0,4,0,4 runs scored,CHA,0,0,0
