2B,SO,POS,SLG,SF,BB,SB,SH,HR,AVG
2,9,CF,.216,0,3,2,0,0,.162
3,10,C,.333,0,4,2,0,0,.235
1,20,2B,.253,1,13,9,1,0,.240
0,5,C,.000,0,4,1,0,0,.000
9,14,SS,.395,0,3,2,1,1,.222
7,16,C,.381,2,11,0,0,2,.247
9,45,CF,.462,0,21,7,2,1,.280
9,38,3B,.320,3,5,11,4,2,.222
1,4,C,.364,0,1,0,0,0,.273
13,61,RF,.438,1,16,5,0,7,.269
3,3,CF,.545,0,4,2,0,1,.364
0,11,C,.222,0,8,0,0,0,.222
0,4,2B,.200,0,1,0,0,0,.067
6,23,C,.355,1,5,0,0,1,.234
0,1,LF,.000,0,0,0,0,0,.000
2,2,LF,.588,0,5,2,0,1,.294
3,18,3B,.313,0,3,2,0,0,.250
0,8,3B,.275,0,7,7,2,1,.220
6,38,SS,.269,1,13,4,2,0,.238
2,8,2B,.269,1,7,2,0,0,.192
7,9,C,.375,2,14,1,2,1,.279
2,6,C,.208,0,3,0,0,0,.125
4,18,C,.357,2,9,0,0,3,.171
0,2,SS,.385,0,1,1,0,0,.385
1,10,SS,.464,0,3,1,0,2,.214
5,11,C,.377,0,9,1,1,1,.246
9,31,RF,.384,1,18,8,0,1,.254
0,3,C,.176,1,3,0,1,0,.176
10,24,2B,.438,2,28,12,7,1,.333
0,3,2B,.174,0,1,1,0,0,.174
1,4,SS,.556,0,0,0,0,0,.222
2,1,2B,.438,0,2,0,0,0,.313
7,44,2B,.304,0,7,8,4,0,.226
5,21,DH,.400,1,2,0,0,1,.267
3,43,RF,.232,0,7,11,0,0,.205
0,1,3B,.273,0,4,0,0,0,.273
3,13,C,.258,1,8,0,1,0,.212
4,34,LF,.356,4,10,11,0,0,.306
1,0,C,.947,0,0,0,0,3,.316
0,14,DH,.135,0,2,4,0,0,.135
0,6,DH,.227,0,1,1,0,0,.136
2,47,LF,.218,0,11,5,2,2,.139
2,10,C,.350,0,3,0,2,1,.225
3,21,1B,.287,1,7,0,0,0,.230
4,31,CF,.292,1,10,11,3,0,.230
0,13,DH,.167,0,2,0,1,0,.167
9,59,3B,.279,4,10,0,0,0,.224
0,1,DH,.333,0,0,0,0,0,.333
1,10,3B,.320,0,4,0,1,1,.160
3,11,C,.370,0,1,0,0,0,.278
1,14,1B,.305,0,5,2,0,1,.169
3,15,LF,.286,0,8,6,0,1,.214
8,17,C,.386,0,11,1,0,1,.261
1,4,SS,.250,0,1,1,0,0,.208
10,51,LF,.485,2,11,2,2,6,.250
4,15,2B,.250,1,15,2,1,0,.222
1,8,C,.308,1,1,0,0,0,.282
6,39,2B,.280,3,18,5,1,0,.213
7,34,1B,.404,1,17,2,0,3,.257
7,42,RF,.392,1,7,2,0,3,.257
12,24,C,.335,2,11,0,0,0,.257
3,12,RF,.282,2,9,2,2,0,.224
3,27,LF,.245,1,15,11,0,0,.215
4,15,RF,.275,0,9,1,0,0,.175
1,1,SS,.400,0,1,0,0,0,.200
15,37,RF,.500,0,24,7,1,6,.265
1,8,C,.222,0,2,0,0,0,.156
7,20,3B,.309,0,10,7,0,0,.259
0,9,1B,.583,0,2,0,0,2,.361
1,11,2B,.279,0,11,1,0,0,.265
5,29,RF,.344,0,3,5,0,0,.271
2,16,3B,.356,1,2,1,0,0,.310
2,14,C,.264,0,9,9,0,0,.208
3,34,CF,.255,1,13,4,0,0,.224
2,19,CF,.208,0,13,3,2,0,.182
0,3,2B,.000,0,2,0,0,0,.000
10,55,SS,.333,3,10,8,1,1,.242
5,21,LF,.356,3,14,15,1,0,.287
0,1,OF,.000,0,0,0,0,0,.000
4,30,3B,.359,2,9,1,2,1,.239
4,21,CF,.345,1,20,26,0,1,.282
2,12,DH,.143,0,3,1,1,0,.102
4,52,2B,.281,0,21,13,8,1,.238
1,5,SS,.346,0,2,1,0,0,.231
2,11,RF,.250,0,5,0,0,0,.200
3,20,CF,.503,0,15,16,4,3,.381
1,5,1B,.357,1,3,0,0,1,.214
9,25,RF,.378,0,21,5,0,0,.297
0,1,SS,.250,0,0,1,0,0,.250
4,20,C,.259,0,2,0,1,0,.185
10,20,DH,.519,0,11,0,1,3,.253
1,17,LF,.182,0,8,1,0,1,.091
12,30,3B,.441,1,9,1,1,1,.323
2,8,CF,.360,0,3,3,0,0,.200
5,40,RF,.214,1,3,2,0,0,.179
0,4,2B,.000,0,0,0,0,0,.000
1,4,LF,.429,0,2,0,0,0,.286
0,4,C,.182,0,2,0,0,0,.182
3,15,3B,.218,1,6,4,1,0,.179
2,5,OF,.415,1,6,3,0,1,.244
1,3,2B,.222,0,2,0,0,0,.167
6,28,3B,.267,2,9,0,0,0,.198
0,2,2B,.235,0,2,1,0,0,.235
6,44,RF,.508,1,15,3,0,6,.288
1,9,LF,.179,1,5,8,2,0,.154
2,5,3B,.333,0,1,0,0,1,.167
2,8,DH,.333,0,2,0,0,0,.250
6,13,C,.396,1,9,0,0,1,.226
4,25,SS,.333,2,7,1,5,1,.229
1,1,RF,.375,0,3,0,0,0,.250
12,28,2B,.396,2,10,8,2,1,.295
11,32,1B,.431,2,36,0,0,4,.271
4,6,C,.481,0,2,0,0,2,.288
3,17,2B,.323,1,17,2,1,1,.194
1,13,1B,.280,0,6,0,0,0,.260
4,21,RF,.252,3,9,2,1,0,.206
6,11,DH,.396,0,6,3,0,1,.281
7,10,RF,.397,1,7,2,0,0,.286
1,9,C,.250,1,2,0,0,0,.156
3,38,CF,.218,1,17,4,1,0,.191
3,9,3B,.304,0,0,0,0,0,.174
12,32,1B,.372,4,9,1,2,3,.266
9,22,C,.431,3,11,7,0,2,.284
0,11,LF,.226,1,6,2,0,0,.226
6,32,2B,.331,1,15,13,2,3,.225
6,23,LF,.314,0,13,12,3,0,.246
1,5,C,.458,0,0,0,0,1,.292
2,9,LF,.500,0,1,0,0,1,.273
0,6,3B,.154,0,3,1,1,0,.154
5,9,DH,.404,0,7,1,0,0,.298
5,33,1B,.246,0,18,3,2,0,.210
5,20,2B,.313,3,17,13,1,0,.267
3,33,RF,.455,2,6,1,0,2,.260
6,40,1B,.389,0,18,0,1,3,.271
3,15,3B,.387,0,9,1,0,1,.290
0,1,P,.333,0,0,0,0,0,.333
5,25,3B,.381,2,7,2,0,3,.246
11,23,C,.433,3,16,2,1,1,.291
11,43,3B,.342,2,7,0,0,2,.201
9,18,3B,.392,1,16,0,1,1,.269
1,1,2B,.429,0,4,2,0,0,.286
2,8,C,.485,0,3,0,0,1,.333
5,19,RF,.338,0,5,2,1,1,.208
2,47,CF,.255,1,11,4,0,1,.193
3,5,3B,.500,0,2,1,0,0,.333
0,5,SS,.063,0,4,0,0,0,.063
3,26,1B,.190,0,9,0,1,0,.143
0,8,3B,.103,0,3,0,0,0,.103
0,1,DH,.133,0,3,0,0,0,.133
4,5,C,.867,0,0,0,0,1,.400
2,11,3B,.260,1,6,3,2,0,.220
22,52,RF,.486,5,22,4,0,5,.313
3,8,DH,.329,0,10,3,0,1,.214
1,3,C,.250,0,1,1,0,0,.167
4,22,1B,.227,0,7,0,1,0,.167
3,9,C,.283,0,8,0,0,0,.226
0,1,SS,.286,0,2,0,0,0,.286
9,59,RF,.344,0,14,6,1,4,.210
4,15,C,.255,0,2,1,0,0,.182
2,5,SS,.563,0,1,1,0,0,.438
0,4,OF,.111,0,0,0,0,0,.111
2,37,LF,.319,0,8,5,0,1,.242
6,26,C,.370,1,11,0,0,1,.261
5,35,LF,.241,2,22,7,2,0,.196
1,0,SS,.643,0,0,1,0,0,.429
1,7,1B,.217,0,2,0,0,0,.174
0,0,SS,--,0,1,0,0,0,--
0,1,LF,.929,0,1,0,2,3,.286
11,20,SS,.369,1,10,4,1,1,.278
0,24,SS,.024,0,2,0,0,0,.024
7,52,LF,.268,1,8,0,0,0,.177
3,25,2B,.402,4,7,8,1,0,.336
0,10,C,.300,0,5,0,0,0,.300
6,12,C,.317,0,10,2,3,0,.244
17,62,LF,.482,0,5,2,0,8,.274
2,6,C,.250,1,6,0,0,0,.205
