3P%,DEF,Split,TO,Blk,FT%,Stl,FTA,GS,OFF
.000,2.2,v. Pacific Division,1.4,0.2,.714,1.0,1.4,0,1.2
-,-,Games in October,-,-,-,-,-,-,-
.000,0.5,v. Northwest Divison,0.8,0.5,.833,0.0,1.5,0,0.5
.000,0.5,Before All-Star Break,0.2,0.2,.857,0.1,0.5,0,0.2
.000,0.8,v. Opp. w/ Top 10 Defense,0.3,0.3,1.000,0.0,0.1,0,0.6
-,-,Games As Starter,-,-,-,-,-,-,-
.000,1.0,Home Games,0.5,0.0,1.000,0.0,1.0,0,0.0
.000,2.1,v. Western Conference,1.1,0.1,.714,0.7,1.0,0,1.0
.000,3.3,Games In Rotation,1.7,0.3,.600,1.7,1.7,0,2.0
.000,1.4,After All-Star Break,1.0,0.5,.750,0.4,1.0,0,1.0
.000,2.0,v. Southwest Division,0.0,0.0,.000,0.0,0.0,0,0.0
.000,0.7,Games in February,0.4,0.1,.800,0.1,0.7,0,0.1
.000,1.2,v. Southwest Division,0.0,0.0,.000,0.0,0.0,0,0.2
.000,0.3,v. Atlantic Division,1.0,0.7,1.000,0.0,0.3,0,1.3
.000,0.5,NBA Regular Season Stats,0.3,0.4,.833,0.1,0.6,0,0.4
.000,1.7,Last 10 Games,1.1,0.4,.750,0.5,0.8,0,1.1
.000,0.5,Wins,0.3,0.1,.667,0.0,0.3,0,0.1
.000,0.5,Games in March,0.8,1.0,.667,0.0,0.8,0,1.0
.000,0.5,v. Southeast Division,0.5,0.0,.000,0.0,0.5,0,0.0
.000,0.8,v. Opp. w/ Bottom 10 Defense,0.5,0.4,.714,0.0,0.6,0,0.2
.000,0.5,Wins,0.5,0.2,.800,0.0,0.4,0,0.1
.000,2.5,v. Opp. w/ Top 10 Record,1.0,0.0,.714,1.2,1.8,0,1.5
.000,0.3,Games in January,0.1,0.4,1.000,0.0,0.6,0,0.3
.000,1.4,v. Opp. w/ Top 10 Record,0.5,0.3,.714,0.5,0.6,0,0.9
.000,2.6,Away Games,1.4,0.2,.600,1.0,1.0,0,1.4
