Team,SF,G,HR,OBP,H,GIDP,SB
KAN,1,7,0,.267,7,1,1
GBO,1,6,1,.227,4,2,0
SAV,0,3,0,.250,3,0,0
KAN,0,39,2,.359,44,7,7
LEX,0,24,2,.258,19,2,1
ASH,5,137,14,.400,162,14,6
COL,5,106,13,.276,81,10,2
AUG,2,107,5,.277,82,6,25
LEX,4,132,9,.332,123,18,27
HAG,1,50,4,.338,48,8,1
LC,0,44,5,.413,41,2,1
HAG,2,91,4,.296,50,5,4
LC,4,129,4,.312,98,0,32
LWD,4,102,10,.380,98,5,1
AUG,8,123,0,.355,111,9,35
HAG,0,15,0,.322,10,0,1
HIC,5,112,4,.274,88,9,10
LC,5,116,12,.323,102,6,12
GVL,1,91,5,.342,90,3,33
HAG,0,1,0,--,0,0,0
GBO,2,111,13,.347,125,5,5
GBO,0,69,3,.357,68,3,2
LEX,0,10,1,.351,8,2,0
LWD,0,4,0,.400,5,0,0
CSC,0,27,1,.247,18,3,1
AUG,4,34,4,.273,24,1,7
SAV,0,1,0,.400,2,0,0
LC,0,10,1,.351,10,3,0
LWD,0,2,0,.200,1,0,0
LWD,6,127,3,.300,109,11,14
WV,5,103,3,.332,133,11,32
LWD,4,114,9,.382,129,10,22
HAG,0,38,0,.228,27,4,0
KAN,0,20,0,.278,13,5,3
ASH,0,31,2,.375,41,1,5
ROM,1,123,4,.311,113,3,10
ASH,1,94,11,.288,76,5,12
ROM,0,15,3,.220,10,1,0
GBO,1,71,6,.249,54,18,0
KAN,3,58,6,.332,55,5,4
ROM,2,76,4,.244,55,7,10
DEL,0,18,0,.219,2,2,3
AUG,2,123,17,.312,122,8,1
AUG,4,119,9,.329,115,12,11
LEX,2,61,12,.329,59,2,7
LWD,3,55,1,.357,55,4,2
COL,0,8,0,.154,1,2,0
GVL,0,16,0,.345,10,4,0
LEX,5,74,4,.282,51,8,0
AUG,0,26,5,.373,27,1,2
SAV,4,78,1,.280,65,3,4
CSC,3,134,4,.302,112,14,17
SAV,3,84,8,.314,79,9,14
HAG,0,58,2,.377,59,2,33
HAG,3,116,17,.327,109,6,1
HAG,0,23,2,.348,21,2,8
GBO,0,0,0,--,0,0,0
WV,3,104,10,.407,129,3,15
CSC,4,131,8,.356,125,10,12
KAN,4,123,14,.308,129,8,10
SAV,6,90,11,.316,85,8,2
AUG,8,117,15,.359,118,8,3
WV,0,34,4,.291,28,3,1
HAG,1,63,0,.300,47,4,28
GVL,0,1,0,.000,0,0,0
HAG,0,56,3,.297,37,6,1
ROM,1,19,0,.132,5,1,1
SAV,2,90,0,.292,66,7,16
HIC,1,36,0,.293,31,1,5
WV,2,137,13,.346,130,14,13
KAN,2,16,0,.408,26,3,0
CSC,4,96,11,.348,102,11,2
HIC,3,84,2,.312,72,8,1
CSC,0,31,1,.314,22,2,3
SAV,0,5,1,.364,5,0,0
COL,3,122,5,.361,132,7,45
GVL,1,35,2,.238,29,1,0
AUG,0,25,0,.344,24,0,4
ASH,0,16,0,.246,9,0,1
COL,0,15,0,.338,10,0,1
COL,2,55,3,.376,50,2,2
ASH,2,55,6,.264,40,2,1
SAV,0,1,0,--,0,0,0
ASH,2,121,6,.361,136,6,73
GBO,0,33,2,.230,21,0,0
KAN,1,41,0,.263,31,3,2
KAN,0,17,0,.294,8,2,0
HIC,4,127,12,.320,125,7,2
CSC,1,104,10,.344,122,8,3
GBO,6,79,19,.381,89,5,15
HAG,1,41,1,.266,23,3,1
CSC,7,122,23,.334,124,15,1
ASH,2,51,1,.228,30,4,3
HAG,1,74,1,.355,80,5,0
KAN,0,19,3,.301,17,2,3
HIC,6,59,1,.318,48,4,2
LC,2,47,1,.356,35,7,1
HIC,3,57,6,.384,69,10,1
LC,4,121,5,.321,98,8,19
ROM,0,130,18,.378,155,9,5
SAV,7,95,5,.347,104,6,24
HAG,4,76,5,.404,79,2,17
HAG,5,65,9,.344,77,9,0
LC,2,81,0,.337,80,6,4
ASH,3,92,3,.283,65,10,6
GBO,1,116,10,.326,121,8,6
LEX,1,17,1,.188,12,1,0
DEL,3,22,0,.367,27,3,4
LEX,0,23,1,.309,21,1,6
COL,6,124,7,.330,144,19,3
GBO,2,85,6,.331,90,12,5
AUG,1,50,2,.309,47,1,15
AUG,0,29,0,.302,23,1,3
DEL,0,7,0,.111,1,0,0
HAG,0,28,2,.295,20,1,0
CSC,2,104,6,.321,84,5,4
ROM,0,1,0,--,0,0,0
LWD,1,64,1,.229,36,5,10
ROM,1,95,2,.282,78,9,10
AUG,2,36,5,.340,39,1,7
KAN,0,14,3,.365,18,1,0
HIC,1,15,0,.133,3,1,0
KAN,0,4,0,.000,0,0,0
DEL,1,83,6,.357,82,3,1
WV,5,82,3,.365,75,3,15
GVL,0,16,3,.441,18,2,0
LWD,4,86,2,.336,76,4,1
ROM,4,69,4,.271,53,6,3
GVL,4,86,7,.380,105,8,2
KAN,3,78,12,.366,80,4,3
SAV,0,1,0,.000,0,0,0
HIC,1,87,7,.338,84,5,2
ROM,0,4,0,.438,5,0,3
CSC,0,9,0,.400,3,0,0
LWD,0,129,4,.321,117,10,9
DEL,0,107,12,.302,89,9,7
COL,2,50,0,.268,26,4,2
WV,0,45,4,.303,27,2,0
CSC,0,15,0,.229,4,0,1
WV,0,47,0,.294,37,3,16
HIC,0,4,0,.313,4,0,0
GVL,3,96,3,.376,101,9,18
AUG,0,42,1,.401,50,1,6
LEX,2,126,3,.315,139,17,43
WV,2,137,13,.388,156,2,14
GVL,0,49,11,.328,54,7,1
LEX,4,118,3,.325,96,9,15
KAN,0,10,2,.400,13,1,1
KAN,3,90,2,.338,102,4,19
LC,1,39,1,.241,19,4,1
DEL,2,39,4,.276,27,5,0
GVL,0,14,0,.397,18,0,2
LWD,2,45,1,.312,32,1,2
HAG,0,5,1,.333,4,0,0
KAN,1,21,2,.257,9,1,6
KAN,0,65,2,.383,66,3,2
GBO,2,33,7,.306,27,4,0
SAV,1,56,0,.301,48,5,2
SAV,0,46,1,.292,39,6,3
HAG,4,71,10,.339,87,4,0
KAN,1,22,3,.303,16,2,1
HAG,0,1,0,--,0,0,0
LC,3,70,4,.420,68,7,3
GVL,0,12,0,.222,6,0,0
ASH,1,12,1,.189,5,1,4
DEL,1,49,0,.354,38,1,8
LWD,2,67,10,.441,90,5,10
CSC,1,7,0,.211,1,0,0
DEL,0,16,0,.313,12,1,0
SAV,1,40,3,.316,19,1,3
HAG,0,2,0,.667,1,0,0
SAV,0,1,0,--,0,0,0
GVL,4,92,1,.329,76,9,25
GVL,0,15,1,.373,8,0,1
LWD,1,91,5,.321,84,7,4
LWD,5,69,2,.321,58,4,6
