GS,eFG%,AST%,DRtg,G,TS%,Opp,GmSc,MP
0,1.000,0.0,117,47,1.000,GSW,4.1,4:00
0,.400,11.1,106,71,.400,PHO,3.8,13:00
0,1.000,0.0,130,21,1.031,POR,8.4,9:00
0, ,0.0,108,52, ,LAL,0.0,5:00
0, ,0.0,109,59, ,SAS,0.7,6:00
1,1.000,0.0,117,26,1.000,DEN,5.7,10:00
0,.500,0.0,96,19,.500,LAC,-0.1,4:00
0,1.000,0.0,132,48,1.064,DAL,4.0,9:00
0, ,9.5,120,63, ,CHI,0.6,13:00
1,.750,12.9,113,6,.750,HOU,7.1,12:00
0,.000,0.0,122,3,.532,DAL,0.9,8:00
0, ,0.0,114,13, ,NYK,-1.5,16:00
1, ,6.4,115,29, ,PHI,1.5,17:00
1,.000,0.0,113,30,.000,POR,2.5,12:00
0,.000,0.0,138,12,.532,IND,1.3,8:00
0, ,0.0,133,45, ,POR,-1.0,4:00
0,1.000,0.0,109,54,1.000,GSW,3.2,12:00
1,.000,0.0,118,43,.000,UTA,-0.1,13:00
0,1.000,0.0,77,66,1.000,LAL,3.7,4:00
1, ,6.3,119,41, ,DAL,3.2,17:00
1, ,0.0,108,28, ,BOS,0.6,9:00
0,.500,0.0,76,17,.500,CLE,3.0,4:00
1,1.000,13.3,86,31,1.000,HOU,4.0,10:00
0,.000,0.0,112,46,.000,HOU,-1.6,10:00
1, ,0.0,108,42, ,SAS,1.6,12:00
1, ,9.9,97,37,.000,IND,-0.3,11:00
1,.000,0.0,115,36,.000,LAC,-0.3,19:00
0, ,0.0,101,50, ,DET,0.3,2:00
0, ,0.0,136,51, ,SAC,-1.0,2:00
1,.000,0.0,90,8,.000,MIL,-0.9,10:00
0, ,0.0,113,55, ,SAC,-1.2,8:00
1,1.000,0.0,119,24,1.000,LAL,0.9,10:00
1,.000,6.7,106,22,.000,SAC,-0.4,18:00
1,1.000,0.0,118,44,1.000,ATL,3.6,16:00
