AB,R,CS,BB,SH,POS,3B,SF,RBI
453,74,3,54,1,SS,4,8,83
3,0,0,0,0,P,0,0,0
222,22,0,24,1,1B,0,1,30
132,17,1,13,0,LF,0,0,13
329,60,1,64,3,OF,2,1,49
379,58,2,32,0,C,2,8,69
384,56,0,24,0,OF,0,10,78
345,39,3,20,2,OF,0,1,45
4,2,0,2,2,P,0,0,0
0,0,0,0,0,P,0,0,0
1,0,0,1,0,P,0,0,0
474,64,9,62,16,2B,2,0,37
8,1,0,2,0,P,0,0,0
0,0,0,0,0,P,0,0,0
423,75,5,46,1,SS,2,5,61
14,3,0,5,0,OF,0,1,2
136,11,0,20,0,1B,1,2,18
94,21,1,19,0,C,0,1,10
118,12,1,13,3,2B,2,2,17
78,6,0,10,0,C,0,1,4
323,45,2,23,0,C,1,2,46
524,93,7,72,9,LF,11,5,70
542,105,9,44,11,SS,1,8,57
392,40,8,25,8,2B,5,2,28
412,56,4,37,0,OF,3,2,52
12,3,0,0,0,C,0,0,2
8,0,0,0,0,1B,0,0,0
327,40,1,49,5,1B,0,10,45
3,0,0,0,0,P,0,0,0
425,51,7,45,0,3B,2,4,37
8,0,0,0,1,C,0,0,0
214,33,5,18,1,OF,0,2,30
457,58,7,50,4,OF,3,3,51
153,8,0,2,3,C,0,1,5
22,2,0,0,3,P,0,0,2
500,84,2,64,1,1B,0,2,109
515,77,6,47,2,3B,3,2,79
16,3,0,3,0,OF,0,1,2
1,0,0,1,1,P,0,0,1
392,68,2,38,2,OF,4,4,62
2,0,0,0,2,P,0,0,0
83,12,0,9,1,C,0,1,24
163,23,1,6,0,OF,1,0,18
374,45,6,33,4,C,0,2,53
266,27,6,39,3,SS,1,0,24
1,0,0,0,1,P,0,0,0
387,47,5,35,2,3B,0,6,43
0,0,0,0,0,P,0,0,0
0,0,0,0,0,P,0,0,0
90,6,2,2,2,SS,1,1,4
318,37,5,30,8,2B,6,3,42
185,36,2,31,3,2B,4,3,15
0,0,0,0,0,P,0,0,0
157,17,0,16,4,SS,0,2,8
462,75,8,50,1,3B,7,4,71
18,5,0,2,0,1B,0,0,2
444,71,7,46,1,3B,1,3,78
228,19,3,8,2,2B,2,2,30
327,56,9,42,7,OF,2,2,51
0,0,0,0,1,P,0,0,0
156,38,0,24,1,C,2,1,26
0,0,0,0,0,P,0,0,0
195,28,1,23,3,C,1,0,34
37,4,1,3,2,2B,0,0,0
180,16,0,11,5,C,0,0,18
440,73,3,26,0,RF,0,4,71
5,1,0,0,0,C,0,0,0
87,12,0,19,1,C,0,3,14
46,6,2,2,1,LF,0,0,2
477,82,0,41,1,OF,1,8,96
365,48,0,31,1,1B,0,2,55
144,13,0,6,1,C,0,0,17
11,1,0,0,0,C,0,0,2
561,83,13,27,8,OF,4,4,50
216,16,1,20,2,3B,0,1,10
252,21,0,16,1,3B,0,0,20
452,74,4,55,1,1B,1,5,103
269,32,0,25,2,SS,2,3,29
0,0,0,0,0,P,0,0,0
12,0,0,0,3,P,0,0,0
41,4,0,3,0,C,0,0,4
9,1,0,1,1,P,0,0,0
43,6,1,3,1,SS,0,0,3
4,0,0,0,0,P,0,0,0
13,2,0,2,5,P,0,0,4
500,73,7,68,3,2B,3,6,73
0,0,0,0,0,P,0,0,0
1,0,0,0,1,P,0,0,0
113,15,1,21,3,C,0,4,15
64,5,0,3,0,C,0,0,9
28,3,0,3,1,SS,0,0,3
408,57,3,46,9,3B,3,4,55
10,2,0,0,0,C,0,0,1
543,95,12,41,3,CF,7,9,92
1,0,0,0,0,P,0,0,0
486,111,3,72,0,3B,1,2,101
220,35,1,48,7,C,1,4,31
1,0,0,0,0,P,0,0,0
0,0,0,0,0,P,0,0,0
242,29,2,30,1,1B,1,1,33
0,0,0,0,0,P,0,0,0
127,19,3,16,3,SS,2,0,10
5,0,0,0,0,P,0,0,0
97,10,2,8,4,OF,0,0,6
