DRB,Team,GP,FTA,ORB,FGA,PPG,BPG
0.1,UD,13,0.2,0.0,0.2,0.1,0.0
0.8,UD,27,0.7,0.6,1.1,1.4,0.4
1.9,UD,122,2.6,0.5,6.6,8.3,0.0
7.3,UD,55,5.3,1.6,11.4,14.7,0.1
1.2,UD,23,0.7,1.3,1.5,1.4,0.3
4.2,UD,68,2.1,1.9,5.5,7.7,0.9
4.7,UD,28,3.9,1.8,8.6,11.6,0.1
1.5,UD,38,0.9,1.0,1.9,2.4,0.2
0.0,UD,15,0.0,0.1,0.5,0.2,0.0
0.4,UD,25,0.0,0.2,0.8,0.4,0.0
0.2,UD,8,0.0,0.2,0.6,0.5,0.0
7.6,UD,77,5.6,2.7,13.3,17.5,1.2
0.0,UD,1,0.0,0.0,1.0,0.0,0.0
2.6,UD,122,1.6,0.8,9.4,10.6,0.3
0.8,UD,24,0.2,0.2,2.5,2.5,0.2
0.8,UD,99,0.9,0.4,3.4,3.2,0.1
1.1,UD,22,0.4,0.5,1.0,1.4,0.1
1.4,UD,32,2.0,0.5,4.7,5.2,0.2
0.6,UD,48,0.4,0.2,0.6,0.5,0.0
2.4,UD,83,2.4,0.5,9.0,10.3,0.1
2.6,UD,57,2.9,0.5,11.8,14.6,0.1
1.0,UD,50,0.3,0.6,1.7,1.3,0.3
4.0,UD,87,7.0,1.1,10.0,13.7,0.2
0.3,UD,15,0.1,0.1,0.1,0.1,0.0
2.1,UD,107,1.3,0.6,4.5,5.5,0.0
2.8,UD,56,2.9,1.1,5.9,7.8,0.6
0.5,UD,2,0.0,0.5,0.0,0.0,0.0
0.0,UD,4,0.0,0.0,0.0,0.0,0.0
0.0,UD,2,1.0,0.0,0.0,1.0,0.0
2.4,UD,29,1.1,1.5,3.3,3.6,0.6
0.9,UD,19,0.7,0.5,1.0,1.2,0.3
2.4,UD,94,5.9,0.7,11.9,16.4,0.0
0.0,UD,1,0.0,0.0,0.0,0.0,0.0
1.5,UD,80,1.3,0.9,3.6,3.6,0.3
2.4,UD,75,2.2,1.3,4.2,5.6,0.6
2.4,UD,44,2.4,1.4,6.5,7.9,0.2
1.6,UD,35,1.3,0.8,2.0,2.3,0.1
2.6,UD,105,2.9,1.7,5.2,7.3,0.5
0.0,UD,3,0.0,0.0,0.0,0.0,0.0
0.5,UD,26,1.3,0.2,1.4,1.5,0.1
3.3,UD,30,1.8,0.9,7.1,8.8,0.6
