RBI,CS,G,SF,GIDP,HR,SB,AB,OPS,Player
3,1,16,0,0,0,0,38,0.52,W Isava
22,4,62,0,2,0,7,188,0.786,G Cumana
33,7,61,3,5,5,12,229,0.801,A Calero
31,0,57,3,10,1,3,191,0.763,W Garcia
18,5,58,2,1,2,17,211,0.721,R Fernandez
11,2,35,0,4,3,0,91,0.69,L Gonzalez
23,1,46,2,3,1,1,124,0.852,A Velasquez
37,3,57,7,1,6,6,189,0.748,J Leal
6,0,40,0,5,0,3,127,0.374,H Lugo
10,3,42,0,3,1,1,144,0.701,J Hernandez
12,1,41,1,1,1,0,116,0.615,M Sanjur
0,0,30,0,2,0,0,68,0.447,D Flores
11,8,60,0,1,0,23,214,0.777,V Padron
7,0,30,1,0,1,1,68,0.282,D Sojo
23,14,67,2,1,0,17,247,0.739,B Flete
33,2,54,2,3,4,2,180,0.83,J Ovalles
19,6,58,0,4,3,20,203,0.841,C Duran
17,4,33,0,3,2,4,74,0.769,D Mina
5,1,34,3,2,0,0,84,0.383,V Cortez
18,0,41,1,0,2,4,153,0.616,R Maestre
12,3,53,1,4,0,3,186,0.531,E Castillo
30,7,68,1,4,6,21,244,0.927,G Wawoe
13,0,13,1,0,1,0,41,0.997,E Vargas
