Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,Won,Lost,Draw,%
L Beauxis,2007-2012,20,10,10,125,1,18,25,3,12,7,1,62.5
D Skrela,2007-2007,7,6,1,47,0,7,11,0,5,2,0,71.42
D Yachvili,2007-2012,4,4,0,28,0,2,8,0,1,3,0,25.0
MJ Parra,2009-2012,7,2,5,27,0,3,7,0,3,3,1,50.0
JB Elissalde,2007-2007,7,5,2,49,1,13,6,0,5,2,0,71.42
J Dupuy,2009-2012,3,1,2,3,0,0,1,0,1,2,0,33.33
J Arias,2009-2009,1,0,1,0,0,0,0,0,0,1,0,0.0
D Attoub,2012-2012,1,1,0,0,0,0,0,0,0,1,0,0.0
B August,2007-2007,1,0,1,0,0,0,0,0,1,0,0,100.0
B Baby,2009-2009,2,1,1,0,0,0,0,0,1,1,0,50.0
F Barcella,2009-2009,2,2,0,0,0,0,0,0,1,1,0,50.0
SB Betsen Tchoua,2007-2007,10,10,0,0,0,0,0,0,8,2,0,80.0
J Bonnaire,2007-2012,15,13,2,10,2,0,0,0,10,4,1,70.0
R Boyoud,2009-2009,1,0,1,0,0,0,0,0,1,0,0,100.0
S Bruno,2007-2007,5,1,4,10,2,0,0,0,3,2,0,60.0
JM Buttin,2012-2012,1,0,1,0,0,0,0,0,0,1,0,0.0
S Chabal,2007-2009,11,7,4,20,4,0,0,0,7,4,0,63.63
D Chouly,2009-2009,1,0,1,0,0,0,0,0,0,1,0,0.0
V Clerc,2007-2012,16,13,3,35,7,0,0,0,10,5,1,65.62
V Debaty,2012-2012,5,1,4,0,0,0,0,0,2,2,1,50.0
P de Villiers,2007-2007,9,9,0,0,0,0,0,0,7,2,0,77.77
C Dominici,2007-2007,10,6,4,20,4,0,0,0,7,3,0,70.0
T Dusautoir,2007-2012,14,13,1,10,2,0,0,0,7,6,1,53.57
L Faure,2009-2009,1,1,0,0,0,0,0,0,0,1,0,0.0
W Fofana,2012-2012,5,5,0,20,4,0,0,0,2,2,1,50.0
F Fritz,2007-2012,4,4,0,0,0,0,0,0,1,3,0,25.0
G Guirado,2009-2009,1,0,1,0,0,0,0,0,0,1,0,0.0
I Harinordoquy,2007-2012,17,10,7,10,2,0,0,0,10,6,1,61.76
C Heymans,2007-2009,12,9,3,15,3,0,0,0,8,4,0,66.66
R Ibanez,2007-2007,10,9,1,10,2,0,0,0,7,3,0,70.0
Y Jauzion,2007-2009,13,11,2,15,3,0,0,0,10,3,0,76.92
B Kayser,2009-2009,2,0,2,0,0,0,0,0,1,1,0,50.0
G Lamboley,2007-2007,1,0,1,0,0,0,0,0,1,0,0,100.0
B Lecouls,2009-2009,1,1,0,0,0,0,0,0,0,1,0,0.0
Y Maestri,2012-2012,5,4,1,0,0,0,0,0,2,2,1,50.0
J Malzieu,2009-2012,6,5,1,5,1,0,0,0,3,2,1,58.33
S Marconnet,2007-2009,4,2,2,0,0,0,0,0,3,1,0,75.0
R Martin,2007-2009,4,1,3,5,1,0,0,0,2,2,0,50.0
D Marty,2007-2007,10,10,0,10,2,0,0,0,7,3,0,70.0
N Mas,2007-2012,12,8,4,0,0,0,0,0,7,4,1,62.5
M Medard,2009-2012,5,5,0,10,2,0,0,0,3,2,0,60.0
M Mermoz,2009-2012,4,1,3,0,0,0,0,0,2,2,0,50.0
F Michalak,2007-2007,5,3,2,0,0,0,0,0,3,2,0,60.0
P Mignoni,2007-2007,8,6,2,5,1,0,0,0,6,2,0,75.0
R Millo-Chluski,2009-2009,3,2,1,0,0,0,0,0,1,2,0,33.33
O Milloud,2007-2007,9,8,1,5,1,0,0,0,7,2,0,77.77
L Nallet,2007-2012,15,11,4,20,4,0,0,0,10,4,1,70.0
Y Nyanga Kabasele,2007-2007,4,3,1,5,1,0,0,0,3,1,0,75.0
F Ouedraogo,2009-2009,3,3,0,5,1,0,0,0,1,2,0,33.33
A Palisson,2012-2012,1,1,0,0,0,0,0,0,0,1,0,0.0
