SO,SF,POS,3B,G,H,SB,BB,RBI,Team
79,4,1B,0,86,90,2,36,52,FW
51,1,SS,2,87,51,1,15,18,BEL
89,3,SS,3,124,122,20,58,27,CLI
102,6,1B,4,114,90,1,33,39,SWM
30,1,2B,0,19,6,1,3,5,SB
12,1,C,1,20,17,0,12,11,FW
52,2,3B,2,90,97,5,27,36,SB
11,0,1B,1,8,4,0,1,1,DAY
8,1,3B,1,9,5,0,4,4,BEL
14,1,SS,1,33,25,2,6,9,PEO
3,0,2B,0,4,2,1,1,1,SB
7,0,C,0,17,10,0,1,3,PEO
35,3,C,0,47,34,0,12,21,BUR
39,0,2B,2,89,103,5,15,35,SWM
87,4,1B,4,126,131,5,48,59,KC
17,1,3B,0,10,3,0,2,2,DAY
91,7,1B,1,114,107,7,61,56,LAN
3,0,C,0,2,0,0,0,0,WM
49,2,1B,5,115,118,3,7,53,DAY
19,0,3B,0,28,28,0,12,7,BEL
22,2,C,2,54,39,0,16,15,SWM
49,7,2B,1,93,103,1,32,47,KC
28,0,2B,0,62,34,2,15,10,SWM
56,1,C,0,64,59,1,37,38,SB
3,1,1B,1,6,7,0,3,5,FW
61,1,C,0,71,42,2,17,21,BEL
2,0,C,0,2,0,0,1,0,LAN
45,1,C,0,86,76,4,37,22,BUR
56,0,C,4,70,43,10,28,11,CR
31,2,1B,0,52,35,5,11,17,WIS
14,0,SS,1,14,8,1,2,3,BUR
109,4,3B,2,130,122,41,65,73,BUR
40,2,1B,0,84,49,8,39,14,KC
87,5,C,1,100,80,6,36,35,CR
67,2,C,0,48,36,3,7,13,SWM
82,5,C,2,109,93,2,44,35,BUR
97,4,3B,3,130,106,7,60,43,CLI
102,1,C,2,98,79,3,44,35,WM
31,2,1B,1,49,43,2,16,20,QC
43,0,SS,2,64,48,2,10,7,CLI
38,0,3B,0,34,23,0,21,10,DAY
13,0,SS,0,21,19,2,6,7,FW
12,1,C,0,15,12,0,1,5,CLI
44,1,3B,3,53,61,1,21,44,FW
104,1,2B,4,127,116,24,32,29,CLI
65,5,SS,2,119,99,17,58,46,KC
95,2,SS,5,119,104,2,35,41,DAY
91,2,1B,0,86,69,0,26,45,DAY
33,2,3B,1,53,40,2,7,18,PEO
10,2,SS,0,26,39,0,7,18,DAY
106,8,1B,0,134,155,5,27,69,PEO
91,3,SS,5,99,76,9,25,38,PEO
6,0,3B,0,10,2,0,0,0,PEO
32,0,1B,0,38,36,0,10,25,QC
56,2,3B,0,103,87,3,26,47,SB
2,0,1B,0,2,1,0,1,1,BUR
53,1,1B,2,58,51,1,19,24,WIS
9,0,3B,0,12,4,0,2,1,FW
33,1,C,0,38,26,1,12,15,PEO
65,1,SS,3,59,64,11,20,47,QC
22,0,C,0,31,22,0,11,14,QC
53,4,2B,2,126,132,23,53,39,WM
3,0,2B,0,5,1,0,2,0,DAY
20,1,2B,2,40,36,5,5,9,SWM
8,0,C,0,7,0,0,0,0,PEO
34,0,SS,2,51,52,6,27,29,PEO
20,0,2B,4,30,22,1,14,9,BEL
45,4,C,0,57,59,1,25,44,FW
1,0,2B,0,3,1,1,0,0,WIS
11,0,C,0,18,9,1,10,3,LAN
122,4,SS,1,128,79,19,29,29,SWM
82,0,C,0,101,88,14,26,30,PEO
46,1,C,0,65,51,4,17,31,CLI
25,1,SS,0,29,25,2,6,14,BUR
39,3,1B,0,69,73,2,10,33,CLI
104,1,3B,0,107,92,1,39,47,SB
109,0,1B,7,104,96,15,50,41,LAN
40,2,SS,3,55,60,5,15,29,DAY
30,4,3B,0,49,54,5,14,16,LAN
82,3,1B,2,54,41,0,8,26,CLI
60,0,SS,3,58,38,8,26,11,PEO
