TOV%,DRB%,Tm,BLK%,USG%,ORtg
 ,0.0,NJN,0.0,0.0, 
0.0,0.0,NJN,23.9,28.7,152
0.0,0.0,NJN,0.0,11.6,201
 ,0.0,NJN,0.0,0.0, 
 ,0.0,NJN,0.0,0.0, 
50.0,91.4,NJN,0.0,13.0,19
 ,0.0,NJN,0.0,0.0, 
0.0,36.9,NJN,8.4,14.5,110
18.4,14.1,NJN,0.0,19.9,96
0.0,21.1,NJN,0.0,10.0,200
0.0,26.7,NJN,0.0,7.1,0
0.0,51.9,NJN,0.0,25.9,82
0.0,0.0,NJN,0.0,33.4,92
50.0,0.0,NJN,0.0,9.2,0
20.0,48.5,NJN,17.0,18.5,86
0.0,43.6,NJN,0.0,16.2,116
50.0,20.9,NJN,12.5,16.5,0
11.1,25.1,NJN,0.0,27.0,61
50.0,32.4,NJN,0.0,21.3,0
20.0,0.0,NJN,8.6,26.5,23
26.0,23.2,NJN,0.0,22.8,113
0.0,0.0,NJN,14.8,8.5,58
0.0,0.0,NJN,0.0,23.0,200
 ,25.4,NJN,0.0,0.0,209
