GIDP,SH,SLG,POS,OBP,3B,R,AB
26,3,.461,RF,.340,2,44,395
13,8,.415,2B,.404,0,65,402
0,0,--,P,--,0,0,0
0,0,--,P,--,0,0,0
12,1,.504,1B,.422,0,34,244
7,8,.553,CF,.435,5,54,257
12,0,.669,CF,.461,3,96,387
16,3,.391,3B,.350,3,55,335
0,4,.350,OF,.299,1,16,120
7,6,.407,3B,.400,2,65,364
6,2,.462,3B,.400,1,42,236
0,0,--,P,--,0,0,0
8,10,.408,SS,.354,1,35,240
11,2,.478,1B,.391,0,44,291
3,0,.618,OF,.418,1,37,170
0,0,.000,P,.000,0,1,1
0,0,--,OF,--,0,0,0
0,0,--,P,--,0,0,0
1,0,.452,LF,.235,0,6,31
1,0,.288,2B,.333,0,5,73
6,1,.662,LF,.423,7,47,216
7,4,.330,2B,.319,0,27,188
4,10,.362,SS,.329,2,27,232
13,1,.641,C,.454,0,79,395
0,0,.239,LF,.283,0,8,46
13,4,.471,C,.412,0,54,367
5,0,.437,CF,.346,0,16,135
20,11,.377,CF,.349,1,62,419
5,3,.344,2B,.301,0,11,154
7,3,.401,2B,.331,1,19,162
15,0,.640,LF,.454,2,81,394
1,0,.309,C,.333,0,7,55
12,13,.352,SS,.324,6,46,358
5,1,.374,LF,.357,1,31,227
0,0,--,P,--,0,0,0
14,2,.576,3B,.398,4,88,399
7,4,.420,1B,.331,0,13,150
4,1,.364,DH,.322,0,14,132
4,0,.434,1B,.357,0,27,198
27,0,.486,DH,.368,2,56,393
5,4,.360,LF,.358,2,26,139
0,0,.000,P,.000,0,0,2
9,5,.525,2B,.362,2,69,381
16,3,.441,1B,.388,0,46,338
1,1,.302,3B,.197,0,5,63
0,1,.071,LF,.133,0,2,14
4,1,.396,SS,.309,0,6,53
1,2,.348,2B,.385,0,1,23
15,6,.368,CF,.310,2,37,380
6,5,.353,CF,.335,4,45,351
18,0,.520,DH,.400,0,66,394
11,7,.334,RF,.341,1,45,341
5,6,.485,2B,.444,2,47,196
0,0,.333,C,.333,0,0,3
17,0,.448,LF,.356,3,52,391
0,0,.000,CF,.000,0,0,2
6,5,.380,SS,.331,1,49,321
19,0,.581,1B,.451,0,58,370
0,0,--,P,--,0,0,0
3,0,.340,C,.376,0,13,150
8,0,.356,DH,.338,0,24,202
13,2,.405,3B,.376,3,30,279
0,0,.000,C,.125,0,0,7
2,4,.395,2B,.402,0,12,119
3,5,.311,OF,.313,1,15,90
2,6,.551,CF,.453,9,91,372
1,2,.466,OF,.400,0,12,58
2,16,.442,CF,.371,4,53,351
2,0,.139,C,.205,0,4,36
0,0,--,P,--,0,0,0
2,2,.231,1B,.298,0,7,78
9,3,.389,2B,.390,0,35,296
0,0,.258,2B,.378,0,5,31
7,6,.304,LF,.366,1,43,204
5,4,.522,3B,.456,4,60,318
0,0,.250,SS,.250,0,1,4
2,1,.547,OF,.422,0,20,95
0,0,--,P,--,0,0,0
12,4,.357,OF,.349,1,48,339
10,1,.471,DH,.378,1,36,208
4,8,.346,LF,.344,0,21,182
4,0,.449,C,.338,1,27,118
8,0,.437,1B,.415,1,39,284
1,0,.436,OF,.327,2,14,94
0,0,.222,RF,.181,0,8,72
13,1,.595,OF,.410,5,60,279
11,2,.403,OF,.341,2,33,233
0,0,.368,1B,.158,0,3,19
4,7,.415,RF,.349,2,38,207
13,7,.450,3B,.354,0,29,269
1,0,.200,3B,.161,0,1,30
0,3,.383,OF,.341,1,19,128
15,1,.518,1B,.388,0,46,299
5,0,.279,DH,.286,0,8,86
6,3,.441,C,.371,2,24,136
5,0,.306,DH,.327,0,1,49
5,10,.392,SS,.322,1,41,324
0,0,--,P,--,0,0,0
10,12,.461,2B,.368,3,45,308
3,4,.367,1B,.305,2,18,147
2,0,.400,3B,.404,0,10,40
0,0,.538,SS,.429,0,3,13
4,20,.363,2B,.377,1,68,358
13,6,.466,C,.387,1,45,354
2,1,.534,3B,.383,1,30,174
11,6,.476,1B,.406,2,50,288
6,1,.458,1B,.388,0,19,118
8,6,.483,SS,.398,4,64,329
9,7,.471,OF,.388,3,87,416
1,1,.281,RF,.333,0,4,32
10,8,.423,2B,.382,0,39,248
19,3,.465,3B,.432,1,74,396
9,6,.427,C,.360,1,40,307
10,0,.448,RF,.348,1,69,362
9,6,.319,SS,.285,1,50,323
1,0,.257,C,.325,0,0,35
9,8,.409,3B,.377,1,33,232
0,0,--,P,--,0,0,0
3,3,.324,3B,.384,0,18,111
3,0,.417,C,.375,0,4,60
0,2,.308,2B,.338,0,5,65
4,2,.398,C,.405,1,22,161
7,7,.408,LF,.386,2,33,223
