Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
Chris Pontius,DC,M-F,13,12,1070,2,1,25,6,1,0/1,2,0,0.17,8.0
Dairon Asprilla,POR,M-F,17,10,900,1,1,24,6,1,0/0,0,1,0.1,4.2
Gaston Fernandez,POR,M,21,6,721,2,2,25,6,0,1/1,1,1,0.25,8.0
Jason Johnson,CHI,F,11,3,335,2,1,19,6,1,0/0,1,1,0.54,10.5
Jordan Allen,RSL,M-F,15,6,682,1,2,11,6,1,0/0,1,0,0.13,9.1
Jose Villarreal,LA,F,14,9,666,2,3,17,6,1,0/0,2,0,0.27,11.8
Kendall Waston,VAN,D,21,21,1890,1,0,24,6,1,0/0,1,0,0.05,4.2
Kyle Beckerman,RSL,M,17,17,1525,1,2,18,6,0,0/0,0,1,0.06,5.6
Luis Gil,RSL,M,21,14,1291,0,1,23,6,0,0/0,0,0,0.0,0.0
Michael Barrios,DAL,M,14,7,666,3,0,14,6,1,0/0,3,0,0.41,21.4
Nat Borchers,POR,D,20,20,1800,2,0,8,6,0,0/0,1,1,0.1,25.0
Ned Grabavoy,NYC,M,18,16,1430,0,2,13,6,0,0/0,0,0,0.0,0.0
Sebastian Jaime,RSL,F,12,12,858,4,2,13,6,0,0/0,3,1,0.42,30.8
Shea Salinas,SJ,M,21,17,1569,1,2,20,6,0,0/0,1,0,0.06,5.0
Adam Jahn,SJ,F,17,9,936,1,1,16,5,1,0/0,0,1,0.1,6.3
Baggio Husidic,LA,M,22,21,1856,2,5,20,5,0,0/0,2,0,0.1,10.0
Chris Duvall,NYR,D,15,14,1283,1,1,9,5,1,0/0,0,1,0.07,11.1
Conor Casey,PHI,F,11,2,276,1,0,10,5,0,0/0,0,1,0.33,10.0
DaMarcus Beasley,HOU,D,20,20,1765,0,0,11,5,0,0/0,0,0,0.0,0.0
Darwin Ceren,ORL,M,17,17,1530,2,1,21,5,0,0/0,2,0,0.12,9.5
Donny Toia,MTL,D,17,16,1492,1,0,6,5,1,0/0,1,0,0.06,16.7
Guly do Prado,CHI,F,15,6,577,0,0,18,5,0,0/0,0,0,0.0,0.0
Jack Jewsbury,POR,M,19,14,1324,2,0,12,5,2,0/0,1,1,0.14,16.7
Kellyn Acosta,DAL,M,13,12,972,2,1,18,5,0,0/0,2,0,0.19,11.1
Kwadwo Poku,NYC,M,15,3,533,1,6,9,5,0,0/0,1,0,0.17,11.1
