hr,sb,sf,bb,hbp,rbi,3b,h,avg
1,1,0,3,0,1,0,2,0.249
0,0,0,0,0,1,0,5,0.2
1,0,0,0,1,1,0,1,0.22
1,0,0,1,0,1,0,4,0.244
0,0,1,4,0,3,0,6,0.285
0,1,0,0,0,6,0,10,0.234
0,0,0,0,0,3,0,6,0.266
0,0,0,0,0,3,0,13,0.232
1,2,0,4,0,3,0,6,0.287
1,1,1,1,0,7,0,10,0.269
1,0,0,4,0,2,0,4,0.288
2,0,0,1,0,8,0,13,0.29
3,1,0,5,0,9,0,12,0.287
2,3,1,3,1,8,0,13,0.289
0,1,0,1,0,0,0,4,0.283
1,1,0,3,0,3,0,4,0.287
2,4,1,2,1,10,0,13,0.278
2,2,0,3,0,8,0,10,0.269
0,0,0,1,0,0,0,0,0.275
0,1,0,0,0,3,0,8,0.284
1,1,0,1,1,2,0,6,0.285
0,0,0,2,0,0,0,2,0.196
2,2,0,2,1,9,0,11,0.279
1,2,0,0,0,5,0,9,0.243
2,0,0,2,2,5,0,8,0.282
0,1,1,4,0,9,0,11,0.29
0,0,0,0,0,0,0,3,0.266
2,0,0,2,0,4,0,7,0.28
2,0,1,2,1,8,0,11,0.288
0,1,0,2,0,0,0,3,0.194
0,0,2,2,0,4,1,9,0.273
0,1,0,1,2,4,0,10,0.284
3,2,0,0,0,7,0,12,0.264
3,0,0,0,4,10,0,11,0.282
1,1,0,4,1,7,2,7,0.288
1,1,0,1,1,4,0,5,0.285
1,2,0,5,2,2,0,4,0.261
0,2,0,2,0,5,0,10,0.257
0,0,0,0,0,0,0,0,0.227
0,0,0,4,0,2,0,3,0.212
