C-G#,SO,AB,3B,Notes,Team,GDP,HR,SF
238,0,5,1,4 hits,CHA,0,0,0
12,1,2,0,1st career RBI,CHA,0,0,0
1652,0,5,0,500th career RBI,BAL,0,1,0
144,0,6,0,"4 hits, 3 stolen bases",CHA,0,0,0
2306,0,4,0,4 hits,BOS,0,0,0
1958,0,5,0,2000th career hit,CHA,0,0,0
2207,0,4,0,4 hits,CHA,0,0,0
29,1,3,0,1st career home run,CHA,0,1,0
364,0,3,0,4 walks,CHA,0,0,0
1253,0,6,1,"4 hits, 3 stolen bases",BAL,0,0,0
392,0,5,0,4 hits,CHA,0,0,0
983,0,5,0,4 hits,CHA,0,0,0
500,1,4,0,500th career game,CHA,0,0,0
2167,0,5,0,4 hits,CHA,0,0,0
1872,0,6,1,4 hits,CHA,0,0,0
2381,0,5,0,4 hits,BOS,0,0,0
1223,1,4,0,3 stolen bases,BAL,0,0,0
1969,0,5,0,4 hits,CHA,0,0,0
512,0,2,1,100th career stolen base,CHA,0,0,0
2573,0,5,0,500th career stolen base,BOS,0,0,0
1180,0,5,0,300th career stolen base,BAL,0,0,0
2045,0,5,0,4 hits,CHA,0,0,0
2237,1,5,0,6 RBIs,BOS,0,1,0
