HR,2B,AVG,SB,R,SLG,HBP,AB,SF,CS
24,39,0.336,1,78,0.549,2,530,9,1
2,8,0.157,0,11,0.248,0,153,2,0
0,1,0.2,0,1,0.3,0,10,0,0
1,1,0.182,0,1,0.545,0,11,0,0
3,5,0.211,0,19,0.292,1,171,1,0
0,0,0.0,0,0,0.0,0,5,0,0
10,19,0.276,5,41,0.456,5,294,5,0
1,15,0.218,1,19,0.286,3,262,2,0
1,0,0.214,0,3,0.321,0,28,0,0
0,1,0.25,0,3,0.333,0,12,0,0
3,2,0.265,0,11,0.398,0,83,1,0
21,18,0.211,6,50,0.403,8,422,0,1
12,15,0.192,0,29,0.347,3,343,2,0
4,2,0.269,0,5,0.449,1,78,1,1
6,6,0.199,0,26,0.347,2,176,0,0
0,8,0.226,4,27,0.287,1,195,1,2
2,14,0.274,0,25,0.338,3,317,3,0
1,12,0.201,0,16,0.276,0,199,0,1
1,8,0.241,2,15,0.319,1,141,2,0
20,14,0.23,3,44,0.399,1,439,3,0
3,8,0.29,1,14,0.46,0,100,0,1
1,12,0.232,0,7,0.341,1,138,1,1
1,2,0.298,0,3,0.404,0,47,1,0
15,25,0.286,0,65,0.438,12,486,2,0
0,0,0.111,0,1,0.111,1,18,0,0
