STL%,AST%,Date,TS%,TRB%,USG%,G,GS
1.9,0.0,2002-11-04,.282,8.8,10.8,4,0
0.0,18.6,2003-03-23,.543,14.3,15.8,41,0
0.0,12.8,2003-04-05,.600,18.9,10.1,45,0
4.2,12.9,2002-12-06,.500,19.0,11.6,11,0
0.0,8.3,2002-11-20,.694,8.6,9.1,6,0
0.0,0.0,2003-02-03,.717,11.2,11.8,30,0
3.0,7.8,2002-10-30,1.000,16.8,2.7,1,0
0.0,0.0,2003-03-14,.500,32.4,8.8,37,0
2.6,14.1,2003-04-15,.425,14.9,11.0,50,1
0.0,0.0,2003-04-01, ,0.0,0.0,43,0
0.0,0.0,2003-01-29,.333,16.3,16.0,27,0
3.9,0.0,2003-01-04,1.000,12.3,7.0,17,0
0.0,27.3,2002-12-03,.250,27.3,16.6,9,0
4.0,11.6,2002-12-12,.333,22.6,10.0,14,0
0.0,0.0,2003-02-14,.500,0.0,16.5,33,0
2.8,19.1,2003-01-17,.500,11.4,7.2,21,0
4.5,22.9,2003-01-22, ,18.6,0.0,24,0
4.9,19.7,2003-03-11,.667,11.0,15.3,35,0
0.0,18.8,2003-03-18,1.000,7.3,8.4,39,0
0.0,0.0,2003-04-02,.512,21.8,12.2,44,0
0.0,18.0,2002-12-10,.000,16.3,6.0,13,0
0.0,15.4,2002-11-19,.333,12.1,14.3,5,0
3.6,9.3,2003-01-24,.595,15.1,22.0,25,0
0.0,0.0,2002-11-01, ,40.0,0.0,2,0
