GIDP,SB,Player,OPS,SLG,3B,SF,BB,R
0,4,S Henry,.784,.415,1,0,3,6
9,26,J Adduci,.745,.365,3,3,63,81
1,0,J Lennerton,.606,.268,0,1,14,9
2,1,B Roberts,.909,.409,0,0,2,3
0,1,B Ryan,.641,.333,0,0,1,1
0,0,L Perez,.000,.000,0,0,0,0
3,23,P Powell,.703,.299,0,1,27,20
6,3,J Kreuzer,.679,.329,0,1,22,17
3,0,S Bowman,.853,.485,2,1,4,12
0,0,S Rolen,.000,.000,0,0,0,0
5,7,D Santiesteban,.589,.322,1,2,20,31
23,0,W Ramos,.780,.434,2,5,37,50
0,0,D Cox,.000,.000,0,0,0,0
4,2,D Berg,.795,.414,2,1,32,39
2,3,R Chirinos,.906,.475,2,1,26,22
0,0,D Rundle,.000,.000,0,0,0,0
5,1,J Lucroy,.843,.479,1,6,28,31
6,10,J Calzado,.563,.315,3,1,10,20
6,12,B Emaus,.843,.463,3,5,60,87
2,0,M Hernandez,.422,.200,0,0,2,3
13,1,W Robbins,.788,.405,4,5,52,39
4,2,K Mahar,.776,.389,2,0,19,17
0,0,J McDonald,.780,.364,0,0,1,2
4,15,D Roberts,.766,.457,4,4,12,54
9,3,B Boesch,.689,.379,8,5,36,46
4,18,D Jones,.881,.476,7,1,33,43
8,0,C Kingrey,.711,.388,1,0,16,23
5,2,L Gorsett,.658,.345,1,1,24,28
1,0,M Rabelo,.517,.267,0,0,2,2
2,4,D Perales,.612,.345,4,3,20,23
0,0,B Wilkerson,1.500,1.000,0,0,1,4
0,0,J Hill,.595,.298,0,1,5,6
3,4,S Singleton,.823,.452,2,3,26,38
0,0,S Walls,--,--,0,0,0,0
7,19,L Cain,.806,.448,4,2,29,50
1,0,D Dorn,.786,.500,0,0,1,3
5,0,J Jacobs,.652,.294,0,2,26,21
15,2,L Duda,.755,.398,3,3,66,58
0,0,C Pena,.200,.000,0,0,1,0
7,2,A Hatch,.977,.539,1,1,28,25
4,3,M Maldonado,.703,.351,0,1,8,8
1,4,Q Stewart,.619,.348,0,1,10,10
5,10,J Matulia,.700,.357,2,2,24,36
2,0,A Brown,.967,.557,0,0,11,14
30,17,M Hilligoss,.585,.298,0,4,31,47
10,8,J Gil,.611,.321,0,2,14,17
2,4,V Mendez,.821,.469,0,2,11,19
0,2,S Houin,.403,.175,0,0,6,5
2,0,D Corrente,.771,.514,0,0,2,9
0,0,W Aybar,.558,.250,0,0,1,1
8,0,J Gonzalez,.681,.396,3,1,21,35
0,0,W Vogl,.000,.000,0,0,0,0
2,2,M Reed,.691,.349,2,0,17,15
1,0,A Esquer,.333,.167,0,0,0,1
0,1,B Finegan,.897,.477,0,0,5,10
5,1,J Miller,.764,.366,1,0,16,19
7,1,J Lansford,.606,.309,0,0,12,22
5,1,K Anson,.719,.353,1,1,44,27
0,0,C Fournier,.895,.500,1,0,7,8
3,1,C Leon,.916,.469,1,0,11,11
3,3,R Tosoni,.823,.414,3,2,21,27
8,16,Y Carter,.747,.444,1,3,27,55
1,0,J Made,.161,.056,0,0,1,3
9,4,C Patton,.854,.484,2,5,45,70
0,0,A Pagan,.200,.000,0,0,1,1
11,1,K Holmberg,.609,.254,1,2,51,24
2,0,R Curry,.450,.250,0,0,0,1
1,3,E Gonzalez,.878,.559,1,1,5,18
6,3,C Hatcher,.605,.327,0,3,23,22
0,0,G Psomas,.510,.277,0,0,7,6
0,0,D Eckstein,.508,.214,0,0,2,4
11,8,R Tejada,.588,.296,4,4,41,55
6,5,G Groce,.632,.309,1,4,42,39
1,0,M Treanor,1.041,.563,0,1,6,7
8,2,S De Leon,.723,.419,0,1,4,19
0,0,R Baker,.000,.000,0,0,0,0
1,0,A Frost,.899,.586,1,0,2,6
6,2,J De La Rosa,.657,.366,2,1,14,27
1,0,E Ontiveros,.478,.200,0,1,1,2
6,2,D Valencia,.921,.518,3,4,27,35
0,0,J Krebs,--,--,0,0,0,0
9,1,D Solano,.700,.351,4,0,37,56
10,7,T Wright,.781,.411,1,2,41,60
6,28,E Carrera,.737,.393,12,3,46,61
1,1,G Cates,.486,.247,0,0,1,3
1,0,J Savery,.670,.385,0,0,1,2
1,0,L Alen,.397,.105,0,0,5,1
3,27,D Stubbs,.772,.406,4,3,50,49
8,0,B Dopirak,.959,.577,2,3,47,77
9,6,J Mota,.682,.362,2,3,26,46
10,12,B Timm,.645,.325,4,1,36,36
1,1,J Kahaulelio,.726,.393,2,0,16,29
2,14,S Sizemore,.774,.409,1,3,24,32
8,16,L Nunez,.671,.352,2,4,25,49
0,0,C Puckett,.000,.000,0,0,0,0
5,1,N Southard,.505,.215,0,0,9,9
0,0,N Hopper,.730,.286,0,0,2,3
3,3,J Turner,.774,.390,1,0,12,23
9,7,S Clevenger,.798,.405,0,4,39,36
2,16,S Shoffit,.734,.407,6,2,39,47
1,1,L Soto,.478,.216,0,0,4,5
0,0,C Snelling,.476,.143,0,0,3,4
0,0,B Zobrist,.624,.357,0,1,0,1
0,0,R Palacios,.537,.262,0,0,4,5
1,0,L Parker,.857,.497,0,1,13,16
0,0,E Hernandez,--,--,0,0,0,0
13,5,J Blackwood,.561,.297,3,2,21,30
16,10,C Caufield,.613,.308,0,5,37,42
0,0,L Castillo,.330,.067,0,0,4,1
1,0,R Diaz,.800,.480,0,0,0,3
3,4,D Thomas,.569,.282,1,0,16,17
3,0,L Palmisano,.784,.417,0,0,5,8
14,1,J Francisco,.799,.496,5,4,19,71
0,0,J Ceballos,.000,.000,0,0,0,0
0,0,O Guevara,.664,.304,0,0,2,1
0,0,D Morales,1.000,.500,0,0,0,0
9,5,R Royster,.691,.373,3,2,32,50
0,0,A Everett,.000,.000,0,0,0,0
4,1,G Nunez,.576,.272,0,1,11,14
2,1,S McCraw,.406,.156,0,0,10,2
4,2,C Valaika,.978,.585,0,2,7,20
3,4,A Calderone,.830,.483,7,1,29,51
1,0,R Baker,.286,.143,0,0,0,0
10,5,M Taylor,.939,.560,1,2,19,36
8,2,J Thole,.808,.427,2,5,45,49
3,1,W Castillo,.638,.339,0,1,4,15
1,0,J Hermida,1.074,.600,0,0,4,6
1,1,C Kunda,.369,.168,0,3,9,10
5,0,H Gimenez,.585,.313,1,2,15,11
0,0,T Gardenhire,.750,.385,0,0,1,2
3,2,D Lehmann,.618,.267,0,1,16,12
3,1,Y Rodriguez,.553,.279,0,1,8,11
8,5,N Ashley,.663,.315,1,1,49,37
8,1,J Kunkel,.590,.301,0,3,12,14
1,2,D Nelson,.494,.224,0,2,13,9
13,1,J Louwsma,.547,.290,0,2,16,25
2,1,B Carroll,.512,.282,0,1,6,10
1,4,M Matulia,.810,.415,0,1,4,7
0,0,K Thieme,.500,.000,0,0,1,0
9,2,T Gosewisch,.601,.309,1,4,31,38
0,0,C Rasmus,.182,.000,0,0,1,1
2,2,Y Solarte,.705,.395,1,0,7,18
0,1,L Salas,.888,.467,1,0,4,0
1,0,M Cusick,.443,.174,0,0,2,1
0,0,E Manzanillo,1.000,.500,0,0,0,2
6,2,M Bertram,.767,.427,4,4,27,51
4,1,P Vasquez,.516,.258,0,1,2,8
15,2,J Castro,.570,.297,3,0,9,31
4,3,A Quintana,.759,.394,1,0,8,23
0,0,C Mulligan,.133,.000,0,0,1,1
0,0,E Rodriguez,.269,.095,0,0,2,3
1,1,G Veloz,.544,.247,0,0,7,8
0,0,J Werth,.542,.167,0,0,1,0
1,0,J Petersen,.544,.280,1,0,2,5
6,6,B Maldonado,.611,.327,0,0,15,18
0,0,B Chavez,.000,.000,0,0,0,0
0,1,J Brennan,.656,.256,0,0,10,3
2,1,R Harvey,.734,.421,0,2,22,25
1,0,B Burgamy,.788,.367,0,1,6,8
0,0,J Rollins,.250,.000,0,0,1,2
0,1,N Punto,.558,.250,0,0,1,0
2,0,C Albernaz,.403,.191,0,0,4,3
1,0,R Gomez,.273,.182,0,0,0,0
0,0,F Cervelli,.664,.300,0,0,0,2
0,0,P Feliz,.250,.000,0,0,1,0
