SLG,OBP,OPS,SH,Player,GIDP,RBI,2B,SO
.347,.324,.671,1,R Skube,2,12,7,20
.372,.341,.713,0,T Nam,3,24,6,40
.235,.325,.559,2,A Muenster,2,12,2,21
.364,.380,.744,0,S Burruel,1,14,2,26
.599,.396,.994,0,H Moreno,4,32,22,39
.367,.257,.625,0,D Harrington,2,17,7,19
.250,.350,.600,0,Y Cabrera,0,0,1,5
.429,.400,.829,0,J Roof,0,2,1,3
.301,.309,.610,2,A Aguilar,1,9,2,16
.667,.545,1.212,0,R Royster,0,3,6,5
.176,.194,.371,0,A Puello,2,3,1,4
.389,.350,.739,0,J Burgess,0,1,2,10
.359,.300,.659,3,A Siliga,3,12,7,37
.125,.118,.243,0,J Echevarria,0,2,1,7
.422,.357,.778,3,T Martinez,5,22,14,25
.250,.381,.631,0,T Buck,0,4,1,4
.358,.312,.669,0,D Geiger,7,15,9,25
.347,.233,.580,0,Y Brazoban,4,9,6,25
.231,.375,.606,0,C Lewis,2,3,0,5
.333,.286,.619,0,B Nicholas,0,3,1,1
.000,.111,.111,0,P Baez,0,1,0,1
.179,.235,.414,0,N Nordgren,0,3,1,7
.315,.281,.596,0,J De La Cruz,6,12,5,23
.700,.700,1.400,0,P LePage,0,0,0,0
.583,.467,1.050,0,N Van Stratten,0,1,3,2
.357,.394,.751,0,J Skole,0,5,2,5
.375,.333,.708,1,D Lopez,0,11,1,14
.538,.354,.892,1,D Vidal,2,34,13,30
.403,.319,.722,1,M Ray,0,6,3,26
.289,.297,.586,3,J Santana,6,17,7,40
.384,.404,.788,1,B Guinn,0,8,5,28
.571,.400,.971,0,D Thomas,0,4,0,7
.363,.313,.676,3,J Baldwin,0,22,6,60
.667,.455,1.121,0,D Burkhart,0,3,1,6
.475,.383,.858,1,A Giansanti,1,19,2,13
.200,.200,.400,0,D Ethier,0,2,0,1
.321,.325,.646,1,G Mitchell,0,13,4,59
.338,.351,.689,0,J McAloose,4,20,9,46
.292,.280,.572,2,K Dhanani,1,8,2,15
.364,.335,.699,1,M Walla,1,21,8,59
.550,.415,.965,0,R Cuneo,0,21,9,33
.300,.250,.550,0,M Brown,0,2,1,3
.313,.243,.557,0,A Monsalve,2,18,8,52
.118,.182,.299,2,M Turner,2,5,0,22
.371,.322,.693,2,J Silva,1,24,6,48
.400,.412,.812,0,R Golden,0,1,1,7
.487,.406,.893,0,R Consigli,2,31,12,33
.412,.342,.754,0,C Cuthbert,1,5,3,19
.188,.192,.380,1,E Soto,1,2,1,22
.141,.321,.462,3,A Marquez,2,3,0,17
.182,.197,.379,0,R Ramsey,0,4,0,20
.360,.315,.675,1,A Velazquez,2,12,7,28
.305,.294,.599,1,J Eshleman,1,7,3,18
.118,.118,.235,0,A Shipman,0,2,0,6
.429,.350,.779,0,J Rife,0,12,4,22
.350,.348,.698,0,S Furmanek,0,1,2,5
.330,.387,.717,0,W Darvill,2,7,3,21
.429,.375,.804,0,M Downs,0,2,1,1
.494,.379,.873,2,R Torreyes,1,11,7,5
.417,.333,.750,0,T Delmonico,1,2,2,5
.387,.324,.711,1,D Shaw,3,15,4,18
.460,.312,.771,0,J Staley,3,25,9,35
.590,.427,1.017,1,J Matthews,2,22,5,38
.000,.125,.125,0,R Wagner,0,1,0,2
.291,.252,.544,0,J Peralta,3,8,5,38
.336,.316,.652,2,J Rodriguez,0,17,2,29
.274,.256,.530,2,J Martinez,3,21,5,41
.500,.333,.833,0,N Cuevas,0,0,1,2
.483,.321,.804,0,J Romero,2,14,10,67
.362,.359,.721,1,C Adamson,2,19,7,34
.338,.308,.646,0,J Javier,2,11,2,16
.308,.259,.567,0,B Altman,1,9,2,20
.382,.325,.707,1,J Taylor,2,3,1,9
.200,.198,.398,3,J Blanco,1,8,4,36
.571,.375,.946,0,B May,0,1,2,2
.444,.364,.808,0,Y Carter,0,4,1,1
.500,.548,1.048,0,N Recknagel,0,0,3,7
.343,.263,.606,0,M LeVier,0,4,3,11
.367,.398,.765,2,S Irvine,2,11,6,17
.300,.263,.563,0,X Batista,4,25,5,63
.000,.250,.250,0,J Brossman,0,0,0,0
.389,.345,.735,5,K Allison,0,28,11,46
.420,.395,.815,1,C Vitale,3,14,4,10
.404,.400,.804,0,J Paciorek,1,8,3,16
.000,.000,.000,0,B Johnson,0,0,0,2
.293,.324,.617,0,B Brett,1,6,3,28
.229,.282,.511,0,M Bradley,1,1,1,13
.208,.214,.423,0,D Webb,0,3,0,6
.362,.283,.645,1,A Morales,1,14,17,59
.640,.520,1.160,0,J Dyson,0,6,1,3
.307,.319,.626,1,W Soto,0,16,2,36
.333,.330,.663,1,D Iden,0,14,3,14
.445,.331,.776,0,C Garcia,3,26,11,43
.143,.333,.476,0,R Pineda,1,0,0,6
.461,.360,.820,1,C Jones,2,17,7,61
.313,.325,.638,0,A Hernandez,2,11,3,28
.000,.222,.222,0,M Choice,0,0,0,2
.360,.308,.667,0,D Vicioso,5,10,3,13
.288,.298,.587,2,Y Gonzalez,6,9,5,12
.290,.262,.552,0,J Cuevas,2,19,5,23
.230,.286,.515,0,J Galarraga,0,5,2,18
.212,.254,.466,0,A Perez,2,8,0,18
.405,.380,.785,1,T Meiners,2,15,5,16
.342,.271,.613,1,J Bonifacio,1,6,0,31
.432,.372,.804,6,C Willoughby,3,24,9,36
--,--,--,0,E Alfonzo,0,0,0,0
.250,.241,.491,0,K Waldrop,0,1,1,9
.361,.364,.725,0,D Sandford,0,9,4,36
.133,.163,.296,1,C Tanabe,1,2,2,20
.333,.265,.598,1,M Marte,6,27,9,73
.333,.316,.649,0,S Conner,0,4,1,6
.327,.293,.620,2,V Soto,3,20,4,26
.571,.448,1.020,0,J Gerut,1,11,5,3
.406,.358,.764,0,J Acevedo,2,14,8,31
.479,.471,.950,1,N Shaw,1,19,13,31
.378,.293,.671,1,Y Lopez,0,26,7,56
.522,.304,.826,0,C Rodriguez,0,2,3,5
.260,.278,.538,0,R Bolden,2,16,1,68
.380,.286,.666,0,J Hunt,1,7,1,11
.219,.278,.497,1,H Martinez,1,4,2,17
.308,.333,.641,0,D Baird,1,0,1,2
.108,.214,.322,1,E Sim,0,1,0,8
--,--,--,0,J Navarro,0,0,0,0
.056,.227,.283,1,C Bisson,1,0,0,4
.309,.307,.615,0,T Sanford,5,9,2,30
.800,.477,1.277,0,N Akins,1,24,10,19
.267,.276,.543,0,J Bivens,2,9,3,21
.447,.420,.867,3,J Gomez,3,20,7,28
.700,.538,1.238,0,J Fields,0,4,1,2
.513,.354,.867,0,T Roberts,5,23,17,30
.477,.306,.782,0,J Rodriguez,3,20,3,42
.360,.333,.693,0,S Diaz,7,11,4,11
.438,.363,.800,0,D Garce,1,16,6,27
.000,.417,.417,0,J Pederson,0,0,0,5
.328,.248,.576,1,H Dunn,3,16,7,23
.571,.444,1.016,0,D Stoneburner,0,1,0,2
1.000,.778,1.778,0,C Podraza,0,2,2,1
.326,.361,.687,0,N Bartolone,2,9,3,18
.167,.158,.325,0,M Nuno,1,1,1,5
.541,.459,1.000,0,J Choi,3,23,15,30
.528,.390,.918,0,S Costa,0,6,3,5
.398,.323,.722,0,R Rodriguez,2,14,6,23
.333,.368,.702,0,G Terhune,1,5,6,19
.278,.308,.585,0,D Beuerlein,0,3,1,16
.167,.143,.310,0,A De Los Santos,0,2,0,1
.000,.000,.000,0,J Sneed,0,0,0,1
.506,.318,.824,0,A Edge,2,15,6,27
.148,.200,.348,1,M Liberto,0,0,1,2
.250,.333,.583,0,A Felipe,1,0,0,2
.451,.276,.727,0,G Pimentel,1,31,7,58
.417,.379,.796,0,S Cilladi,1,3,0,7
.217,.229,.447,0,F Christian,0,3,1,15
.253,.296,.549,0,B Springfield,3,4,2,24
.143,.136,.279,0,K Cowart,0,4,0,6
.304,.287,.591,0,C Noble,4,16,7,21
.000,.000,.000,0,C Tracy,0,0,0,1
.493,.397,.891,1,R Garvey,0,13,2,11
.375,.333,.708,0,J Mallard,1,3,2,9
.424,.432,.857,0,J Moore,0,3,2,8
.312,.336,.648,1,J Vazquez,0,6,6,27
.000,.000,.000,0,J Lindsey,0,0,0,1
.376,.329,.705,2,N Clime,0,19,6,33
.482,.293,.775,0,J Aguilar,4,22,2,33
.286,.237,.523,0,S Felix,0,4,2,6
.333,.333,.667,0,E Chavez,0,0,0,1
.190,.091,.281,0,M Fuentes,0,1,0,8
.394,.368,.761,0,J Rogers,3,32,7,32
.333,.383,.716,0,C Mirabal,7,21,5,21
.328,.272,.600,1,B Franco,1,20,3,49
.487,.366,.853,0,J Whitaker,0,4,6,7
.714,.365,1.080,0,R Grichuk,1,10,3,9
.286,.328,.613,1,R Garcia,5,20,6,41
.319,.341,.661,6,C Ramirez,0,12,10,30
.394,.360,.754,1,D Lopez,2,12,11,39
.416,.409,.825,0,S Hunt,3,10,6,22
.364,.385,.748,0,G Beltre,0,2,1,4
.495,.342,.837,0,C Gilmore,4,16,7,38
.273,.284,.557,2,L Thompson,3,4,4,20
