Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos Summary
Jimmy Austin#,41,27,75,-4,0,0,-2,1,-5,-0.4,3,-2,-0.2,.484,.497,0.0,-0.1,0,"$4,200",6/45
Bill Bayne*,22,47,66,-0,0,0,0,6,6,0.6,0,6,0.6,.513,.504,0.6,0.0,6,"$3,000",1
Bugs Bennett,29,3,1,0,0,0,0,0,1,0.1,0,1,0.1,.517,.500,0.1,0.0,1, ,/1
Josh Billings,29,20,47,-7,0,0,0,1,-6,-0.6,2,-4,-0.4,.470,.496,-0.4,0.1,-4,"$4,350",2
George Boehler,29,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,400",/1
Bernie Boland,29,7,11,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.486,.499,-0.1,0.0,-1,"$4,100",/1
Bill Burwell*,26,33,26,-2,0,0,0,2,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$3,600",1
Pat Collins,24,58,130,-7,0,0,0,1,-5,-0.5,5,-0,0.0,.491,.497,-0.0,0.2,-0, ,2
Nick Cullop*,33,4,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.483,.500,-0.1,0.0,-1, ,/1
Dixie Davis,30,40,101,-12,0,0,0,9,-2,-0.2,0,-2,-0.2,.495,.499,-0.2,0.0,-2,"$4,200",1
Joe DeBerry*,24,10,2,-1,0,0,0,0,-0,-0.1,0,-0,-0.1,.495,.500,-0.1,0.0,-0, ,1
Frank Ellerbe,25,105,486,-15,-2,0,0,4,-13,-1.2,17,4,0.5,.488,.492,0.4,0.4,4, ,*5
Wally Gerber,29,114,495,-18,-1,0,-9,8,-20,-1.9,19,-2,-0.1,.483,.488,0.7,-0.1,7,"$4,200",*6
Billy Gleason,26,26,83,-5,-0,0,0,0,-5,-0.4,3,-2,-0.1,.482,.497,-0.2,0.1,-2, ,4
Dutch Henry*,19,1,1,0,0,0,0,0,1,0.1,0,1,0.1,.551,.500,0.1,0.0,1, ,/1
Baby Doll Jacobson,30,151,663,18,-1,0,5,-4,19,1.8,25,44,4.3,.512,.511,3.7,0.1,39,"$5,000",*8O3
Ray Kolp,26,38,65,-14,0,0,0,6,-8,-0.7,0,-8,-0.7,.481,.496,-0.7,0.0,-8,"$2,100",1/6
Lyman Lamb,26,45,149,-9,0,0,-2,1,-10,-1.0,6,-5,-0.4,.478,.494,-0.2,-0.1,-3, ,5/4O978
Dud Lee*,21,72,201,-26,0,0,-8,3,-31,-3.0,8,-24,-2.2,.458,.481,-1.5,-0.4,-16,"$1,800",64/5
Marty McManus,21,121,467,-23,1,0,-7,3,-27,-2.5,18,-9,-0.8,.479,.484,-0.2,-0.4,-2,"$2,400",45/36
Billy Mullen,25,4,6,-1,0,0,0,0,-1,-0.1,0,-0,-0.0,.486,.500,-0.0,0.0,-0, ,/5
Emilio Palmero*,26,29,44,-3,0,0,0,4,1,0.1,0,1,0.1,.505,.501,0.1,0.0,1,"$3,000",1
Ray Richmond,25,6,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.483,.499,-0.1,0.0,-1, ,/1
Jim Riley*,26,4,12,-3,0,0,-1,0,-4,-0.4,0,-4,-0.4,.401,.498,-0.3,-0.1,-3, ,/4
Hank Severeid,30,143,531,0,2,0,1,6,9,0.9,20,29,2.8,.506,.505,2.7,0.7,28,"$5,750",*2
Urban Shocker,30,47,130,-4,-1,0,0,12,7,0.7,0,7,0.7,.514,.504,0.6,0.0,7,"$5,000",1
George Sisler*,28,138,635,34,4,0,4,-6,36,3.5,23,59,5.7,.525,.521,5.2,-0.1,55,"$12,500",*3
Earl Smith#,30,25,83,2,0,0,-2,0,0,0.0,3,3,0.3,.501,.500,0.5,-0.2,5,"$4,200",5/8O
Allan Sothoron#,28,5,10,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.477,.499,-0.1,0.0,-1, ,/1
Luke Stuart,29,3,3,1,0,0,0,0,1,0.1,0,1,0.1,.524,.500,0.1,0.0,1,"$2,100",/4
Jack Tobin*,29,150,731,20,-2,0,2,-7,12,1.2,25,37,3.7,.508,.507,3.4,-0.4,35, ,*O9/8
Elam Vangilder,25,31,67,-8,0,0,0,6,-2,-0.2,0,-2,-0.2,.494,.499,-0.2,0.0,-2, ,1
Dutch Wetzel,27,61,129,-12,0,0,0,-1,-13,-1.2,5,-8,-0.8,.479,.492,-0.8,-0.1,-8, ,O79/8
Ken Williams*,31,146,651,40,-2,0,1,-7,32,3.0,24,56,5.4,.521,.518,5.2,-0.5,55,"$4,200",*7O
Team Total,27.8,1715,6108,-64,-0,0,-18,51,-31,-2.7,205,174,17.3,.498,.502,18.1,-0.9,192,"$78,100", 
