G,RBI,BB,AB,SO,H
2,0,0,0,0,0
4,0,0,0,0,0
7,0,0,15,13,0
104,61,46,423,71,123
73,31,48,220,27,67
45,17,22,170,25,52
3,2,0,12,1,2
118,51,58,397,54,119
96,46,24,340,79,79
25,6,8,97,9,22
48,15,31,185,36,57
3,1,0,10,1,4
48,25,39,151,45,31
58,20,30,251,58,77
1,0,0,1,0,0
13,0,0,0,0,0
2,1,0,8,1,3
4,4,1,15,5,4
8,0,0,0,0,0
24,14,19,87,9,27
15,2,2,46,4,10
65,33,30,242,58,70
95,60,12,346,44,96
120,103,55,452,85,132
95,78,24,384,64,118
4,0,0,0,0,0
7,4,2,30,3,4
15,10,7,59,8,17
7,1,3,20,4,3
23,4,11,58,7,18
17,0,0,0,0,0
33,14,20,92,17,23
16,5,7,44,13,11
78,29,25,269,48,66
6,0,2,8,5,0
1,0,0,0,0,0
45,18,6,163,54,40
8,1,1,13,3,3
2,0,0,0,0,0
109,62,38,392,99,116
12,0,0,0,0,0
133,57,44,542,63,153
11,0,0,0,0,0
76,32,19,281,82,76
54,29,25,208,47,65
27,7,11,83,13,19
27,4,10,78,20,17
3,0,0,3,3,0
4,0,1,5,2,0
62,10,20,216,64,40
94,45,19,366,65,91
110,29,65,416,91,103
3,0,0,2,1,0
9,3,3,28,2,5
3,0,0,8,3,2
118,45,40,446,95,109
5,0,1,9,7,0
11,0,0,0,0,0
73,42,21,263,77,81
32,4,2,90,15,22
15,0,3,37,6,5
85,49,64,329,53,104
2,1,0,4,1,1
121,37,45,425,112,94
25,11,4,88,8,27
7,0,0,12,3,1
40,13,13,132,41,30
119,96,41,477,67,158
5,2,4,14,4,5
50,14,18,163,40,32
1,0,0,1,0,1
19,0,0,6,2,1
83,30,55,315,46,103
20,7,8,60,20,13
39,13,9,140,43,26
130,101,72,486,113,158
129,37,62,474,98,118
2,0,0,0,0,0
47,10,16,127,26,30
59,16,22,208,32,58
92,46,23,323,77,82
96,45,20,345,70,80
96,62,38,355,117,94
15,0,0,4,2,1
3,0,2,5,2,0
2,0,0,5,1,1
83,63,23,298,84,73
1,1,0,3,0,3
60,30,18,214,37,57
3,0,2,4,2,0
10,4,2,13,3,3
120,71,50,462,103,124
17,0,0,0,0,0
4,0,2,4,2,1
6,0,0,0,0,0
1,0,0,2,1,0
120,52,37,412,59,114
123,66,28,495,105,141
5,2,3,16,3,2
96,55,31,365,93,89
4,0,0,3,1,1
113,75,37,394,97,103
9,0,2,15,10,1
3,0,0,7,4,0
110,41,40,376,85,100
83,35,22,288,66,67
42,18,19,133,25,39
31,9,5,112,22,27
12,4,3,41,12,11
