LG,TEAM,#,SLG,GS,PPF
NL,CIN,51.0,0.336,0,102
NL,SLN,29.0,0.371,31,101
AL,TOR,171.0,0.422,34,101
AL,NYA,94.0,0.348,20,101
AL,TOR,137.0,0.461,20,102
NL,ATL,16.0,0.382,32,100
NL,ATL,8.0,0.431,26,101
NL,NYN,20.0,0.414,9,96
AL,CHA,149.0,0.354,30,99
NL,LAN,38.0,0.361,30,98
AL,DET,119.0,0.381,32,101
NL,PHI,11.0,0.427,18,106
NL,ARI,87.0,0.404,25,104
AL,NYA,93.0,0.492,29,100
AL,BAL,161.0,0.378,15,99
NL,SDN,60.0,0.452,27,99
AL,SEA,180.0,0.371,33,94
NL,SDN,7.0,0.326,16,99
AL,OAK,126.0,0.437,26,94
NL,PHI,67.0,0.404,33,105
AL,CHA,118.0,0.519,20,99
NL,SDN,18.0,0.351,26,100
AL,TEX,96.0,0.436,13,100
AL,CHA,107.0,0.395,33,99
NL,MIL,33.0,0.395,31,106
AL,MIN,178.0,0.462,31,100
AL,CLE,92.0,0.312,29,97
AL,TOR,156.0,0.488,16,102
AL,CLE,167.0,0.367,32,97
NL,MIL,40.0,0.384,32,107
AL,NYA,166.0,0.392,32,101
NL,SLN,1.0,0.319,0,102
AL,BAL,110.0,0.44,23,99
AL,CHA,108.0,0.351,0,99
AL,NYA,151.0,0.445,32,100
NL,SFN,80.0,0.491,25,102
AL,TBA,146.0,0.343,27,96
NL,SLN,76.0,0.401,19,102
NL,LAN,27.0,0.45,20,98
NL,COL,24.0,0.367,20,114
AL,CHA,154.0,0.485,22,99
NL,NYN,10.0,0.423,32,98
AL,BAL,179.0,0.466,23,98
AL,TEX,95.0,0.366,18,99
NL,CIN,37.0,0.368,18,104
NL,CIN,2.0,0.442,32,103
AL,TBA,181.0,0.45,31,95
AL,TEX,113.0,0.407,20,101
NL,MIA,81.0,0.421,23,97
NL,CHN,62.0,0.351,32,103
AL,OAK,128.0,0.408,32,94
AL,TBA,177.0,0.461,24,93
NL,CHN,63.0,0.416,15,104
AL,CLE,140.0,0.413,24,97
AL,ANA,98.0,0.382,24,97
NL,MIL,47.0,0.406,32,106
NL,LAN,82.0,0.273,0,98
NL,LAN,84.0,0.355,28,100
AL,TBA,105.0,0.368,23,94
AL,BOS,163.0,0.391,27,101
NL,SDN,78.0,0.421,33,98
AL,CLE,173.0,0.418,29,97
NL,LAN,52.0,0.277,33,100
AL,OAK,129.0,0.369,30,94
NL,COL,58.0,0.375,31,115
NL,ATL,4.0,0.363,21,101
AL,HOU,102.0,0.453,22,100
AL,SEA,155.0,0.357,31,94
AL,KCA,174.0,0.38,32,100
AL,HOU,117.0,0.458,22,99
AL,TEX,148.0,0.427,17,101
NL,CHN,85.0,0.436,31,104
NL,WAS,71.0,0.359,0,103
AL,ANA,106.0,0.377,17,95
NL,PIT,64.0,0.314,26,98
NL,SDN,90.0,0.426,20,97
NL,MIL,12.0,0.388,10,107
AL,KCA,100.0,0.447,24,100
AL,NYA,170.0,0.411,30,100
NL,CHN,13.0,0.367,15,104
NL,MIA,65.0,0.406,18,95
NL,PIT,42.0,0.325,8,96
AL,MIN,97.0,0.359,0,100
NL,WAS,31.0,0.375,32,104
NL,PHI,46.0,0.368,31,105
NL,ARI,61.0,0.494,19,103
