SLG,BB,SO,Player,HR,3B,CS,SH,G,2B
.167,2,3,C Tejeda,0,0,0,0,5,0
.178,5,21,N Mejia,0,0,2,0,25,2
.379,32,76,Y Araujo,5,2,2,1,57,11
.173,12,32,J Peraza,0,0,2,0,33,4
.189,7,16,F Ramirez,0,0,1,0,14,2
.229,8,9,G Villavicencio,0,0,0,1,18,1
.224,13,36,A Fernandez,0,1,6,4,46,3
.237,16,26,P Nivar,1,1,2,3,39,1
.390,4,14,E Fulgencio,1,0,0,1,12,3
.378,46,44,Y Aguero,1,2,3,7,67,11
.394,16,29,R De La Cruz,2,0,1,0,45,9
.174,10,19,M Reyes,0,0,4,0,37,3
.317,23,26,A Abreu,2,2,5,3,44,4
.000,1,3,P Chevez,0,0,0,0,3,0
.227,5,10,R Polonia,0,0,2,5,34,3
.245,14,29,W Martinez,1,1,2,0,49,6
.227,1,5,F Dicen,0,0,0,0,11,0
.333,9,19,C Murillo,0,0,1,0,26,6
.349,10,27,M Laguna,3,1,4,3,61,5
.254,7,15,E Avila,0,0,2,6,30,3
.310,22,30,J Valdelamar,0,3,1,0,31,3
.233,16,52,E Mercedes,1,0,4,1,51,3
.382,19,21,J Basilio,2,4,4,5,46,3
.284,6,7,S Martinez,0,0,1,4,37,3
.353,10,37,J Natera,0,3,0,0,37,5
.000,0,3,C Pajaro,0,0,0,0,7,0
.232,1,13,K Calderon,0,0,0,4,28,4
.238,21,16,B Hato,0,0,6,1,38,3
.437,17,30,V Castro,2,2,4,0,47,14
.306,40,49,R Astacio,2,0,2,0,50,9
.240,13,29,D Arribas,0,0,4,2,48,5
.369,24,20,D Cedeno,0,0,3,1,56,4
.323,37,45,V Santana,0,5,11,3,60,10
.244,22,26,W Martinez,0,0,2,1,54,3
.492,30,49,R Fortunato,7,5,11,5,66,10
.245,12,18,E Rubio,1,0,0,0,36,4
.309,17,9,W Soriano,0,1,8,12,59,7
.467,31,28,H Charles,3,5,7,0,51,8
.392,19,37,E Peguero,1,4,9,3,63,9
.252,22,32,P Rondon,0,0,4,1,39,2
.241,9,26,G Quintana,0,0,4,1,31,2
.279,11,24,I Alcantara,2,0,1,0,24,2
.345,18,9,J Del Valle,0,4,3,1,43,5
.305,8,17,A Mendoza,1,0,2,1,26,4
.313,39,46,S Mujica,1,5,13,4,58,5
.255,11,52,M Aquino,2,1,3,0,53,2
.326,11,22,R Martinez,0,1,1,3,39,3
.326,9,22,J Lopez,0,0,1,0,34,4
.390,39,45,J Puente,2,8,2,3,66,7
.267,18,24,C Gonzalez,0,0,4,4,51,4
.287,18,29,R Torres,1,1,4,1,61,5
.141,10,13,C Pena,0,0,0,1,22,1
.143,16,15,E Familia,0,0,0,0,22,1
.164,9,11,E Vivas,0,0,0,1,24,1
.268,9,21,J Rojas,1,0,1,4,51,2
.372,32,31,J Alcala,0,2,7,1,58,13
.359,16,30,I Dionicio,0,1,5,6,47,6
.255,10,28,V Silvestre,0,0,1,0,25,3
.160,23,36,J Guzman,0,0,2,2,41,3
.237,24,62,A Rojas,0,2,5,6,62,4
.398,50,25,M Gonzalez,3,1,2,1,64,11
.285,17,35,A Rodriguez,0,0,3,6,44,1
.396,8,18,Y Mercedes,0,1,3,0,44,12
.408,24,55,J Baez,5,3,10,3,68,12
.174,11,21,J De La Cruz,0,0,1,1,44,4
.254,24,54,M De La Cruz,2,0,3,0,47,4
.394,6,38,L Marte,2,1,10,1,60,16
.291,12,16,Y Daza,0,1,5,4,49,6
.328,46,46,E De La Cruz,0,3,6,3,47,7
.167,2,4,J Valera,0,0,1,0,7,0
.304,19,32,L Pina,0,1,1,1,51,5
.348,5,24,F Marte,1,2,2,1,21,3
.265,15,17,J Pena,0,0,0,0,45,7
.263,1,6,P Reyes,0,0,0,0,10,1
.308,21,60,E Paulino,0,0,4,3,53,11
.420,28,40,A Araiza,6,0,0,1,50,11
.338,18,36,E de Oleo,1,0,1,0,44,10
.308,20,34,F Ramirez,1,0,1,1,34,3
.343,25,47,P Perez,2,1,2,0,61,9
.229,9,17,J Perez,1,0,0,0,30,2
.282,13,32,T De La Cruz,1,0,2,1,42,3
--,0,0,Y Alejo,0,0,0,0,1,0
.339,13,19,J Ortiz,3,0,1,2,38,6
.419,3,1,R Ozuna,1,0,2,0,11,0
.279,5,7,J Abreu,0,0,4,0,21,1
.363,23,22,J Briceno,0,1,3,0,47,10
.150,8,18,Y Aquiles,0,0,0,0,27,1
.367,22,27,R Medina,3,1,0,1,49,6
.088,2,20,M Vallejo,0,0,3,1,17,1
.301,8,10,L Madrid,0,1,1,1,33,3
.272,17,22,D Baez,0,0,3,2,35,2
.283,23,29,R Del Rosario,0,0,2,0,34,6
.298,38,43,A Santiago,0,0,5,4,60,8
.353,23,55,E Ciprian,2,6,3,0,57,7
.286,4,5,A Castellon,0,0,0,1,8,0
.500,3,7,A Montilla,0,1,0,0,8,3
.254,2,22,H Heredia,0,0,0,1,24,4
.295,27,62,M Jimenez,0,0,7,0,59,11
.293,10,36,J Figuera,0,1,5,2,41,7
.295,25,20,J Heredia,0,0,6,2,42,5
.263,15,34,J Cardozo,0,0,5,6,56,3
1.000,0,0,E Barrera,0,0,0,0,1,0
.179,14,22,V Velazquez,0,0,1,2,36,2
--,0,0,J Saucedo,0,0,0,0,1,0
.253,40,27,K Weijgertse,0,0,5,1,62,2
.364,7,25,A Maracaro,0,2,3,0,41,4
--,0,0,L Jose,0,0,0,0,1,0
.237,8,29,F Serrano,0,0,1,0,24,4
.317,17,51,J De Leon,3,0,0,0,57,6
.226,5,9,F Cariel,0,0,0,0,11,1
.292,7,21,E Hernandez,0,0,1,0,15,3
.000,1,2,J Santos,0,0,0,0,2,0
.379,11,20,D Gonzalez,0,0,17,7,47,6
.391,22,27,J Herrera,1,2,5,2,58,11
.487,28,42,T Hernandez,7,7,4,0,65,13
.250,5,2,L Mendez,0,0,0,0,5,0
.130,3,8,J Fernandez,0,0,0,0,9,0
.248,15,16,J Infante,0,0,5,3,32,4
.323,8,20,L Rincones,0,1,1,0,29,3
.171,13,42,J Sayegh,0,1,1,2,36,2
.403,16,42,A Baez,4,1,2,0,50,10
.188,5,13,M Almonte,0,0,2,0,21,1
.340,17,56,S Lantigua,1,3,4,0,54,7
.355,24,39,J Rodriguez,2,3,8,5,57,5
.337,31,38,C Martinez,1,6,2,1,57,7
.293,4,20,R Read,4,1,1,0,42,5
.327,35,22,P Ruiz,0,2,4,1,29,3
.297,24,40,C Barazarte,0,1,4,1,50,7
.143,0,2,H Martinez,0,0,2,0,8,1
.310,16,22,R Vigil,1,0,3,1,46,8
.288,12,37,A Ramirez,2,1,3,3,48,5
.304,24,62,I McKenzie,2,5,4,4,60,6
.406,14,27,J Lopez,1,2,2,0,45,10
.414,27,20,W Difo,1,5,8,1,39,4
.000,0,1,E Almonte,0,0,0,0,1,0
.361,55,81,S Brito,3,5,1,0,62,10
.400,6,17,F Pujadas,3,0,0,1,28,4
.293,23,51,M Ramirez,1,1,7,2,51,8
.273,16,51,F Vivili,0,1,0,1,43,9
.261,12,20,J Rodriguez,0,1,5,3,55,3
.364,21,35,J Gonzalez,0,5,5,1,39,3
.211,12,25,L Caballero,0,0,4,5,46,2
--,0,0,F Garces,0,0,0,0,1,0
.313,35,42,Y Garcia,1,2,5,1,56,8
.153,1,15,E Lopez,0,0,0,0,17,0
.339,20,29,D Sopilka,1,1,2,2,53,10
.324,10,44,A Soriano,1,2,4,4,46,8
.292,4,11,P Estaba,0,0,0,0,17,4
