Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,site id
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11EAC003,0.0,0.0,53.5,1989.0,R,1.0,OpeM,08/21/2011,NORSLA
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11EAC003,0.0,8620.0,0.0,1989.0,R,1.0,OpeM,08/21/2011,NORSLA
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11EAC003,0.0,8300.0,0.0,1989.0,R,2.0,OpeM,08/21/2011,NORSLA
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA008,0.0,0.0,45.9,1989.0,R,1.0,AllM,06/26/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA008,0.0,10600.0,0.0,1989.0,R,1.0,AllM,06/26/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA008,0.0,0.0,44.9,1989.0,R,2.0,AllM,06/26/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA008,0.0,10050.0,0.0,1989.0,R,2.0,AllM,06/26/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA008,0.0,0.0,50.1,1989.0,R,3.0,AllM,06/26/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA008,0.0,8390.0,0.0,1989.0,R,3.0,AllM,06/26/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA011,0.0,11020.0,0.0,1989.0,R,1.0,AllM,07/03/2011,FRA3303
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA011,0.0,10910.0,0.0,1989.0,R,2.0,AllM,07/03/2011,FRA3303
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA011,0.0,7630.0,0.0,1989.0,R,3.0,AllM,07/03/2011,FRA3303
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA025,0.0,0.0,52.6,1989.0,R,1.0,Ope,08/15/2011,FRA3312
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA025,0.0,9360.0,0.0,1989.0,R,1.0,OpeM,08/15/2011,FRA3312
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA025,0.0,0.0,56.7,1989.0,R,2.0,Ope,08/15/2011,FRA3312
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA025,0.0,10910.0,0.0,1989.0,R,2.0,OpeM,08/15/2011,FRA3312
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA025,0.0,4650.0,0.0,1989.0,R,3.0,OpeM,08/15/2011,FRA3312
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA047,0.0,5530.0,0.0,1989.0,R,1.0,All,06/19/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA047,0.0,9020.0,0.0,1989.0,R,2.0,All,06/19/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA047,0.0,11330.0,0.0,1989.0,R,3.0,All,06/19/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA047,0.0,10910.0,0.0,1989.0,R,4.0,All,06/19/2011,FRA0001
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA050,0.0,0.0,51.5,1989.0,R,1.0,OpeM2,07/31/2011,FRA7708
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA050,0.0,9600.0,0.0,1989.0,R,1.0,OpeM2,07/31/2011,FRA7708
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA050,50.0,0.0,0.0,1989.0,R,1.0,OpeM2,07/31/2011,FRA7708
BALLON Pierre,FRA,M,11FRA050,50.0,9600.0,51.5,1989.0,R,1.0,OpeM2,07/31/2011,FRA7708
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA050,0.0,0.0,53.3,1989.0,R,2.0,OpeM2,07/31/2011,FRA7708
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11FRA050,0.0,11470.0,0.0,1989.0,R,2.0,OpeM2,07/31/2011,FRA7708
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11IWWF01,0.0,9770.0,0.0,1989.0,R,1.0,OpeM,07/24/2011,RUSDUBNA
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11IWWF01,0.0,10110.0,0.0,1989.0,R,2.0,OpeM,07/24/2011,RUSDUBNA
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,11S174P,0.0,7030.0,0.0,1989.0,R,1.0,IM,05/29/2011,USAS0328
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,12AUS324,0.0,5050.0,0.0,1989.0,R,1.0,OpeM,03/11/2012,AUS3030
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,12AUS824,0.0,8120.0,0.0,1989.0,R,1.0,OpeM,03/18/2012,AUS9025
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,12AUS824,0.0,9080.0,0.0,1989.0,R,2.0,OpeM,03/18/2012,AUS9025
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,12S039R,0.0,0.0,52.8,1989.0,R,1.0,OM,09/18/2011,USAS0320
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,12S039R,0.0,8770.0,0.0,1989.0,R,1.0,OM,09/18/2011,USAS0320
 , , , , , , , , , , , , 
BALLON Pierre,FRA,M,12S039R,0.0,9650.0,0.0,1989.0,R,2.0,OM,09/18/2011,USAS0320
