ORtg,TRB%,TS%,eFG%,STL%,DRtg,ORB%,Rk,AST%
53,0.0,.568, ,0.0,118,0.0,69,0.0
147,28.9,.521,.250,1.7,91,11.2,56,3.7
 ,0.0, , ,0.0,79,0.0,15,0.0
160,22.4,.726,.750,2.8,79,19.6,73,8.6
156,10.0,.532,.000,0.0,95,0.0,59,7.4
64,6.9,1.000,1.000,0.0,90,0.0,16,5.1
115,37.1,1.000,1.000,0.0,81,28.6,3,0.0
157,5.0,1.031,1.000,0.0,110,10.0,66,0.0
98,17.5,1.000,1.000,2.0,104,10.7,68,0.0
105,19.2,.518,.400,2.1,113,9.7,61,0.0
49,12.1,1.000,1.000,0.0,96,0.0,55,0.0
105,6.3,.750,.750,3.6,86,0.0,35,0.0
144,0.0,1.042,1.000,0.0,118,0.0,53,0.0
28,7.2,.000,.000,0.0,86,16.7,7,0.0
109,4.4,.694,.500,0.0,126,0.0,38,0.0
66,10.7,.000,.000,10.4,82,22.6,22,0.0
55,14.3,.193,.167,0.0,99,13.3,27,4.9
217,10.7,1.042,1.000,0.0,93,0.0,30,0.0
125,23.5,.387,.333,0.0,91,40.0,13,0.0
0,0.0,.000,.000,0.0,117,0.0,9,0.0
204,8.4,1.000,1.000,0.0,104,8.4,5,10.8
114,30.4,.510,.400,2.3,89,13.7,36,5.0
200,20.4,1.000,1.000,8.9,88,19.6,2,0.0
59,33.0,.200,.200,0.0,101,71.1,8,0.0
87,18.1,.644,.667,0.0,136,6.4,65,0.0
43,62.6,.000,.000,0.0,67,21.3,1,0.0
0,24.7, , ,4.5,77,0.0,29,0.0
54,18.8,.250,.250,0.0,89,0.0,31,0.0
200,0.0,1.000,1.000,0.0,120,0.0,67,0.0
204,19.0,1.000,1.000,0.0,92,10.0,60,16.6
0,5.2,.000,.000,0.0,89,0.0,10,0.0
103,25.0,.387,.333,0.0,86,10.2,11,11.5
143,13.7,.669,.625,0.0,100,16.5,39,4.7
