Opp,TOV%,BLK%,Tm,AST%,ORtg,TRB%,DRtg,GmSc
TOR,0.0,0.0,SEA,23.4,112,4.5,85,7.9
NYK,0.0,0.0,SEA,16.7,27,0.0,95,0.3
MEM, ,0.0,SEA,0.0, ,0.0,101,0.0
POR,33.3,0.0,SEA,29.4,44,3.9,103,0.2
LAC,100.0,0.0,SEA,0.0,0,0.0,103,-1.2
SAS,13.7,0.0,SEA,10.9,128,4.2,116,7.9
GSW,25.0,0.0,SEA,24.4,99,0.0,108,2.7
CLE,14.3,0.0,SEA,22.1,90,3.0,98,4.7
TOR,50.0,0.0,SEA,0.0,0,0.0,120,-1.7
UTA,25.0,0.0,SEA,15.2,63,5.6,132,0.3
CLE,100.0,0.0,SEA,18.0,104,4.9,131,-0.5
UTA,0.0,0.0,SEA,9.7,143,0.0,124,0.5
MEM,25.0,0.0,SEA,0.0,63,8.0,89,0.1
LAC,33.3,0.0,SEA,35.6,72,9.7,127,-0.8
DEN,33.3,0.0,SEA,0.0,67,0.0,103,-0.4
PHO,0.0,0.0,SEA,42.9,206,0.0,105,7.9
ORL,33.3,9.8,SEA,53.4,103,7.5,82,5.1
DET,0.0,0.0,SEA,19.1,161,8.3,113,7.6
WAS,40.0,0.0,SEA,16.3,113,9.5,94,5.0
DAL,50.0,0.0,SEA,0.0,0,0.0,121,-2.5
LAL,8.7,0.0,SEA,6.5,132,6.6,115,10.4
MEM,50.0,0.0,SEA,22.9,83,3.3,106,1.6
SAS,33.3,0.0,SEA,11.9,109,0.0,112,4.1
MEM,0.0,0.0,SEA,9.6,119,3.8,90,4.8
MIN,0.0,0.0,SEA,17.6,136,0.0,137,0.5
DET,33.8,0.0,SEA,0.0,37,0.0,105,-2.5
SAC,50.0,0.0,SEA,31.4,98,12.0,92,6.8
PHO,0.0,0.0,SEA,18.6,99,3.4,87,4.8
ORL,12.9,2.7,SEA,15.8,145,5.6,90,13.5
MIN,18.4,0.0,SEA,6.1,95,2.1,130,4.6
MIA,33.3,0.0,SEA,24.3,132,2.5,110,4.0
GSW,0.0,0.0,SEA,33.2,206,5.9,108,9.7
DEN,0.0,0.0,SEA,0.0,250,0.0,120,0.8
POR,23.7,0.0,SEA,16.7,81,6.2,115,5.6
