SB,SH,BB,SF,SLG,AVG,H
2,2,34,4,0.347,0.227,66
0,0,17,4,0.55,0.285,69
3,4,14,3,0.348,0.252,34
0,1,3,2,0.446,0.257,19
1,4,15,5,0.382,0.286,110
1,0,2,0,0.333,0.273,9
0,0,3,0,0.261,0.217,10
0,0,3,1,0.356,0.202,21
0,0,0,0,0.333,0.167,1
0,0,0,0,0.0,0.0,0
2,3,25,1,0.34,0.213,57
5,0,46,2,0.368,0.26,126
0,0,0,0,0.333,0.333,1
0,0,0,0,0.333,0.222,2
0,1,11,0,0.382,0.259,44
2,0,18,1,0.383,0.251,44
0,0,2,0,0.357,0.357,5
2,0,36,4,0.485,0.256,77
0,1,2,0,0.167,0.083,1
3,4,46,1,0.327,0.25,49
0,0,0,0,0.0,0.0,0
13,1,26,0,0.454,0.287,100
1,1,17,2,0.357,0.24,31
6,0,8,5,0.43,0.303,67
0,0,1,0,0.333,0.333,3
