Date,Opponent,Score,g,a,pts,pim,+/-,ppg,shg,eng,gwg,gtg,s
Nov 1,at St. Anselm College,"L, 2-1",0,0,0,0,+0,0,0,0,0,0,2
Nov 8,at Franklin Pierce University,"L, 4-2",0,0,0,4,+2,0,0,0,0,0,1
Nov 12,University of New England,"T, 1-1",1,0,1,0,+1,0,0,0,0,1,3
Nov 15,Manhattanville College,"L, 4-2",0,0,0,0,-1,0,0,0,0,0,0
Nov 16,Nichols College,"W, 2-1",0,0,0,0,-1,0,0,0,0,0,1
Nov 22,at Holy Cross,"L, 1-0",0,0,0,2,+0,0,0,0,0,0,1
Nov 23,at Salve Regina University,"L, 4-1",0,0,0,0,+0,0,0,0,0,0,0
Nov 26,Bowdoin College,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Dec 1,at Colby College,"W, 4-3",0,0,0,0,+0,0,0,0,0,0,0
Dec 6,University of Southern Maine,"W, 3-0",0,1,1,0,+2,0,0,0,0,0,0
Dec 7,at Trinity College (Conn.),"T, 0-0",0,0,0,0,+0,0,0,0,0,0,1
Jan 2,Stevenson University,"W, 4-3",0,0,0,0,+0,0,0,0,0,0,0
Jan 3,Connecticut College,"W, 2-0",0,0,0,0,+0,0,0,0,0,0,0
Jan 6,University of St. Thomas (Minn.),"T, 1-1",0,0,0,0,+0,0,0,0,0,0,0
Jan 11,St. Anselm College,"W, 1-0",0,0,0,0,+0,0,0,0,0,0,0
Jan 17,Castleton State College,"L, 4-1",0,0,0,0,-1,0,0,0,0,0,2
Jan 18,New England College,"W, 8-0",0,1,1,0,+5,0,0,0,0,0,3
Jan 24,Norwich University,"L, 5-1",0,0,0,0,-1,0,0,0,0,0,0
Jan 25,St. Michael's College,"W, 3-1",0,0,0,0,+2,0,0,0,0,0,0
Jan 31,at Nichols College,"W, 5-2",0,0,0,0,+0,0,0,0,0,0,3
Feb 1,at Manhattanville College,"T, 1-1",0,0,0,0,-1,0,0,0,0,0,0
Feb 7,Salve Regina University,"L, 4-2",0,0,0,0,+0,0,0,0,0,0,0
Feb 8,Holy Cross,"W, 3-2",0,0,0,0,+1,0,0,0,0,0,0
Feb 14,at Plymouth State University,"L, 4-3",0,0,0,0,+0,0,0,0,0,0,0
Feb 15,at University of Southern Maine,"W, 3-2",0,0,0,0,+0,0,0,0,0,0,0
Feb 22,at Manhattanville College,"W, 3-0",0,0,0,0,+1,0,0,0,0,0,2
Mar 1,at Norwich University,"L, 2-1",0,0,0,0,+0,0,0,0,0,0,0
