SB,Player,3B,SO,SF,R,2B,AB
0,G Duran,0,4,0,0,0,15
0,B Valdez,0,9,0,4,2,30
2,F Diaz,0,13,0,12,7,77
15,F Guzman,4,30,2,33,9,183
0,G Andrade,0,11,0,5,3,50
0,E Quiroz,0,7,0,4,0,25
7,E Trujillo,1,30,2,16,5,132
8,A Lamas,3,42,1,45,20,309
0,J Valle,0,3,0,2,1,11
7,J Trejo,1,46,1,48,10,279
5,D Hinojosa,0,46,3,35,15,233
6,V Diaz,0,150,2,77,15,379
5,C Herrera,1,50,3,40,13,232
1,L Arauz,1,47,3,76,30,344
3,E Valdez,1,76,3,53,16,319
0,O Renteria,0,22,0,10,0,63
2,H Paez,0,18,2,21,9,213
0,W Arano,0,5,0,5,0,42
2,L Fonseca,0,19,1,24,6,147
3,A Sanchez,3,33,0,31,6,195
0,R Saucedo,1,28,4,28,10,157
4,M Leon,5,43,1,49,16,205
1,B Canizares,2,41,2,77,15,308
2,J Galarraga,0,21,1,24,9,209
0,P Valdes,0,17,0,34,12,197
12,S Contreras,1,52,5,73,20,343
0,M Ortega,0,1,0,0,0,5
7,R Valencia,1,40,3,43,11,306
0,J Laurean,1,29,5,22,11,179
0,J Serna,0,0,0,0,0,0
0,A Ortiz,0,0,0,1,0,4
0,M Valdez,0,10,0,16,6,68
3,S Madera,1,52,4,71,16,366
0,O Ramirez,0,31,1,18,6,140
0,M Del Campo,2,19,1,10,4,106
1,A Rivero,0,17,0,20,3,118
4,R Agramon,2,46,3,33,11,197
0,R Castro,1,9,2,9,3,50
0,L Mercado,0,3,1,0,0,4
3,R Serrano,7,93,4,77,36,437
2,J Robles,0,55,3,51,13,351
3,E Osorio,2,31,2,44,10,205
4,V Mendez,0,19,0,32,4,81
5,C Gonzalez,5,51,1,38,17,281
2,J Aceves,1,70,4,42,24,290
0,R Gastelum,0,11,0,11,3,48
0,E Solis,0,20,0,5,4,87
0,N Becerra,0,19,4,17,10,177
2,J Cabrera,2,71,6,63,29,393
0,C Osuna,0,0,0,1,0,5
1,C Piste,0,22,0,6,2,58
0,R Del Campo,1,27,1,8,3,97
0,R Macias,0,5,0,4,1,14
2,E Aldazaba,0,23,1,11,2,77
1,J Amador,0,59,6,79,13,380
2,V Mercedes,0,24,1,38,8,211
1,L Buelna,0,39,1,25,12,207
0,H Hurtado,0,5,0,3,0,41
0,O De La Torre,3,71,3,46,26,394
7,R Rivera,2,53,5,84,22,357
0,F Esparragoza,0,16,1,7,5,99
1,E Santos,0,4,0,2,1,23
6,C Presichi,0,36,3,61,18,306
0,R Abercrombie,1,9,0,2,0,28
2,C Suarez,2,15,1,19,7,129
12,J Castillo,2,23,2,56,20,294
1,A Martinez,3,15,0,14,2,81
0,M Bobadilla,1,32,2,28,2,163
0,R Soto,0,8,1,6,2,63
3,M Lopez,3,59,1,34,10,287
0,H Cota,0,59,4,57,19,333
2,H Vasquez,0,36,2,23,13,239
0,J Sandoval,0,54,1,32,11,262
1,M Lopez,0,98,3,78,19,358
2,G Galaviz,0,4,0,1,0,19
0,A Cazana,0,91,0,76,21,382
0,A Velazquez,0,7,0,1,0,18
0,A Cintron,0,0,1,3,1,22
0,J Camacho,0,1,0,0,0,1
9,S Gonzalez,0,36,3,67,25,420
0,K Flores,1,69,3,37,19,291
1,R Mendez,0,32,2,28,8,185
0,I Nunez,0,10,0,6,3,86
0,R Valdez,0,5,0,4,0,16
1,J Orozco,0,49,0,13,6,158
1,J Castaneda,2,82,4,45,19,296
0,B Gil,0,15,0,5,1,56
0,L Garcia,0,33,3,27,7,185
20,D Clark,1,66,0,67,22,330
15,F Romero,1,33,2,33,12,179
6,I Salas,2,42,2,50,17,291
3,M Santana,1,39,1,41,20,301
30,L Terrero,2,85,3,109,27,382
0,E Pacheco,0,2,0,0,0,10
5,C Tapia,1,34,4,49,21,342
0,C Valencia,1,68,4,70,36,356
