RPG,FGA,BPG,3PM,APG,#,GP
6.2,7.2,0.9,0.8,1.3,46,17
0.6,6.1,0.2,1.6,1.9,20,17
1.7,8.0,0.0,1.7,1.3,99,26
1.9,5.8,0.0,0.6,4.3,68,38
1.7,3.7,0.0,0.6,2.8,95,26
5.5,5.5,1.0,0.5,1.0,23,2
4.6,14.9,0.0,2.2,8.1,91,34
1.7,5.8,0.2,1.7,1.0,73,36
6.5,14.0,0.0,4.0,4.5,8,2
4.1,7.9,0.3,2.4,1.6,65,28
3.0,5.0,0.0,1.0,1.0,12,2
2.5,8.5,0.3,1.6,0.9,72,41
4.0,6.6,0.1,1.8,1.7,41,37
1.8,9.3,0.0,3.3,1.1,45,36
2.6,4.5,0.3,1.0,1.2,31,25
1.8,5.0,0.0,0.2,0.4,4,5
4.5,6.3,0.5,0.0,0.2,25,6
1.8,2.9,0.0,0.3,1.5,42,25
1.5,5.0,0.1,1.1,2.0,58,55
2.7,6.7,0.0,0.7,7.0,22,3
5.3,10.7,0.0,1.0,1.3,34,3
1.8,6.0,0.2,1.2,3.0,37,4
6.0,7.0,0.5,0.8,1.5,75,30
3.0,10.0,0.0,0.0,3.7,24,3
4.5,12.1,0.2,2.3,2.4,53,27
0.9,3.7,0.0,0.9,0.8,17,23
1.0,5.0,0.0,0.8,0.2,36,4
2.3,5.6,0.1,1.3,1.0,67,24
3.0,6.2,0.3,0.3,0.4,44,21
3.4,8.6,0.1,2.2,1.9,39,16
2.1,6.9,0.1,1.5,3.3,61,34
3.6,13.5,0.1,2.0,2.0,86,26
1.4,7.0,0.1,1.7,0.2,60,34
6.6,16.8,0.4,0.4,0.6,35,5
2.8,7.4,0.2,0.8,1.2,55,16
4.4,6.0,0.4,1.0,0.8,21,5
2.5,4.0,0.2,0.2,1.2,6,4
1.4,4.4,0.0,0.8,2.0,79,24
1.3,5.4,0.0,0.7,0.5,26,37
3.2,4.8,0.8,0.0,0.8,7,4
2.2,8.9,0.0,3.0,2.5,52,27
1.3,6.7,0.0,0.0,1.7,13,3
3.1,11.6,0.1,2.7,5.4,77,56
2.0,5.4,0.1,0.8,0.7,43,31
4.0,13.8,0.0,1.2,0.8,2,4
4.0,5.2,0.0,0.0,0.5,11,4
2.5,12.5,0.0,2.5,5.8,96,4
2.3,7.3,0.0,1.3,1.0,28,3
2.1,5.0,0.1,0.6,1.0,16,22
2.5,8.1,0.1,1.3,3.0,89,49
1.8,7.7,0.0,1.4,1.6,74,38
5.4,11.5,0.0,2.7,1.5,90,26
1.2,6.0,0.1,1.7,2.3,33,32
0.5,12.5,0.0,3.5,3.5,38,2
