№,G,TOI/G,PIM,PPG
16,18,17:22,26,8
78,19,15:58,16,9
88,1,7:17,10,0
25,0,5:44,0,0
23,2,12:05,8,0
25,4,9:57,16,0
44,2,12:49,15,1
27,2,9:18,16,0
24,8,14:40,18,1
88,0,7:06,0,0
42,0,8:35,6,0
76,2,12:05,2,0
91,0,9:04,4,0
10,16,15:38,30,8
22,12,16:06,44,4
89,0,4:25,0,0
40,0,6:04,0,0
15,9,14:18,20,1
74,5,8:22,2,0
27,0,8:44,0,0
7,2,7:21,169,0
32,1,4:41,2,0
24,9,16:27,50,4
29,1,6:16,6,0
91,3,10:32,8,1
91,1,6:27,4,0
9,0,9:33,0,0
17,12,17:13,18,7
10,5,10:41,46,0
38,5,12:51,26,0
92,17,14:12,30,5
11,1,15:08,16,0
17,4,12:12,14,2
28,11,16:00,20,0
75,6,16:20,36,0
12,7,14:28,14,2
28,7,11:01,30,3
14,17,17:09,47,5
19,25,20:06,18,11
47,14,17:04,36,7
21,23,20:39,61,8
33,18,17:01,31,10
14,3,18:28,6,1
38,3,9:57,18,2
71,2,7:17,8,0
39,20,17:14,60,4
25,18,16:05,18,4
77,1,11:19,12,0
13,0,-,0,0
72,7,13:38,14,1
74,0,7:16,0,0
38,18,18:58,29,3
11,6,16:35,54,1
65,1,7:58,4,0
57,7,13:00,20,1
71,0,2:50,0,0
34,4,14:58,39,1
79,0,-,0,0
88,7,11:55,38,1
32,2,7:26,10,0
27,4,11:22,6,0
24,5,15:18,4,1
18,9,17:56,30,4
29,2,8:22,20,0
10,8,14:57,22,1
91,9,14:26,38,3
30,1,10:38,2,0
62,0,10:32,2,0
81,0,9:12,0,0
55,10,18:17,12,1
58,4,13:44,14,1
27,16,19:14,32,7
88,0,9:26,12,0
71,0,5:03,0,0
34,7,12:25,16,1
9,9,19:34,62,2
47,12,14:09,14,1
88,0,5:51,0,0
27,7,14:46,16,0
87,1,7:18,2,0
17,6,13:42,18,2
33,4,13:44,20,1
23,3,12:54,42,0
19,5,15:41,44,0
81,3,12:29,4,2
10,12,14:53,21,4
37,14,16:27,27,7
10,21,16:13,70,4
10,12,14:43,28,2
23,2,8:08,2,0
51,16,18:40,54,7
27,9,13:58,30,1
99,0,6:05,2,0
14,8,14:54,12,5
23,1,6:33,6,0
31,5,9:07,12,0
88,6,11:12,16,1
7,20,18:47,30,8
83,21,22:09,28,10
82,3,15:07,37,0
33,10,14:58,50,3
12,14,13:48,38,7
26,9,14:06,32,2
11,13,14:54,31,2
21,14,12:51,16,1
75,1,9:51,10,0
42,9,16:01,42,1
14,2,8:39,6,0
79,6,15:35,22,2
98,0,8:16,0,0
75,11,16:32,44,1
84,7,15:30,28,2
10,7,15:36,28,4
27,4,13:53,4,1
43,0,1:57,31,0
72,2,13:06,2,0
90,1,6:16,0,0
53,3,17:14,32,0
19,7,15:26,8,0
15,2,9:00,0,0
75,3,10:59,18,0
8,1,9:07,14,0
35,3,8:58,6,0
15,7,11:20,18,0
10,14,15:04,28,4
72,5,12:52,8,3
26,9,17:24,20,4
33,16,17:47,48,5
28,7,12:26,6,2
62,13,15:46,18,1
78,12,14:45,28,6
35,11,13:51,22,1
71,2,13:05,23,0
95,6,13:40,38,0
28,15,12:22,56,0
37,20,14:26,28,8
80,21,16:10,42,3
18,16,15:16,12,5
98,0,12:53,6,0
34,7,12:55,24,1
49,2,8:28,2,0
8,12,16:28,62,6
51,0,11:18,0,0
97,1,7:33,2,0
10,31,19:28,56,13
55,1,12:21,12,0
77,0,5:38,0,0
81,1,8:24,20,0
67,2,5:41,18,0
10,5,15:13,28,2
13,5,16:37,50,0
83,13,13:31,22,2
23,5,14:04,34,1
16,0,10:18,12,0
67,2,13:09,32,1
48,5,14:57,24,1
21,4,16:19,30,1
47,20,18:41,83,8
8,6,7:17,10,0
25,6,14:43,22,2
87,14,16:25,70,7
32,0,6:52,0,0
71,14,19:11,24,7
15,0,5:13,0,0
36,12,17:38,69,1
72,1,12:28,36,0
22,3,13:19,14,1
23,13,14:18,20,2
71,11,15:26,31,4
18,9,16:21,24,3
96,2,7:52,4,0
29,12,15:04,43,4
42,4,10:40,12,1
61,13,15:30,50,4
15,6,16:08,10,4
15,2,9:03,2,0
85,3,9:22,16,0
14,7,13:14,34,0
32,5,15:35,24,1
27,3,12:01,30,0
16,18,17:40,46,3
71,10,16:49,10,4
13,4,14:52,30,3
72,18,14:42,57,6
10,0,6:30,4,0
48,3,11:41,6,0
52,4,14:34,42,1
62,2,12:09,6,0
91,1,14:41,0,0
63,24,19:36,34,14
94,2,11:01,6,1
13,1,6:47,6,0
18,13,18:30,63,5
75,0,5:53,2,0
3,16,17:16,52,9
43,4,16:18,16,1
9,10,17:38,28,2
