RBI,2B,R,H,G,HR,3B,Team,SH,AVG
14,8,20,42,34,2,0,BAT,0,.309
30,16,20,55,51,5,0,AUB,0,.289
20,4,23,38,43,1,1,BRK,0,.238
17,4,20,36,51,1,1,BAT,0,.213
6,3,16,11,19,2,0,TRI,0,.212
8,5,19,26,45,0,0,SC,4,.177
27,9,23,43,48,3,0,SI,0,.272
5,2,6,14,15,0,0,BRK,1,.326
25,14,25,58,50,6,2,SC,2,.304
6,0,4,4,5,0,1,TRI,0,.235
14,3,14,32,34,2,0,JAM,0,.246
22,7,15,25,39,4,0,HV,0,.187
20,13,15,42,62,0,3,HV,5,.211
10,1,15,15,32,1,0,CT,0,.172
43,10,42,59,65,4,2,MV,1,.246
1,0,0,2,4,0,0,VER,0,.154
15,7,17,27,47,2,3,MV,1,.171
32,20,25,70,69,3,0,SI,0,.272
1,2,2,3,4,0,0,ABD,0,.200
8,3,6,16,37,0,0,SI,0,.162
17,6,8,33,32,0,0,TRI,2,.324
17,3,16,37,49,1,1,LOW,0,.228
2,1,3,14,19,0,0,ABD,2,.215
0,1,1,2,6,0,0,MV,0,.143
20,11,34,53,59,4,2,TRI,1,.264
1,0,0,0,3,0,0,AUB,0,.000
21,7,25,55,54,3,0,HV,0,.286
17,1,22,35,60,0,7,SC,2,.188
0,0,0,0,2,0,0,LOW,0,.000
27,11,22,59,71,3,0,ABD,1,.231
4,2,4,6,5,0,0,WIL,0,.429
2,0,2,3,2,0,0,LOW,0,.500
0,0,0,0,1,0,0,WIL,0,.000
1,1,2,2,2,0,0,SC,0,.250
31,11,42,94,68,3,6,SI,4,.349
6,2,13,23,27,2,1,SC,1,.271
10,7,24,29,35,1,4,TRI,1,.244
26,9,21,47,54,6,6,BAT,1,.245
5,8,12,26,35,0,0,HV,0,.215
0,0,1,0,1,0,0,LOW,0,.000
2,1,0,1,1,0,0,LOW,0,.200
12,2,13,36,26,1,0,JAM,0,.340
0,0,1,1,1,0,0,SI,0,.333
31,6,27,49,53,6,4,CT,1,.251
7,1,12,19,32,1,0,VER,0,.232
8,9,18,27,25,1,0,BAT,1,.290
8,1,2,11,14,1,1,BAT,0,.306
5,3,16,21,25,1,0,LOW,2,.241
24,11,36,66,70,0,3,HV,4,.241
1,0,2,3,3,0,0,HV,0,.231
3,3,8,5,8,1,0,TRI,0,.179
47,15,36,64,73,12,0,HV,0,.257
9,1,7,20,23,1,0,JAM,0,.217
14,10,16,31,27,3,1,SI,0,.323
36,13,33,53,57,8,0,LOW,0,.262
31,14,43,72,69,8,1,BAT,0,.290
31,8,40,55,65,1,4,MV,2,.224
9,9,20,43,32,2,2,WIL,1,.314
30,19,20,55,55,2,1,SI,0,.289
19,2,23,49,50,3,1,HV,1,.285
16,10,18,48,71,0,0,ABD,1,.211
10,5,10,21,22,1,0,WIL,0,.244
5,1,5,10,15,0,0,AUB,1,.250
8,6,17,18,24,2,0,VER,0,.209
7,7,16,34,43,1,0,CT,2,.260
0,0,0,0,1,0,0,HV,0,--
0,0,0,0,1,0,0,LOW,0,.000
18,3,21,28,32,1,2,AUB,2,.262
22,5,32,40,60,4,1,JAM,0,.220
3,0,2,5,9,1,0,BRK,0,.147
11,11,24,28,44,2,0,AUB,1,.192
29,12,33,65,67,4,3,AUB,2,.249
13,2,13,23,32,2,2,JAM,0,.200
9,4,16,31,33,0,1,BAT,3,.258
0,1,1,1,1,0,0,BRK,0,.333
47,20,36,73,65,0,1,MV,0,.300
13,5,20,21,27,4,0,AUB,0,.244
0,0,1,2,3,0,0,SC,0,.286
9,2,9,16,22,1,0,SC,3,.195
14,2,14,30,50,1,0,WIL,1,.200
9,1,11,23,32,0,1,BAT,2,.230
21,4,25,50,47,2,4,WIL,0,.284
1,0,2,0,3,0,0,CT,0,.000
16,7,9,25,31,3,0,LOW,0,.260
9,1,19,25,34,0,2,JAM,0,.219
31,11,23,49,58,5,3,LOW,0,.241
21,7,32,57,67,2,1,TRI,3,.257
23,4,22,40,46,1,3,SI,0,.241
