Player,OBP,2B,SF,3B,Team,CS,POS
J Medina,.344,8,1,0,DSL TB,2,3B
R Cepeda,.306,7,1,0,DSL PHI,4,C
A De La Rosa,.362,3,0,0,DSL ATH,4,OF
V Santana,.352,10,2,5,DSL WSX,11,SS
A Machillanada,.384,4,2,0,DSL MET,3,C
V Lupo,.325,7,0,1,DSL MET,0,OF
A Mendoza,.297,4,0,0,DSL BRW,2,SS
J Sanchez,.303,6,1,0,DSL NYY2,3,RF
H Heredia,.256,4,1,0,DSL DOD,0,3B
C Martinez,.344,5,2,1,DSL TWI,3,SS
Y Perdomo,--,0,0,0,DSL AST,0,P
A Almeida,.267,5,2,0,DSL GSI,2,1B
E Almonte,.000,0,0,0,DSL ATH,0,P
A Almanza,.303,0,0,0,DSL BRA,0,3B
A Roso,.298,4,0,0,DSL DOD,5,SS
D Vavrusa,.500,0,0,0,DSL NYY1,0,C
M Medina,.346,4,0,0,DSL AST,2,3B
F Rosario,.354,4,1,0,DSL TB,0,C
A Hernandez,.364,7,1,0,DSL IND,2,OF
D Barbuena,.374,7,0,1,DSL CAR,1,SS
J Gonzalez,.377,3,1,5,DSL RGR,5,OF
M Gonzalez,.380,3,4,1,DSL DIA,3,OF
D Hinojosa,.404,2,0,3,DSL BRW,9,CF
A Baez,.341,10,3,1,DSL REDS,2,3B
F Ramirez,.412,3,1,0,DSL DIA,1,C
D Lopez,.393,9,0,4,DSL RSX,6,SS
J Rojas,.306,2,3,0,DSL DOD,1,SS
A Ruiz,.417,11,1,0,DSL NAT,1,C
R Bueno,.396,5,2,3,DSL REDS,6,2B
R Garcia,.333,6,2,1,DSL CAR,2,3B
J Montesino,.398,2,1,1,DSL CUB2,4,2B
G Quintana,.363,16,2,0,DSL PAD,3,3B
D Francisco,.398,7,0,1,DSL PHI,6,OF
J Figueroa,.337,5,1,1,DSL NYY1,2,OF
R Guillen,.261,4,2,3,DSL BLJ,6,SS
J Gonzalez,.000,0,0,0,DSL CUB,0,OF
F Perez,.333,0,0,0,DSL CUB2,0,1B
L Martin,.265,7,0,2,DSL BLJ,3,OF
C Montero,.321,0,0,0,DSL CUB,1,3B
R Polo,.344,5,1,3,DSL NYY1,7,3B
N Berro,.322,4,0,2,DSL SEA,3,SS
E Salmeron,.404,1,0,0,DSL BRA,4,OF
E Bonne,.385,9,0,2,DSL CUB2,5,OF
J Santos,.333,0,0,0,DSL RGR,0,OF
A Paz,.451,3,0,0,DSL ATH,3,C
W Santana,.299,2,1,1,DSL DIA,2,1B
J Abreu,.360,1,0,0,DSL BRW,4,2B
J De Jesus,.000,0,0,0,DSL SEA,0,1B
J De La Cruz,.233,4,0,0,DSL IND,1,C
F Castillo,.362,9,3,0,DSL FLA,0,C
A Robles,.459,8,0,1,DSL GSI,6,2B
W Martinez,.262,6,2,1,DSL SEA,2,OF
