H,SO,SH,HR,AB,SLG,2B,Team,OPS,BB
68,27,4,5,233,.425,14,MTY,.794,26
0,2,0,0,6,.000,0,CAM,.143,1
59,32,4,0,228,.320,12,MIN,.629,15
23,12,3,0,98,.255,2,VRA,.620,18
13,5,0,0,36,.389,1,QR,.757,1
85,47,13,0,317,.328,19,CAM,.633,10
32,26,0,1,127,.339,8,MIN,.672,10
22,29,9,0,117,.205,2,LAR,.437,6
9,9,1,0,50,.200,1,CAM,.441,3
32,24,0,6,113,.496,6,LAR,.842,10
46,13,6,0,134,.388,6,PUE,.781,10
23,18,2,0,84,.310,1,VAQ,.690,8
1,1,0,0,4,.250,0,MTY,.500,0
114,37,6,12,354,.480,20,MVA,.914,72
107,66,4,4,386,.391,16,CHI,.779,61
78,82,2,14,300,.450,15,VAQ,.818,48
63,20,3,1,257,.296,8,LAR,.640,29
16,17,3,0,91,.198,0,OAX,.417,5
53,33,0,9,192,.495,11,MIN,.840,20
4,3,0,0,17,.235,0,MTY,.471,0
32,34,0,1,128,.336,6,QR,.692,20
0,0,0,0,1,.000,0,TAB,.500,0
134,48,0,11,371,.523,25,LAR,.960,50
151,55,8,11,415,.528,23,MXO,.915,16
123,27,8,1,378,.410,25,YUC,.800,39
21,19,1,0,107,.243,5,PUE,.526,10
1,2,0,0,8,.125,0,OAX,.236,0
17,9,0,2,55,.473,3,MXO,.844,5
0,1,0,0,3,.000,0,PUE,.000,0
101,19,11,1,289,.426,15,MXO,.823,18
73,53,0,10,290,.400,13,MTY,.748,45
84,37,0,19,271,.609,22,SLT,.978,27
74,60,14,2,269,.342,12,VAQ,.686,22
28,19,1,2,109,.376,7,VAQ,.752,20
8,6,1,1,26,.577,4,CAM,.956,3
110,81,1,11,365,.452,22,CHI,.863,66
143,60,1,10,433,.487,34,VAQ,.899,62
78,61,8,0,253,.383,9,VAQ,.747,19
115,30,7,4,385,.400,21,QR,.751,27
1,5,0,0,12,.167,1,MIN,.381,2
44,25,0,3,157,.389,6,MXO,.777,27
93,46,1,10,309,.453,17,TAB,.869,53
69,43,5,5,231,.446,13,OAX,.795,17
1,2,0,0,5,.200,0,MVA,.533,0
38,14,0,6,97,.619,4,TIJ,1.078,11
8,5,0,1,24,.542,2,CHI,.926,2
59,26,0,9,173,.555,10,MTY,1.002,31
1,2,1,0,35,.029,0,CAM,.110,2
54,26,1,3,158,.468,11,VRA,.854,10
45,23,0,2,162,.389,12,VAQ,.739,17
3,3,0,0,25,.120,0,OAX,.433,7
103,22,6,7,328,.436,17,QR,.814,26
123,49,0,16,410,.476,22,CAM,.834,35
68,32,3,2,262,.340,11,MTY,.691,31
5,2,0,0,20,.250,0,OAX,.650,5
13,15,2,0,67,.239,3,VRA,.456,1
29,17,2,0,113,.310,4,MIN,.604,6
103,66,7,9,399,.381,22,CHI,.706,41
11,2,0,0,41,.366,4,TIJ,.684,2
50,23,4,4,208,.332,5,LAR,.592,6
12,16,2,0,53,.283,3,PUE,.594,7
58,8,0,2,173,.416,8,CHI,.796,10
13,10,2,0,65,.231,2,MIN,.528,9
66,39,0,2,227,.348,7,VAQ,.741,33
84,58,2,6,328,.366,14,QR,.757,70
49,25,2,1,206,.306,9,MIN,.571,3
40,7,0,2,115,.461,5,VAQ,.851,6
121,83,6,10,379,.504,30,CHI,.891,37
27,31,2,2,131,.290,5,CHI,.547,7
106,36,5,4,393,.359,23,VRA,.700,36
15,13,1,0,83,.205,2,CHI,.449,6
1,1,0,0,7,.143,0,VRA,.286,0
8,10,3,0,36,.250,1,TAB,.532,3
81,57,6,6,279,.412,14,QR,.774,32
49,42,1,4,197,.391,12,LAR,.729,27
59,14,6,0,178,.421,14,MIN,.788,6
13,13,0,0,51,.314,3,VRA,.674,9
103,63,5,5,356,.402,21,TAB,.778,44
32,31,7,0,119,.303,4,TIJ,.698,23
23,11,2,1,80,.375,4,MXO,.735,8
112,54,0,10,400,.413,23,MIN,.780,53
4,11,1,0,48,.083,0,TAB,.269,4
2,12,0,0,19,.158,1,VAQ,.385,3
113,73,4,9,358,.483,33,TIJ,.918,61
0,0,0,0,0,--,0,MXO,--,0
18,15,0,1,66,.333,1,MVA,.657,4
10,6,0,0,45,.267,2,SLT,.580,6
62,27,3,1,241,.320,10,PUE,.690,35
13,14,0,3,58,.431,3,MIN,.712,3
21,21,1,0,94,.245,2,YUC,.529,7
90,53,5,1,354,.316,11,MIN,.619,16
120,41,0,10,369,.450,16,CHI,.838,31
87,13,4,3,262,.439,19,PUE,.827,22
111,67,3,2,343,.423,24,YUC,.816,39
97,29,6,2,309,.395,15,YUC,.772,33
15,23,0,2,76,.289,1,PUE,.542,5
39,60,6,5,196,.357,10,CAM,.629,18
127,60,2,10,395,.458,22,MTY,.834,31
