MP,AST%,GmSc,Tm,ORB%,BLK%,Age,TS%,Date
7:00,0.0,-1.7,ORL,0.0,0.0,27-026, ,2001-01-25
12:00,0.0,-0.1,ORL,0.0,10.5,27-074,.266,2001-03-14
18:00,10.0,8.3,ORL,6.7,4.4,27-076,.615,2001-03-16
7:00,0.0,-0.9,ORL,0.0,19.6,26-343,.000,2000-12-07
8:00,0.0,-0.5,ORL,21.4,9.0,27-007,.000,2001-01-06
12:00,0.0,0.0,ORL,10.5,0.0,27-106,.500,2001-04-15
2:00,0.0,0.0,ORL,0.0,0.0,27-046, ,2001-02-14
8:00,0.0,0.4,ORL,13.3,0.0,26-320,.798,2000-11-14
9:00,0.0,-0.5,ORL,21.8,17.5,27-081,.258,2001-03-21
14:00,8.6,-2.7,ORL,21.4,0.0,27-083,.000,2001-03-23
2:00,0.0,-0.8,ORL,0.0,0.0,26-322, ,2000-11-16
14:00,9.6,-0.6,ORL,15.9,0.0,27-016,.500,2001-01-15
14:00,0.0,1.9,ORL,15.5,0.0,27-021,.500,2001-01-20
19:00,0.0,7.4,ORL,23.8,11.3,26-309,.667,2000-11-03
11:00,0.0,3.5,ORL,0.0,6.8,27-080,1.025,2001-03-20
1:00,0.0,0.0,ORL,0.0,0.0,27-048, ,2001-02-16
1:00,0.0,0.0,ORL,0.0,0.0,27-003, ,2001-01-02
15:00,0.0,0.5,ORL,0.0,0.0,27-050, ,2001-02-18
17:00,22.3,6.4,ORL,0.0,0.0,26-314,1.042,2000-11-08
17:00,7.6,4.0,ORL,20.2,3.5,27-062,.615,2001-03-02
11:00,16.0,4.3,ORL,0.0,8.2,27-065,.410,2001-03-05
26:00,0.0,12.8,ORL,17.6,9.3,27-109,.637,2001-04-18
15:00,0.0,1.2,ORL,0.0,15.2,27-090,.000,2001-03-30
13:00,15.8,3.7,ORL,0.0,6.5,26-333,.694,2000-11-27
5:00,0.0,2.3,ORL,0.0,0.0,27-038,.615,2001-02-06
16:00,0.0,4.6,ORL,0.0,4.3,27-104,.862,2001-04-13
6:00,0.0,0.1,ORL,19.0,0.0,27-085,1.000,2001-03-25
14:00,0.0,6.1,ORL,0.0,11.2,27-060,1.000,2001-02-28
12:00,0.0,5.7,ORL,21.1,5.9,27-068,1.000,2001-03-08
13:00,0.0,1.9,ORL,18.5,5.0,27-097,.129,2001-04-06
15:00,0.0,1.6,ORL,0.0,4.9,26-312, ,2000-11-06
6:00,0.0,1.2,ORL,0.0,0.0,27-024,1.000,2001-01-23
33:00,0.0,6.3,ORL,10.8,0.0,27-034,.644,2001-02-02
6:00,0.0,3.9,ORL,17.8,0.0,27-010,1.000,2001-01-09
