SLG,HR,SO,OPS,3B,Team,GIDP,SH,Player,RBI
.000,0,5,0.0,0,MXO,0,0,A Sais,0
.500,0,1,0.75,0,CAM,1,0,F Villaescusa,1
.359,6,70,0.728,1,SLT,6,11,J Munoz,34
.311,1,66,0.676,4,MTY,2,1,F Romero,27
.465,2,48,0.88,1,MXO,5,5,C Herrera,25
.467,3,12,0.781,0,CAM,1,0,D Minor,9
.606,12,39,1.057,0,MXO,20,0,G Gil,71
.365,1,38,0.774,2,YUC,9,1,H Castaneda,24
.481,1,14,0.855,3,SLT,4,3,J Rodriguez,21
.512,15,51,0.879,1,PUE,11,2,P Iturbe,76
.303,2,15,0.565,0,VRA,3,5,J Ruiz,15
.444,2,21,0.835,0,VAQ,6,0,I Valenzuela,21
.385,6,31,0.721,0,VRA,10,8,P Mere,43
.497,12,53,0.905,2,MVA,5,8,H Garanzuay,61
.190,0,2,0.381,0,SLT,0,1,F Villegas,0
.325,0,33,0.68,2,MVA,9,20,D Castro,40
.609,6,17,1.026,3,VAQ,2,2,D Smith,27
.353,0,40,0.673,2,TIJ,7,11,I Rincon,20
.683,30,85,1.161,0,MTY,5,0,M Lopez,94
.255,0,34,0.53,0,COR,4,9,I Bellazetin,9
--,0,0,0.0,0,SLT,0,0,R Diaz,0
.353,0,7,0.734,0,VRA,3,0,T Zuniga,8
.390,7,57,0.74,0,SLP,13,6,O Mendoza,33
.411,6,32,0.757,0,MXO,6,1,L Arauz,20
--,0,0,0.0,0,TIJ,0,0,C Moreno,0
.364,5,24,0.706,0,CAM,15,0,D Fornes,21
.513,8,37,0.919,0,MTY,6,3,A Amezcua,39
.389,1,36,0.772,4,AGU,10,8,R Gonzalez,49
.508,15,64,0.874,6,CAM,4,2,A French,55
.242,0,6,0.558,0,VRA,1,0,R Candelario,2
.442,2,32,0.89,3,VAQ,6,5,D Sherman,21
.309,1,25,0.612,0,PUE,5,2,C Bernal,10
.309,1,32,0.625,1,SLP,6,3,R Lugo,16
.317,0,18,0.601,0,TAB,3,0,C Morales,2
.580,21,63,0.973,0,MVA,12,1,R Saenz,85
--,0,0,0.0,0,VAQ,0,0,J Parra,0
.652,33,60,1.039,2,AGU,9,0,E Rios,112
.446,11,32,0.764,1,TIJ,5,2,H Paez,47
.514,7,9,0.847,1,AGU,1,0,J Nieves,20
.625,0,1,1.213,0,TAB,0,0,R Morales,4
.357,0,5,0.795,0,TAB,0,1,R Pereyra,2
.502,12,53,0.879,1,MXO,7,1,J Sandoval,53
.313,4,54,0.588,0,MTY,10,2,C Rodriguez,25
.375,0,12,0.679,1,YUC,2,2,G Angulo,8
.331,0,33,0.677,3,AGU,5,2,A Arredondo,17
.457,3,27,0.847,1,OAX,7,0,J Camilo,32
.416,7,38,0.739,0,MTY,6,1,F Mendez,21
.501,11,37,0.845,1,MXO,10,4,C Valencia,58
.386,5,28,0.686,0,CAM,17,11,R Sanchez,39
.467,8,44,0.87,2,MVA,10,3,G Meza,50
.633,9,19,1.089,0,MVA,3,0,J Bass,24
.317,0,41,0.651,2,TAB,2,5,M Alfonso,5
.519,17,46,0.932,0,MXO,6,0,M Valdez,59
.266,1,28,0.538,0,COR,1,4,C Zazueta,18
.386,2,38,0.726,0,SLP,11,3,C Valle,31
.100,0,2,0.35,0,TIJ,2,0,J Ibarra,0
.250,0,9,0.498,0,TAB,5,0,A Gutierrez,5
.420,5,42,0.809,0,SLT,14,7,N Munoz,52
--,0,0,0.0,0,TIJ,0,1,K Yabu,0
.250,0,16,0.519,0,TAB,2,4,J Robles,3
.280,0,23,0.585,1,MXO,0,1,D Fernandez,6
.211,0,3,0.483,0,TIG,1,0,J Romo,2
.506,3,12,0.949,0,CAM,9,1,L Figueroa,22
.328,4,44,0.682,1,TIJ,9,6,J Hernandez,21
.497,15,46,0.884,1,YUC,9,1,P Castellano,87
--,0,0,0.0,0,TIJ,0,0,J Perez,0
.293,1,18,0.588,0,TAB,4,3,L Fentanes,7
--,0,0,0.0,0,SLT,0,0,E Neri,0
.333,0,13,0.672,0,AGU,1,0,I Marmolejo,6
.485,14,100,0.898,0,VRA,4,0,M Nieves,40
.514,10,52,0.94,1,MTY,6,2,D Cesar,72
.326,2,14,0.631,0,VRA,14,4,M Cazarin,22
.403,2,19,0.767,2,TIG,6,7,C Tapia,27
.586,27,59,0.977,1,MXO,12,0,R Saucedo,89
.421,10,34,0.739,0,TIG,9,1,L Garcia,38
.125,0,3,0.425,0,OAX,0,0,N Becerra,0
.359,1,8,0.693,0,YUC,5,0,L Rodriguez,8
.000,0,0,0.0,0,PUE,0,0,C Avila,0
.219,0,14,0.46,0,SLP,5,3,L Bustillos,6
.165,0,20,0.374,0,COR,1,1,U Valdez,5
.295,2,24,0.576,0,TAB,2,1,A Sanders,4
.460,3,15,0.824,0,PUE,2,2,A Rodriguez,13
.297,1,23,0.655,0,VRA,3,2,E Osorio,11
.456,17,53,0.813,1,SLT,9,0,R Cervantes,73
.000,0,2,0.0,0,MVA,0,0,J Medina,0
.685,17,32,1.096,0,CAM,4,1,J Leon,49
.169,0,22,0.353,0,COR,6,3,E Rangel,6
.492,5,41,0.837,0,PUE,2,0,J Trapaga,23
.556,1,10,0.946,1,TAB,1,0,P Swann,9
.384,7,51,0.715,0,TIJ,14,0,I Lara,30
.369,1,9,0.703,0,AGU,4,0,A Delgado,8
.277,0,10,0.583,0,TAB,6,5,A Castro,9
.050,0,7,0.1,0,AGU,1,0,A Borquez,1
.277,0,26,0.579,0,VAQ,13,4,E Garzon,26
.458,2,20,0.863,3,AGU,17,3,A Martinez,57
.391,2,11,0.725,0,OAX,0,0,O Higuera,6
.385,0,14,0.729,0,TIG,1,1,A Munoz,10
.444,15,68,0.855,0,TIJ,9,0,E Jimenez,65
