SB,G,Player,H
0,11,D DeGeorge,7
2,88,J Bloxom,83
0,38,J Bour,22
0,8,J Smit,5
3,74,C Burnette,57
0,1,K Kiker,0
0,2,D Dominguez,1
25,132,D Wagner,123
3,53,G Rosa,38
8,63,M Machado,58
0,3,S Starr,1
16,88,F Soriano,65
7,113,N Ciolli,99
1,63,L Sierra,47
3,77,J Julius,41
1,31,J Aguilar,29
1,65,D Paisano,59
19,91,A Abreu,82
13,111,T Ferguson,84
6,87,K Schutz,65
1,71,T Adair,85
0,1,M Rayl,0
4,41,L Hoes,38
0,1,A Russell,0
10,61,N Van Stratten,62
1,21,S King,18
2,131,J Terdoslavich,138
4,94,J Bolden,94
0,11,G Folgia,6
14,67,A McClure,47
17,99,J Toole,85
0,8,S Caseres,3
18,100,C Testa,106
5,59,M Hilligoss,60
1,9,R Bermudez,6
3,115,S Chirino,111
7,56,R Rodriguez,64
0,92,T Cannon,76
8,99,J Lozada,80
0,1,T Hurley,0
0,1,P Guilmet,0
1,14,J Kang,7
1,26,M Wagner,23
0,10,R Rivas,5
0,8,A Ortiz,3
0,6,C Brownsten,4
0,1,C Bell,0
25,122,S Souza,89
0,5,J Mayo,2
1,19,J Cuevas,21
0,12,J Roof,8
6,115,P Gosselin,112
8,23,K Hudson,24
3,45,C Bethancourt,45
14,87,T Cunningham,86
1,53,C McGuiness,42
0,3,K Smith,0
45,119,E Perez,120
24,128,D Gibson,107
0,6,K Eveland,1
0,77,J Lewis,53
1,24,K Mertins,24
0,1,Z Osborne,0
3,40,M Rooney,19
30,109,L Garcia,113
0,12,R Hefflinger,5
0,1,A Wilson,0
12,34,J Hazelbaker,34
2,80,J Martinez,99
0,2,A Nieto,1
0,14,R Eigsti,10
6,82,A James,53
0,10,K Moore,0
0,4,L Escobar,2
1,39,A Gallas,28
4,39,A Valdez,34
3,50,M Flacco,42
7,83,B Kleinknecht,59
0,1,C Jones,0
11,80,Y Prades,88
2,7,B Conley,2
19,102,K Wiley,102
21,128,D Hood,128
5,97,D Batista,61
53,124,J Kobernus,138
2,123,J Whittleman,97
7,102,T Saladino,107
7,79,B Stevens,59
6,26,H Meneses,36
31,126,R Strausborger,132
3,32,G Hall,26
0,3,R Zimmerman,4
14,129,J Mitchell,106
34,123,T Holt,114
0,2,J Flores,0
0,7,R Query,4
2,21,C Curran,7
1,109,S Leon,93
7,67,T Kolodny,57
4,5,A Frost,3
1,67,V DiFazio,53
2,45,J Silverio,47
0,22,J Rodriguez,16
10,116,J Hoying,99
0,17,K Shelton,15
6,90,K Colligan,51
9,104,B Ward,85
1,9,J Oliveira,8
7,127,C Frawley,100
1,75,B Brentz,79
1,17,R Spanjer-Furstenburg,12
0,38,J Oester,31
0,23,J Graterol,14
7,15,T Mummey,17
