Result,3B,Game Date,H,BB,GDP,AB,2B,RBI
L 9-16 vs NYN,0,2011-06-29,2,1,0,4,0,4
W 8-4 vs NYA,0,2013-04-06,4,1,0,4,1,1
L 8-14 vs PHI,0,2006-09-07,4,0,0,5,0,2
W 5-3 @MIL,0,2003-08-08,0,0,0,4,0,0
W 4-3 @KCA,0,2008-08-22,2,0,0,4,0,2
W 5-1 vs MIN,0,2012-07-04,3,1,0,3,1,3
L 8-11 @TEX,0,2013-05-19,4,1,0,4,0,5
W 11-5 @PHI,0,2007-04-28,5,0,0,5,0,1
L 9-12 @SFN,0,2004-04-30,0,0,0,3,0,2
W 8-0 @ATL,0,2005-06-23,4,0,0,5,0,6
W 3-1 @PHI,0,2004-04-20,1,1,0,4,0,1
W 4-0 vs PHI,0,2005-04-13,0,0,0,2,0,2
L 4-5 @MIN,0,2010-05-05,3,1,0,3,0,2
W 15-2 vs TEX,0,2009-04-10,3,0,0,5,1,6
W 13-5 @TEX,0,2009-07-29,4,0,0,6,1,4
W 7-3 @KCA,0,2010-04-08,4,0,0,5,0,4
L 10-6 @OAK,0,2012-05-10,4,0,0,5,1,3
W 5-2 @TBA,0,2012-06-28,4,0,0,5,1,2
W 10-0 vs BOS,0,2012-04-07,2,0,0,5,0,3
W 9-8 @KCA,0,2007-06-16,2,0,1,5,0,4
W 11-4 vs HOU,0,2014-05-06,4,0,0,5,1,4
W 10-7 @NYA,0,2011-04-03,3,0,0,5,0,4
W 4-10 vs MIN,0,2012-09-23,1,0,0,4,1,1
W 5-1 @TOR,0,2009-04-08,3,0,0,4,0,4
W 17-2 @HOU,0,2013-05-04,4,1,0,4,0,6
W 10-7 @MIN,0,2015-04-29,3,0,0,5,1,4
W 19-4 @KCA,0,2008-07-21,5,0,0,6,2,6
W 6-1 vs CHA,0,2014-09-24,0,0,0,4,0,1
W 11-3 @WAS,0,2006-05-04,3,1,0,3,2,5
W 15-4 @LAN,0,2006-08-16,3,0,0,5,0,5
W 4-3 vs NYA,0,2012-06-02,3,0,0,4,1,2
W 9-6 @CLE,0,2015-04-11,4,0,0,5,0,1
L 6-8 vs TEX,0,2010-07-19,3,1,0,6,0,3
W 6-3 @TBA,0,2013-06-28,4,0,0,4,1,3
W 7-3 vs TOR,0,2013-04-09,4,0,0,5,0,4
W 6-4 @PHI,0,2005-04-29,4,0,0,5,3,1
L 6-7 vs WAS,0,2006-07-18,4,1,0,4,0,2
W 6-0 @TEX,0,2014-06-26,4,0,0,5,1,1
L 4-6 @BOS,0,2012-05-30,4,0,0,5,3,1
L 3-4 @WAS,0,2007-09-04,1,0,0,4,0,1
L 4-5 vs SFN,0,2014-09-06,2,0,0,4,0,3
W 8-5 @SFN,0,2007-07-29,4,0,0,5,1,3
W 7-5 @MIN,0,2008-09-07,2,0,0,5,0,1
W 5-0 @MON,0,2004-04-13,3,1,0,3,0,3
W 8-5 @CLE,0,2015-04-12,4,1,0,4,1,4
W 9-7 @PHI,0,2005-07-15,4,0,0,5,2,1
L 6-10 vs BOS,0,2013-06-21,4,1,0,4,0,3
L 5-9 @NYA,0,2010-08-18,2,0,0,3,0,2
W 6-3 @ARI,0,2005-07-19,2,0,0,5,0,2
W 9-7 vs WAS,0,2006-08-23,3,1,0,4,0,4
W 9-2 @CHA,0,2010-09-17,1,0,0,5,0,0
L 6-7 @NYA,0,2012-04-27,1,2,0,3,0,1
