Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A
Jose Tabata LF,4.0,1.0,1.0,0.0,1.0,0.0,5.0,0.333,0.429,0.5,0.929,19.0,9.0,0.164,1.49,0.229,-0.065,0.3,2.0,0.0
Neil Walker 2B,4.0,0.0,1.0,1.0,1.0,2.0,5.0,0.303,0.361,0.455,0.816,27.0,16.0,0.015,1.59,0.162,-0.147,-0.1,3.0,2.0
Andrew McCutchen CF,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.303,0.372,0.474,0.846,23.0,13.0,-0.045,1.32,0.067,-0.112,-0.3,2.0,0.0
Garrett Jones DH,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.27,0.346,0.447,0.793,17.0,12.0,0.058,1.63,0.162,-0.104,0.7, , 
Ryan Doumit 1B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.268,0.35,0.441,0.791,13.0,8.0,-0.076,1.6,0.062,-0.139,-0.3,8.0,1.0
Bobby Crosby 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.311,0.305,0.617, , ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ryan Church RF,4.0,0.0,1.0,1.0,0.0,2.0,4.0,0.193,0.235,0.33,0.565,15.0,10.0,-0.008,1.44,0.119,-0.127,0.2,2.0,1.0
Andy LaRoche 3B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.24,0.305,0.327,0.632,14.0,8.0,-0.055,1.24,0.044,-0.099,-0.2,2.0,2.0
Ronny Cedeno SS,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.239,0.281,0.34,0.621,10.0,9.0,-0.054,1.19,0.027,-0.082,-0.1,1.0,6.0
Jason Jaramillo C,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.172,0.246,0.259,0.505,11.0,7.0,-0.274,1.93,0.0,-0.274,-2.3,5.0,1.0
 , , , , , , , , , , , , , , , , , , , , 
Paul Maholm P, , , , , , , , , , , , , , , , , , ,1.0,0.0
Evan Meek P, , , , , , , , , , , , , , , , , , ,0.0,2.0
Joel Hanrahan P, , , , , , , , , , , , , , , , , , ,0.0,0.0
Brendan Donnelly P, , , , , , , , , , , , , , , , , , ,0.0,0.0
Team Totals,37.0,3.0,9.0,3.0,2.0,10.0,39.0,0.243,0.282,0.405,0.687,149.0,92.0,-0.275,1.49,0.872,-1.149,-2.1,27.0,15.0
